step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,num_candidates,ego_s0,ego_l0,best_valid,best_min_clearance_m,best_max_curvature,best_max_yaw_rate,best_cost_total,best_l_target,best_v_target,best_collision,timing_plan_total_ms,debug_num_candidates,debug_ego_s0,debug_ego_l0,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,num_obstacles,obstacles
0,0.0,-64.64485168457031,24.47098159790039,0.0027785035331581408,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18121274960986053,-0.03342265058200342,False,53.0394166175567,0.32050790388992384,0.036057501887122666,0.6640049076775296,0.0,4.5,False,8.289699908345938,20,0.18121274960986053,-0.03342265058200342,0.1,60,-64.64485168457031,24.47098159790039,0.004348085651695124,0.0,-51.3699958111564,24.541289713063772,0.002779010405088803,4.425000000000005,1,"[{""id"": 78, ""x"": -110.19731903076172, ""y"": -9.84222412109375, ""vx"": 1.620524514578392e-08, ""vy"": 2.801498908411304e-07, ""r"": 2.5906050205230713}]"
1,0.05,-64.64485168457031,24.47098159790039,0.0027785035331581408,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18121274960986053,-0.03342265058200342,False,53.035191088240694,0.32050790388992384,0.036057501887122666,0.6640056587327515,0.0,4.5,False,7.167699979618192,20,0.18121274960986053,-0.03342265058200342,0.1,60,-64.64485168457031,24.47098159790039,0.004348085651695124,0.0,-51.3699958111564,24.541289713063772,0.002779010405088803,4.425000000000005,1,"[{""id"": 78, ""x"": -110.19737243652344, ""y"": -9.835129737854004, ""vx"": -0.0008488870807923377, ""vy"": 0.3081246614456177, ""r"": 2.5906050205230713}]"
2,0.1,-64.64485168457031,24.47098159790039,0.0027785035331581408,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18121274960986053,-0.03342265058200342,False,53.01963543901713,0.32050790388992384,0.036057501887122666,0.6640084246608781,0.0,4.5,False,7.62330018915236,20,0.18121274960986053,-0.03342265058200342,0.1,60,-64.64485168457031,24.47098159790039,0.004348085651695124,0.0,-51.3699958111564,24.541289713063772,0.002779010405088803,4.425000000000005,1,"[{""id"": 78, ""x"": -110.19747924804688, ""y"": -9.809123992919922, ""vx"": -0.0015077301068231463, ""vy"": 0.6507626175880432, ""r"": 2.5906050205230713}]"
3,0.15000000000000002,-64.64485168457031,24.47098159790039,0.0027785035331581408,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18121274960986053,-0.03342265058200342,False,52.99434478891839,0.32050790388992384,0.036057501887122666,0.6640129250218221,0.0,4.5,False,7.206999929621816,20,0.18121274960986053,-0.03342265058200342,0.1,60,-64.64485168457031,24.47098159790039,0.004348085651695124,0.0,-51.3699958111564,24.541289713063772,0.002779010405088803,4.425000000000005,1,"[{""id"": 78, ""x"": -110.19766235351562, ""y"": -9.766803741455078, ""vx"": -0.0021691815927624702, ""vy"": 0.9691243767738342, ""r"": 2.5906050205230713}]"
4,0.2,-64.64485168457031,24.47098159790039,0.0027785035331581408,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18121274960986053,-0.03342265058200342,False,52.964231059525034,0.32050790388992384,0.036057501887122666,0.6640182892340838,0.0,4.5,False,8.015899918973446,20,0.18121274960986053,-0.03342265058200342,0.1,60,-64.64485168457031,24.47098159790039,0.004348085651695124,0.0,-51.3699958111564,24.541289713063772,0.002779010405088803,4.425000000000005,1,"[{""id"": 78, ""x"": -110.19789123535156, ""y"": -9.716354370117188, ""vx"": 0.00047053396701812744, ""vy"": 0.9660846590995789, ""r"": 2.5906050205230713}]"
5,0.25,-64.64485168457031,24.47098159790039,0.0027785035331581408,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18121274960986053,-0.03342265058200342,False,52.930329731264806,0.32050790388992384,0.036057501887122666,0.6640243354415186,0.0,4.5,False,6.950900191441178,20,0.18121274960986053,-0.03342265058200342,0.1,60,-64.64485168457031,24.47098159790039,0.004348085651695124,0.0,-51.3699958111564,24.541289713063772,0.002779010405088803,4.425000000000005,1,"[{""id"": 78, ""x"": -110.19822692871094, ""y"": -9.659398078918457, ""vx"": 0.00032676514820195735, ""vy"": 1.2855621576309204, ""r"": 2.5906050205230713}]"
6,0.30000000000000004,-64.64485168457031,24.47098159790039,0.0027785035331581408,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18121274960986053,-0.03342265058200342,False,52.893793113192224,0.32050790388992384,0.036057501887122666,0.6640308603229252,0.0,4.5,False,9.340499993413687,20,0.18121274960986053,-0.03342265058200342,0.1,60,-64.64485168457031,24.47098159790039,0.004348085651695124,0.0,-51.3699958111564,24.541289713063772,0.002779010405088803,4.425000000000005,1,"[{""id"": 78, ""x"": -110.1983642578125, ""y"": -9.598245620727539, ""vx"": -0.0041064308024942875, ""vy"": 1.183481216430664, ""r"": 2.5906050205230713}]"
7,0.35000000000000003,-64.64485168457031,24.47098159790039,0.0027785035331581408,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18121274960986053,-0.03342265058200342,False,52.85716243614617,0.32050790388992384,0.036057501887122666,0.6640374110569456,0.0,4.5,False,6.839999929070473,20,0.18121274960986053,-0.03342265058200342,0.1,60,-64.64485168457031,24.47098159790039,0.004348085651695124,0.0,-51.3699958111564,24.541289713063772,0.002779010405088803,4.425000000000005,1,"[{""id"": 78, ""x"": -110.19844818115234, ""y"": -9.53693675994873, ""vx"": -0.006426933221518993, ""vy"": 1.2568405866622925, ""r"": 2.5906050205230713}]"
8,0.4,-64.64485168457031,24.47098159790039,0.0027785035331581408,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18121274960986053,-0.03342265058200342,False,52.82196453632235,0.32050790388992384,0.036057501887122666,0.6640437141239363,0.0,4.5,False,7.179000182077289,20,0.18121274960986053,-0.03342265058200342,0.1,60,-64.64485168457031,24.47098159790039,0.004348085651695124,0.0,-51.3699958111564,24.541289713063772,0.002779010405088803,4.425000000000005,1,"[{""id"": 78, ""x"": -110.1991195678711, ""y"": -9.477166175842285, ""vx"": -0.0037841959856450558, ""vy"": 1.158437728881836, ""r"": 2.5906050205230713}]"
9,0.45,-64.64485168457031,24.47098159790039,0.0027785035331581408,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18121274960986053,-0.03342265058200342,False,52.7847928419518,0.32050790388992384,0.036057501887122666,0.6640503797744874,0.0,4.5,False,6.949699949473143,20,0.18121274960986053,-0.03342265058200342,0.1,60,-64.64485168457031,24.47098159790039,0.004348085651695124,0.0,-51.3699958111564,24.541289713063772,0.002779010405088803,4.425000000000005,1,"[{""id"": 78, ""x"": -110.19991302490234, ""y"": -9.41385555267334, ""vx"": -0.018410708755254745, ""vy"": 1.283484935760498, ""r"": 2.5906050205230713}]"
