step,t,ego_x,ego_y,ego_yaw,ego_speed,cte_m,heading_err_rad,ref_idx,ref_x,ref_y,ref_yaw,v_ref,speed_err_mps,steer,throttle,brake,steer_sat,throttle_sat,brake_sat,d_steer,d_throttle,d_brake
0,0.0,-64.64486694335938,24.470815658569336,0.002778615625192303,0.0,2.9394889300426996e-15,0.0,5,-62.144876594234155,24.47776218869362,0.002778615625192303,5.0,5.0,5.774410795713909e-15,0.6000000238418579,0.0,0,0,0,,,
1,0.05,-64.64486694335938,24.47081184387207,0.002778615625192303,0.0019007514400296874,2.9394889300426996e-15,0.0,5,-62.144876594234155,24.477758373996355,0.002778615625192303,5.0,4.998099248559971,5.763455695090595e-15,0.6000000238418579,0.0,0,0,0,-1.0955100623313493e-17,0.0,0.0
2,0.1,-64.6448745727539,24.470809936523438,0.0027786148449693276,0.0004869507954236641,2.9785202082521778e-15,0.0,5,-62.144884223623265,24.477756464697173,0.0027786148449693276,5.0,4.999513049204577,5.8482369168471725e-15,0.6000000238418579,0.0,0,0,0,8.478122175657743e-17,0.0,0.0
3,0.15000000000000002,-64.6448745727539,24.470808029174805,0.0027786148449693276,0.001363273769256997,2.9785202082521778e-15,0.0,5,-62.144884223623265,24.47775455734854,0.0027786148449693276,5.0,4.998636726230743,5.8431187202633884e-15,0.6000000238418579,0.0,0,0,0,-5.11819658378411e-18,0.0,0.0
4,0.2,-64.6448745727539,24.470808029174805,0.002778615105043653,0.001519845435423442,-2.968111867396317e-15,0.0,5,-62.14488422362508,24.47775455799873,0.002778615105043653,5.0,4.998480154564577,-5.8217900071350515e-15,0.6000000238418579,0.0,0,0,0,-1.166490872739844e-14,0.0,0.0
5,0.25,-64.6448745727539,24.47080421447754,0.002778615105043653,0.001370889866798196,-2.968111867396317e-15,0.0,5,-62.14488422362508,24.477750743301463,0.002778615105043653,5.0,4.998629110133201,-5.822656098323619e-15,0.6000000238418579,0.0,0,0,0,-8.660911885675221e-19,0.0,0.0
6,0.30000000000000004,-64.6448745727539,24.47080421447754,0.002778615105043653,0.0011216178522127527,-2.968111867396317e-15,0.0,5,-62.14488422362508,24.477750743301463,0.002778615105043653,5.0,4.998878382147788,-5.824105795212845e-15,0.6000000238418579,0.0,0,0,0,-1.449696889225735e-18,0.0,0.0
7,0.35000000000000003,-64.6448745727539,24.47080421447754,0.002778615105043653,0.0008675013085240315,-2.968111867396317e-15,0.0,5,-62.14488422362508,24.477750743301463,0.002778615105043653,5.0,4.999132498691476,-5.825584714738751e-15,0.6000000238418579,0.0,0,0,0,-1.4789195259060084e-18,0.0,0.0
8,0.4,-64.6448745727539,24.470802307128906,0.002778615105043653,0.000648232269351404,-2.968111867396317e-15,0.0,5,-62.14488422362508,24.47774883595283,0.002778615105043653,5.0,4.999351767730649,-5.826861193390263e-15,0.6000000238418579,0.0,0,0,0,-1.2764786515122306e-18,0.0,0.0
9,0.45,-64.6448745727539,24.470802307128906,0.002778615105043653,0.00021132523971615933,-2.968111867396317e-15,0.0,5,-62.14488422362508,24.47774883595283,0.002778615105043653,5.0,4.999788674760284,-5.829406527396762e-15,0.6000000238418579,0.0,0,0,0,-2.5453340064991725e-18,0.0,0.0
10,0.5,-64.64488220214844,24.470802307128906,0.002778615105043653,0.0002868848530456877,-2.968111867396317e-15,0.0,5,-62.14489185301961,24.47774883595283,0.002778615105043653,5.0,4.999713115146954,-5.82896607026419e-15,0.6000000238418579,0.0,0,0,0,4.404571325722362e-19,0.0,0.0
11,0.55,-64.64488220214844,24.470802307128906,0.002778615105043653,0.0002791980651811219,-2.968111867396317e-15,0.0,5,-62.14489185301961,24.47774883595283,0.002778615105043653,5.0,4.999720801934819,-5.8290109630103944e-15,0.6000000238418579,0.0,0,0,0,-4.489274620447792e-20,0.0,0.0
12,0.6000000000000001,-64.64488220214844,24.470802307128906,0.002778615105043653,0.00023543385810699747,-2.968111867396317e-15,0.0,5,-62.14489185301961,24.47774883595283,0.002778615105043653,5.0,4.999764566141893,-5.829265919927518e-15,0.6000000238418579,0.0,0,0,0,-2.549569171235444e-19,0.0,0.0
13,0.65,-64.6379165649414,24.4708251953125,0.002773733770033917,0.4188405595069723,-1.883042333172824e-15,0.0,5,-62.13792618193403,24.477759520845925,0.002773733770033917,5.0,4.581159440493027,-2.6071278128584523e-15,0.6000000238418579,0.0,0,0,0,3.2221381070690657e-15,0.0,0.0
14,0.7000000000000001,-64.5921859741211,24.470951080322266,0.0027731353390116247,1.153375786332959,-3.9603736956550506e-15,0.0,5,-62.09219558696444,24.47788390978389,0.0027731353390116247,5.0,3.8466242136670408,-3.6128686881650805e-15,0.6000000238418579,0.0,0,0,0,-1.0057408753066282e-15,0.0,0.0
15,0.75,-64.51860046386719,24.47115707397461,0.002772740286111641,1.6632847484007098,3.5561831257524545e-16,0.0,5,-62.0186100739719,24.478088915807778,0.002772740286111641,5.0,3.33671525159929,2.623024397816929e-16,0.6000000238418579,0.0,0,0,0,3.875171127946773e-15,0.0,0.0
16,0.8,-64.42427825927734,24.47142219543457,0.0027685309831582297,2.0104077720543185,3.756543687227776e-15,0.0,5,-61.92428784022598,24.478343514050742,0.0027685309831582297,5.0,2.9895922279456815,2.4513139846286556e-15,0.6000000238418579,0.0,0,0,0,2.1890115448469627e-15,0.0,0.0
17,0.8500000000000001,-64.31549835205078,24.471725463867188,0.0027671983623158893,2.279878790709916,6.153064169289735e-15,0.0,5,-61.81550792377814,24.478643450944013,0.0027671983623158893,5.0,2.720121209290084,3.6852713704304835e-15,0.6000000238418579,0.0,0,0,0,1.233957385801828e-15,0.0,0.0
18,0.9,-64.19448852539062,24.472055435180664,0.002772307522434503,2.5102592217539286,-2.050443148604586e-15,0.0,6,-61.19450005391674,24.480372347094427,0.002772307522434503,5.0,2.4897407782460714,-1.1474780747442424e-15,0.6000000238418579,0.0,0,0,0,-4.832749445174726e-15,0.0,0.0
19,0.9500000000000001,-64.0622787475586,24.472421646118164,0.002771128865592683,2.732428550794207,-6.305719835175694e-15,0.0,6,-61.06229026628401,24.480735022074988,0.002771128865592683,5.0,2.267571449205793,-3.3187841428343077e-15,0.6000000238418579,0.0,0,0,0,-2.1713060680900653e-15,0.0,0.0
