step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,debug_planner,debug_ms,debug_path_len,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,num_obstacles,obstacles
0,0.0,-64.64486694335938,24.470815658569336,0.002778615625192303,0.0,5.774410795713909e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,1.0044574737548828,31,0.1,51,-64.64486694335938,24.470815658569336,0.002778615625192303,5.0,-40.644959591757214,24.537502347762477,0.002778615625192303,5.0,1,"[{""id"": 78, ""x"": -110.19815063476562, ""y"": -9.48971939086914, ""vx"": -0.0017959923716261983, ""vy"": 1.3888787031173706, ""r"": 2.5906050205230713}]"
1,0.05,-64.64486694335938,24.47081184387207,0.002778615625192303,0.0019007514400296874,5.763455695090595e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,1.512765884399414,31,0.1,51,-64.64486694335938,24.47081184387207,0.002778615625192303,5.0,-40.644959591757214,24.53749853306521,0.002778615625192303,5.0,1,"[{""id"": 78, ""x"": -110.19853973388672, ""y"": -9.423392295837402, ""vx"": -0.0040779015980660915, ""vy"": 1.2855802774429321, ""r"": 2.5906050205230713}]"
2,0.1,-64.6448745727539,24.470809936523438,0.0027786148449693276,0.0004869507954236641,5.8482369168471725e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,1.0004043579101562,31,0.1,51,-64.6448745727539,24.470809936523438,0.0027786148449693276,5.0,-40.64496722109973,24.53749660699129,0.0027786148449693276,5.0,1,"[{""id"": 78, ""x"": -110.19874572753906, ""y"": -9.352251052856445, ""vx"": -0.0036862045526504517, ""vy"": 1.5431727170944214, ""r"": 2.5906050205230713}]"
3,0.15000000000000002,-64.6448745727539,24.470808029174805,0.0027786148449693276,0.001363273769256997,5.8431187202633884e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.6448745727539,24.470808029174805,0.0027786148449693276,5.0,-40.64496722109973,24.537494699642657,0.0027786148449693276,5.0,1,"[{""id"": 78, ""x"": -110.19825744628906, ""y"": -9.27867317199707, ""vx"": -0.007050138432532549, ""vy"": 1.4303295612335205, ""r"": 2.5906050205230713}]"
4,0.2,-64.6448745727539,24.470808029174805,0.002778615105043653,0.001519845435423442,-5.8217900071350515e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.9996891021728516,31,0.1,51,-64.6448745727539,24.470808029174805,0.002778615105043653,5.0,-40.64496722111721,24.53749470588449,0.002778615105043653,5.0,1,"[{""id"": 78, ""x"": -110.198486328125, ""y"": -9.189990997314453, ""vx"": -0.006160317454487085, ""vy"": 1.861624836921692, ""r"": 2.5906050205230713}]"
5,0.25,-64.6448745727539,24.47080421447754,0.002778615105043653,0.001370889866798196,-5.822656098323619e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.9999275207519531,31,0.1,51,-64.6448745727539,24.47080421447754,0.002778615105043653,5.0,-40.64496722111721,24.537490891187225,0.002778615105043653,5.0,1,"[{""id"": 78, ""x"": -110.19898986816406, ""y"": -9.082877159118652, ""vx"": 0.0007878979085944593, ""vy"": 2.1939918994903564, ""r"": 2.5906050205230713}]"
6,0.30000000000000004,-64.6448745727539,24.47080421447754,0.002778615105043653,0.0011216178522127527,-5.824105795212845e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.6448745727539,24.47080421447754,0.002778615105043653,5.0,-40.64496722111721,24.537490891187225,0.002778615105043653,5.0,1,"[{""id"": 78, ""x"": -110.198974609375, ""y"": -8.953600883483887, ""vx"": -0.018010960891842842, ""vy"": 2.7000186443328857, ""r"": 2.5906050205230713}]"
7,0.35000000000000003,-64.6448745727539,24.47080421447754,0.002778615105043653,0.0008675013085240315,-5.825584714738751e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,1.0006427764892578,31,0.1,51,-64.6448745727539,24.47080421447754,0.002778615105043653,5.0,-40.64496722111721,24.537490891187225,0.002778615105043653,5.0,1,"[{""id"": 78, ""x"": -110.19940185546875, ""y"": -8.804410934448242, ""vx"": -0.0047413259744644165, ""vy"": 3.121612787246704, ""r"": 2.5906050205230713}]"
8,0.4,-64.6448745727539,24.470802307128906,0.002778615105043653,0.000648232269351404,-5.826861193390263e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.9999275207519531,31,0.1,51,-64.6448745727539,24.470802307128906,0.002778615105043653,5.0,-40.64496722111721,24.537488983838593,0.002778615105043653,5.0,1,"[{""id"": 78, ""x"": -110.2000961303711, ""y"": -8.641278266906738, ""vx"": -0.0057532829232513905, ""vy"": 3.2773241996765137, ""r"": 2.5906050205230713}]"
9,0.45,-64.6448745727539,24.470802307128906,0.002778615105043653,0.00021132523971615933,-5.829406527396762e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,1.0056495666503906,31,0.1,51,-64.6448745727539,24.470802307128906,0.002778615105043653,5.0,-40.64496722111721,24.537488983838593,0.002778615105043653,5.0,1,"[{""id"": 78, ""x"": -110.20079040527344, ""y"": -8.472246170043945, ""vx"": -0.00807986781001091, ""vy"": 3.5260696411132812, ""r"": 2.5906050205230713}]"
