step,t,ego_x,ego_y,ego_yaw,ego_speed,cte_m,heading_err_rad,ref_idx,ref_x,ref_y,ref_yaw,v_ref,speed_err_mps,steer,throttle,brake,steer_sat,throttle_sat,brake_sat,d_steer,d_throttle,d_brake
0,0.0,-64.64485931396484,24.470985412597656,0.0027785147163541246,0.0,-1.4346163146328195e-15,0.0,4,-62.6448670341039,24.47654243488019,0.0027785147163541246,5.0,5.0,-2.8181986824353305e-15,0.6000000238418579,0.0,0,0,0,,,
1,0.05,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.002327709291143414,-4.47124975933022e-15,0.0,5,-62.144868964138674,24.477929783102194,0.0027785147163541246,5.0,4.997672290708857,-8.763044577356303e-15,0.6000000238418579,0.0,0,0,0,-5.944845894920972e-15,0.0,0.0
2,0.1,-64.64485931396484,24.470983505249023,0.0027785147163541246,4.3825177778171146e-05,-4.47124975933022e-15,0.0,5,-62.144868964138674,24.477929783102194,0.0027785147163541246,5.0,4.999956174822222,-8.78305742480108e-15,0.6000000238418579,0.0,0,0,0,-2.0012847444777354e-17,0.0,0.0
3,0.15000000000000002,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.000862541369048358,-4.47124975933022e-15,0.0,5,-62.144868964138674,24.477929783102194,0.0027785147163541246,5.0,4.999137458630952,-8.775872891342469e-15,0.6000000238418579,0.0,0,0,0,7.184533458610975e-18,0.0,0.0
4,0.2,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.0011012554926931963,-4.47124975933022e-15,0.0,5,-62.144868964138674,24.477929783102194,0.0027785147163541246,5.0,4.998898744507307,-8.773780719962751e-15,0.6000000238418579,0.0,0,0,0,2.092171379718122e-18,0.0,0.0
5,0.25,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.0010429668895926278,-4.47124975933022e-15,0.0,5,-62.144868964138674,24.477929783102194,0.0027785147163541246,5.0,4.998957033110408,-8.774291480829945e-15,0.6000000238418579,0.0,0,0,0,-5.107608671943431e-19,0.0,0.0
6,0.30000000000000004,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.0008761215480248077,-4.47124975933022e-15,0.0,5,-62.144868964138674,24.477929783102194,0.0027785147163541246,5.0,4.999123878451975,-8.775754306729854e-15,0.6000000238418579,0.0,0,0,0,-1.4628258999081767e-18,0.0,0.0
7,0.35000000000000003,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.0006881713814283841,-4.47124975933022e-15,0.0,5,-62.144868964138674,24.477929783102194,0.0027785147163541246,5.0,4.999311828618572,-8.777401785812263e-15,0.6000000238418579,0.0,0,0,0,-1.6474790824096142e-18,0.0,0.0
8,0.4,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.0005179024006613937,-4.47124975933022e-15,0.0,5,-62.144868964138674,24.477929783102194,0.0027785147163541246,5.0,4.999482097599339,-8.77889595193122e-15,0.6000000238418579,0.0,0,0,0,-1.4941661189565858e-18,0.0,0.0
9,0.45,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.0001710319723270767,-4.47124975933022e-15,0.0,5,-62.144868964138674,24.477929783102194,0.0027785147163541246,5.0,4.999828968027673,-8.781940188343652e-15,0.6000000238418579,0.0,0,0,0,-3.0442364124319554e-18,0.0,0.0
