step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,debug_planner,debug_ms,debug_path_len,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,num_obstacles,obstacles
0,0.0,-64.64485931396484,24.470985412597656,0.0027785147163541246,0.0,-2.8181986824353305e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,1.0058879852294922,31,0.1,51,-64.64485931396484,24.470985412597656,0.0027785147163541246,5.0,-40.64495195563356,24.537669679988092,0.0027785147163541246,5.0,1,"[{""id"": 101, ""x"": -110.19775390625, ""y"": -9.838241577148438, ""vx"": -0.0007563270628452301, ""vy"": 0.2338576316833496, ""r"": 2.5906050205230713}]"
1,0.05,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.002327709291143414,-8.763044577356303e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.64485931396484,24.470983505249023,0.0027785147163541246,5.0,-40.64495195563356,24.53766777263946,0.0027785147163541246,5.0,1,"[{""id"": 101, ""x"": -110.19784545898438, ""y"": -9.81567668914795, ""vx"": -0.0013247225433588028, ""vy"": 0.5880802869796753, ""r"": 2.5906050205230713}]"
2,0.1,-64.64485931396484,24.470983505249023,0.0027785147163541246,4.3825177778171146e-05,-8.78305742480108e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,1.0004043579101562,31,0.1,51,-64.64485931396484,24.470983505249023,0.0027785147163541246,5.0,-40.64495195563356,24.53766777263946,0.0027785147163541246,5.0,1,"[{""id"": 101, ""x"": -110.19801330566406, ""y"": -9.776548385620117, ""vx"": -0.0019225028809159994, ""vy"": 0.9040786027908325, ""r"": 2.5906050205230713}]"
3,0.15000000000000002,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.000862541369048358,-8.775872891342469e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.64485931396484,24.470983505249023,0.0027785147163541246,5.0,-40.64495195563356,24.53766777263946,0.0027785147163541246,5.0,1,"[{""id"": 101, ""x"": -110.1982192993164, ""y"": -9.727592468261719, ""vx"": -0.003396864514797926, ""vy"": 0.9288630485534668, ""r"": 2.5906050205230713}]"
4,0.2,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.0011012554926931963,-8.773780719962751e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.64485931396484,24.470983505249023,0.0027785147163541246,5.0,-40.64495195563356,24.53766777263946,0.0027785147163541246,5.0,1,"[{""id"": 101, ""x"": -110.19886779785156, ""y"": -9.672381401062012, ""vx"": -0.017605574801564217, ""vy"": 1.218031644821167, ""r"": 2.5906050205230713}]"
5,0.25,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.0010429668895926278,-8.774291480829945e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.64485931396484,24.470983505249023,0.0027785147163541246,5.0,-40.64495195563356,24.53766777263946,0.0027785147163541246,5.0,1,"[{""id"": 101, ""x"": -110.19954681396484, ""y"": -9.61460018157959, ""vx"": -0.009930027648806572, ""vy"": 1.1161291599273682, ""r"": 2.5906050205230713}]"
6,0.30000000000000004,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.0008761215480248077,-8.775754306729854e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,1.0001659393310547,31,0.1,51,-64.64485931396484,24.470983505249023,0.0027785147163541246,5.0,-40.64495195563356,24.53766777263946,0.0027785147163541246,5.0,1,"[{""id"": 101, ""x"": -110.20042419433594, ""y"": -9.556622505187988, ""vx"": -0.007238907273858786, ""vy"": 1.1913141012191772, ""r"": 2.5906050205230713}]"
7,0.35000000000000003,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.0006881713814283841,-8.777401785812263e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,1.0001659393310547,31,0.1,51,-64.64485931396484,24.470983505249023,0.0027785147163541246,5.0,-40.64495195563356,24.53766777263946,0.0027785147163541246,5.0,1,"[{""id"": 101, ""x"": -110.20037841796875, ""y"": -9.500713348388672, ""vx"": -0.0015319348312914371, ""vy"": 1.100437045097351, ""r"": 2.5906050205230713}]"
8,0.4,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.0005179024006613937,-8.77889595193122e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.64485931396484,24.470983505249023,0.0027785147163541246,5.0,-40.64495195563356,24.53766777263946,0.0027785147163541246,5.0,1,"[{""id"": 101, ""x"": -110.20024871826172, ""y"": -9.445897102355957, ""vx"": 0.004462922923266888, ""vy"": 1.1001251935958862, ""r"": 2.5906050205230713}]"
9,0.45,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.0001710319723270767,-8.781940188343652e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.64485931396484,24.470983505249023,0.0027785147163541246,5.0,-40.64495195563356,24.53766777263946,0.0027785147163541246,5.0,1,"[{""id"": 101, ""x"": -110.19965362548828, ""y"": -9.38883113861084, ""vx"": 0.005261841230094433, ""vy"": 1.203782320022583, ""r"": 2.5906050205230713}]"
10,0.5,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.00023287774154184173,-8.781397240224462e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.64485931396484,24.470983505249023,0.0027785147163541246,5.0,-40.64495195563356,24.53766777263946,0.0027785147163541246,5.0,1,"[{""id"": 101, ""x"": -110.19943237304688, ""y"": -9.316619873046875, ""vx"": 0.005844611208885908, ""vy"": 1.5929179191589355, ""r"": 2.5906050205230713}]"
11,0.55,-64.64485931396484,24.470983505249023,0.0027785147163541246,0.0002258491551860106,-8.781459073629611e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,1.0013580322265625,31,0.1,51,-64.64485931396484,24.470983505249023,0.0027785147163541246,5.0,-40.64495195563356,24.53766777263946,0.0027785147163541246,5.0,1,"[{""id"": 101, ""x"": -110.19931030273438, ""y"": -9.232245445251465, ""vx"": 0.013703078962862492, ""vy"": 1.8357006311416626, ""r"": 2.5906050205230713}]"
