step,t,x,y,yaw,speed_mps
0,0.0,-41.49156951904297,111.94535064697266,-1.5736095570124018,0.0
1,0.05,-41.49156951904297,111.94535064697266,-1.5736095570124018,0.002353935650154818
2,0.1,-41.4915771484375,111.94535827636719,-1.5736095570124018,7.719500168915635e-05
3,0.15000000000000002,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0008325204304148035
4,0.2,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0010755924433534865
5,0.25,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0010226062136663057
6,0.30000000000000004,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0008608152375299806
7,0.35000000000000003,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0006768227979220874
8,0.4,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.0005113507351111163
9,0.45,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.00016936310361128327
10,0.5,-41.4915771484375,111.94535827636719,-1.5736095570124018,0.00023063666982832724
11,0.55,-41.49161148071289,111.93263244628906,-1.5736160817570726,0.5712047580357205
12,0.6000000000000001,-41.49175262451172,111.88140106201172,-1.573615948599018,1.2957430341855452
13,0.65,-41.49197006225586,111.80020141601562,-1.5736303296689045,1.795016197905691
14,0.7000000000000001,-41.49228286743164,111.69631958007812,-1.5735546958939461,2.2321354529345028
15,0.75,-41.49261474609375,111.57486724853516,-1.5735637506416524,2.5551423645811946
16,0.8,-41.493003845214844,111.437744140625,-1.5735489700976024,2.864018319832164
17,0.8500000000000001,-41.49341583251953,111.28614044189453,-1.57355096746842,3.1433694352367976
18,0.9,-41.49386978149414,111.12043762207031,-1.57355096746842,3.428667674009081
19,0.9500000000000001,-41.49436950683594,110.9410400390625,-1.57355096746842,3.6932470193671594
20,1.0,-41.494895935058594,110.74874114990234,-1.57355096746842,3.9465400641512804
21,1.05,-41.49933624267578,110.54457092285156,-1.5768773888279835,4.174542533341658
22,1.1,-41.51478576660156,110.33068084716797,-1.5884232574179131,4.37289072791901
23,1.1500000000000001,-41.544822692871094,110.10967254638672,-1.6093136256407126,4.547226342831911
24,1.2000000000000002,-41.59209060668945,109.88446807861328,-1.6398825870551326,4.698847438275157
25,1.25,-41.65890121459961,109.6584243774414,-1.6802521144390987,4.8264034084882965
26,1.3,-41.7471923828125,109.43557739257812,-1.7303459082273802,4.926685757503424
27,1.35,-41.858245849609375,109.2206802368164,-1.7899096365358744,4.995337841907458
28,1.4000000000000001,-41.99094772338867,109.01224517822266,-1.8552303201727929,5.174015622506892
29,1.4500000000000002,-42.142112731933594,108.80320739746094,-1.9209448853349342,5.40157110694567
30,1.5,-42.30790328979492,108.58718872070312,-1.9812151502806266,5.692030101184428
31,1.55,-42.4764289855957,108.36040496826172,-2.0294087786311366,5.754492321233359
32,1.6,-42.6407470703125,108.12308502197266,-2.060779884165888,5.846328292139716
33,1.6500000000000001,-42.795082092285156,107.87326049804688,-2.074566935971174,5.905729870285053
34,1.7000000000000002,-42.93671417236328,107.61148834228516,-2.069932769358327,5.987537168835129
35,1.75,-43.06236267089844,107.33800506591797,-2.0510901056976896,6.062884875877706
36,1.8,-43.16962814331055,107.05303192138672,-2.017824027889292,6.1695745830123485
37,1.85,-43.25430679321289,106.7576904296875,-1.9727328490506695,6.21370143182741
38,1.9000000000000001,-43.318485260009766,106.45237731933594,-1.9193228870730215,6.3718826638592905
39,1.9500000000000002,-43.37123489379883,106.134521484375,-1.8690432046406524,6.607013686146211
40,2.0,-43.42515182495117,105.80323791503906,-1.8297984633430813,6.840913019182501
41,2.0500000000000003,-43.47990798950195,105.4608383178711,-1.8005305892792194,7.02824941978936
42,2.1,-43.53137969970703,105.1098403930664,-1.7736024353910467,7.161297175543657
43,2.15,-43.57679748535156,104.75182342529297,-1.7489202584081924,7.272921677642255
44,2.2,-43.61560821533203,104.38864135742188,-1.7237737592892828,7.3435339291565755
45,2.25,-43.64638137817383,104.02167510986328,-1.6997967873630813,7.396510637398084
46,2.3000000000000003,-43.67642593383789,103.65252685546875,-1.6813942110725792,7.4209113561295315
47,2.35,-43.71614074707031,103.28404998779297,-1.679049697206928,7.402598946384466
48,2.4000000000000004,-43.76942443847656,102.91969299316406,-1.6898578701749056,7.3487073313369855
49,2.45,-43.833740234375,102.55950927734375,-1.709836638356571,7.310807104585741
50,2.5,-43.901206970214844,102.20079040527344,-1.7259425045229888,7.302403900656885
51,2.5500000000000003,-43.959228515625,101.84169006347656,-1.7297285874866999,7.25611563874397
52,2.6,-44.00444412231445,101.48355102539062,-1.7190869952449068,7.20224143717954
53,2.6500000000000004,-44.03782272338867,101.1263198852539,-1.7015632621141308,7.173841535909646
54,2.7,-44.062137603759766,100.76947784423828,-1.6795659509842398,7.156792505797053
55,2.75,-44.07732391357422,100.41246795654297,-1.6571264219553412,7.15903097817552
56,2.8000000000000003,-44.08443832397461,100.05516052246094,-1.633141061071706,7.158906514385997
57,2.85,-44.08979797363281,99.69686126708984,-1.61643212207644,7.179683923408884
58,2.9000000000000004,-44.10533142089844,99.33880615234375,-1.613357902072107,7.158881397006634
59,2.95,-44.1337776184082,98.98302459716797,-1.625088594041688,7.131821234473646
60,3.0,-44.17409133911133,98.6292953491211,-1.643760149602288,7.129357348042033
61,3.0500000000000003,-44.21689224243164,98.2750473022461,-1.660530607618735,7.149050791690543
62,3.1,-44.25096130371094,97.91912078857422,-1.6629539510526525,7.1503859459219195
63,3.1500000000000004,-44.27157211303711,97.56305694580078,-1.653052318119738,7.1298025572987695
64,3.2,-44.28110122680664,97.2070083618164,-1.6343180451154666,7.132032800882417
65,3.25,-44.281009674072266,96.8503189086914,-1.613343920476384,7.151773302701739
66,3.3000000000000003,-44.27967071533203,96.49223327636719,-1.5964128738462053,7.17526463199534
67,3.35,-44.28789138793945,96.13348388671875,-1.5947274923503487,7.17485690991686
68,3.4000000000000004,-44.309898376464844,95.77638244628906,-1.6056650949473041,7.151281383620163
69,3.45,-44.343223571777344,95.42083740234375,-1.6254828750410741,7.150042197106176
70,3.5,-44.379783630371094,95.06459045410156,-1.641275153989135,7.179546984610289
71,3.5500000000000003,-44.40688705444336,94.70681762695312,-1.6447469839442168,7.171423810925915
72,3.6,-44.42124938964844,94.34928131103516,-1.6338535898213569,7.152604377374939
73,3.6500000000000004,-44.42384338378906,93.99205780029297,-1.6161366443534957,7.1540546607555795
74,3.7,-44.417503356933594,93.63463592529297,-1.594135737956133,7.162743554556079
75,3.75,-44.409202575683594,93.27595520019531,-1.5782648957559149,7.19174076281622
76,3.8000000000000003,-44.411136627197266,92.91673278808594,-1.5755888183345488,7.178092040868988
77,3.85,-44.42622375488281,92.55908203125,-1.5875918185255904,7.154088863369074
78,3.9000000000000004,-44.453372955322266,92.20293426513672,-1.606467239067636,7.153142533598702
79,3.95,-44.4830207824707,91.84616088867188,-1.6233543435398283,7.172112915586341
80,4.0,-44.50389099121094,91.48811340332031,-1.6258400049432538,7.1712137928992385
81,4.05,-44.51131057739258,91.13058471679688,-1.6159693978370386,7.147458273234604
82,4.1000000000000005,-44.5076904296875,90.7736587524414,-1.5972521690637438,7.145958832470759
83,4.15,-44.49441909790039,90.41664123535156,-1.5762851018015498,7.161910191333996
84,4.2,-44.479862213134766,90.0584487915039,-1.5593552535938617,7.181623704840258
85,4.25,-44.47481155395508,89.69943237304688,-1.5576721357849317,7.1778645782888955
86,4.3,-44.48366165161133,89.34173583984375,-1.5686684610839232,7.150787499086417
87,4.3500000000000005,-44.50398254394531,88.9853286743164,-1.5886405713628635,7.1469489545580895
88,4.4,-44.52761459350586,88.62818145751953,-1.6046449710917492,7.175367148590493
89,4.45,-44.54185104370117,88.26991271972656,-1.6083606134446278,7.166987856981377
90,4.5,-44.54337692260742,87.91231536865234,-1.5976649590327061,7.1477869002970875
91,4.55,-44.533226013183594,87.55543518066406,-1.580151479072127,7.149898146369734
92,4.6000000000000005,-44.51416778564453,87.19866180419922,-1.5582921196867021,7.158642215592061
93,4.65,-44.493064880371094,86.84069061279297,-1.5424830628237736,7.188183287534746
94,4.7,-44.48215866088867,86.48177337646484,-1.5398321522747087,7.1753418286860455
95,4.75,-44.48446273803711,86.1239242553711,-1.5518450061617837,7.152128988104069
96,4.800000000000001,-44.49897003173828,85.76713562011719,-1.5708176320836171,7.151138717242457
97,4.8500000000000005,-44.52298355102539,85.41075897216797,-1.594247191247753,7.157266975257588
98,4.9,-44.549705505371094,85.05323791503906,-1.6117235201111253,7.188797648275882
99,4.95,-44.570960998535156,84.6940689086914,-1.6198272529921274,7.204095002493691
100,5.0,-44.58723449707031,84.33391571044922,-1.6190006077897667,7.210938987592764
