step,t,steer,throttle,brake
0,0.0,-1.2135330921029218e-15,0.75,0.0
1,0.05,-5.7613935933805045e-15,0.75,0.0
2,0.1,-5.770137938011484e-15,0.75,0.0
3,0.15000000000000002,-5.767233885551823e-15,0.75,0.0
4,0.2,-1.211621656378324e-15,0.75,0.0
5,0.25,-1.2117157829145877e-15,0.75,0.0
6,0.30000000000000004,-1.2120031388419437e-15,0.75,0.0
7,0.35000000000000003,-1.2123299876804655e-15,0.75,0.0
8,0.4,-1.2126240139922811e-15,0.75,0.0
9,0.45,-1.2132318660110545e-15,0.75,0.0
10,0.5,-1.2131230222773323e-15,0.75,0.0
11,0.55,-8.604092068540455e-15,0.75,0.0
12,0.6000000000000001,-8.515298451712734e-15,0.75,0.0
13,0.65,5.85120703787672e-15,0.75,0.0
14,0.7000000000000001,-6.3128454998444706e-15,0.75,0.0
15,0.75,-7.264236717848763e-15,0.75,0.0
16,0.8,5.1415962924684835e-15,0.75,0.0
17,0.8500000000000001,-8.782866842387948e-15,0.75,0.0
18,0.9,-8.274466656017603e-15,0.75,0.0
19,0.9500000000000001,-7.852908522564504e-15,0.75,0.0
20,1.0,-0.2142857164144516,0.75,0.0
21,1.05,-0.4285714328289032,0.75,0.0
22,1.1,-0.6428571343421936,0.75,0.0
23,1.1500000000000001,-0.8571428656578064,0.75,0.0
24,1.2000000000000002,-1.0,0.75,0.0
25,1.25,-1.0,0.75,0.0
26,1.3,-1.0,0.75,0.0
27,1.35,-0.7857142686843872,0.75,0.0
28,1.4000000000000001,-0.7294754981994629,0.75,0.0
29,1.4500000000000002,-0.5151897668838501,0.75,0.0
30,1.5,-0.3009040653705597,0.75,0.0
31,1.55,-0.0866183415055275,0.75,0.0
32,1.6,0.1276673823595047,0.75,0.0
33,1.6500000000000001,0.3419530987739563,0.75,0.0
34,1.7000000000000002,0.38036030530929565,0.75,0.0
35,1.75,0.5946460366249084,0.75,0.0
36,1.8,0.7653230428695679,0.75,0.0
37,1.85,0.5510373115539551,0.75,0.0
38,1.9000000000000001,0.35350102186203003,0.75,0.0
39,1.9500000000000002,0.2062922865152359,0.6964931488037109,0.0
40,2.0,0.20001542568206787,0.5795434713363647,0.0
41,2.0500000000000003,0.1968701183795929,0.48587527871131897,0.0
42,2.1,0.19258248805999756,0.41935139894485474,0.0
43,2.15,0.1908363550901413,0.3635391592979431,0.0
44,2.2,0.18975406885147095,0.3282330334186554,0.0
45,2.25,-0.024531643837690353,0.301744669675827,0.0
46,2.3000000000000003,-0.2027379870414734,0.28954431414604187,0.0
47,2.35,-0.20270609855651855,0.2987005412578583,0.0
48,2.4000000000000004,-0.2026115208864212,0.3256463408470154,0.0
49,2.45,0.011674194596707821,0.3445964455604553,0.0
50,2.5,0.19038252532482147,0.3487980365753174,0.0
51,2.5500000000000003,0.19109642505645752,0.3719421923160553,0.0
52,2.6,0.19193683564662933,0.3988792896270752,0.0
53,2.6500000000000004,0.19238370656967163,0.41307923197746277,0.0
54,2.7,0.1926535665988922,0.4216037392616272,0.0
55,2.75,0.19013164937496185,0.4204845130443573,0.0
56,2.8000000000000003,-0.0241540614515543,0.4205467402935028,0.0
57,2.85,-0.20441478490829468,0.41015803813934326,0.0
58,2.9000000000000004,-0.20226934552192688,0.420559287071228,0.0
59,2.95,-0.2022189348936081,0.43408939242362976,0.0
60,3.0,0.012066778726875782,0.4353213310241699,0.0
61,3.0500000000000003,0.19277645647525787,0.425474613904953,0.0
62,3.1,0.19275525212287903,0.42480704188346863,0.0
63,3.1500000000000004,0.19308294355869293,0.43509870767593384,0.0
64,3.2,0.19055835902690887,0.43398359417915344,0.0
65,3.25,-0.023727355524897575,0.42411336302757263,0.0
66,3.3000000000000003,-0.20229949057102203,0.41236767172813416,0.0
67,3.35,-0.20229874551296234,0.4125715494155884,0.0
68,3.4000000000000004,-0.20225496590137482,0.4243593215942383,0.0
69,3.45,0.012030750513076782,0.42497891187667847,0.0
70,3.5,0.19229364395141602,0.4102264940738678,0.0
71,3.5500000000000003,0.19242191314697266,0.41428810358047485,0.0
72,3.6,0.19272002577781677,0.4236977994441986,0.0
73,3.6500000000000004,0.19021010398864746,0.4229726791381836,0.0
74,3.7,-0.02407560870051384,0.4186282157897949,0.0
75,3.75,-0.20443619787693024,0.40412962436676025,0.0
76,3.8000000000000003,-0.2044123113155365,0.41095396876335144,0.0
77,3.85,-0.20226049423217773,0.42295557260513306,0.0
78,3.9000000000000004,0.012025218456983566,0.4234287440776825,0.0
79,3.95,0.19241070747375488,0.4139435291290283,0.0
80,4.0,0.19242523610591888,0.4143930971622467,0.0
81,4.05,0.19280144572257996,0.42627087235450745,0.0
