step,t,steer,throttle,brake
0,0.0,-1.8856145604753986e-15,0.75,0.0
1,0.05,-1.8830588503152956e-15,0.75,0.0
2,0.1,-1.885211796308979e-15,0.75,0.0
3,0.15000000000000002,-1.8841007008404183e-15,0.75,0.0
4,0.2,-1.883871578428186e-15,0.75,0.0
5,0.25,-1.8840219267763237e-15,0.75,0.0
6,0.30000000000000004,-1.884302294681865e-15,0.75,0.0
7,0.35000000000000003,-1.884595156323378e-15,0.75,0.0
8,0.4,-1.8848515955481593e-15,0.75,0.0
9,0.45,-1.8853646857559586e-15,0.75,0.0
10,0.5,-1.885274688505313e-15,0.75,0.0
11,0.55,-8.604089527441613e-15,0.75,0.0
12,0.6000000000000001,-5.020791606498128e-15,0.75,0.0
13,0.65,-1.2701936670436037e-15,0.75,0.0
14,0.7000000000000001,9.76353278959877e-15,0.75,0.0
15,0.75,-7.687610889940775e-15,0.75,0.0
16,0.8,-8.259474172851201e-15,0.75,0.0
17,0.8500000000000001,5.052154271919639e-15,0.75,0.0
18,0.9,-4.217217431608163e-16,0.75,0.0
19,0.9500000000000001,-4.002462021650288e-16,0.75,0.0
20,1.0,-0.2142857164144516,0.75,0.0
21,1.05,-0.4285714328289032,0.75,0.0
22,1.1,-0.6428571343421936,0.75,0.0
23,1.1500000000000001,-0.8571428656578064,0.75,0.0
24,1.2000000000000002,-1.0,0.75,0.0
25,1.25,-1.0,0.75,0.0
26,1.3,-1.0,0.75,0.0
27,1.35,-0.7857142686843872,0.75,0.0
28,1.4000000000000001,-0.7294735908508301,0.75,0.0
29,1.4500000000000002,-0.5151878595352173,0.75,0.0
30,1.5,-0.3009021580219269,0.75,0.0
31,1.55,-0.08661642670631409,0.75,0.0
32,1.6,0.1276692897081375,0.75,0.0
33,1.6500000000000001,0.3419550061225891,0.75,0.0
34,1.7000000000000002,0.3803568184375763,0.75,0.0
35,1.75,0.5946425199508667,0.75,0.0
36,1.8,0.7653207182884216,0.75,0.0
37,1.85,0.5510349869728088,0.75,0.0
38,1.9000000000000001,0.35349929332733154,0.75,0.0
39,1.9500000000000002,0.20628994703292847,0.6964288949966431,0.0
40,2.0,0.20001356303691864,0.5794894695281982,0.0
41,2.0500000000000003,0.19686836004257202,0.4858216345310211,0.0
42,2.1,0.1925809383392334,0.4193025231361389,0.0
