step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,best_cost,timing_plan_total_ms,debug_reason,debug_expansions,debug_best_cost,debug_ms,debug_target_offset_m,debug_corridor_soft_half_width_m,debug_corridor_hard_half_width_m,debug_lane_selector_reason,debug_lane_selector_switched,debug_tracked_lead_id,debug_keep_cost,debug_pass_cost,debug_path_len_raw,debug_path_len_smoothed,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,min_obstacle_distance_m,num_obstacles,obstacles,tracked_lead_id,tracked_lead_x,tracked_lead_y,tracked_lead_vx,tracked_lead_vy,tracked_lead_speed_mps,tracked_lead_distance_m,tracked_lead_relative_longitudinal_m,tracked_lead_relative_lateral_m,event_collision,event_collision_count,event_lane_invasion,event_lane_invasion_count
10,0.5,-41.49152755737305,111.94532012939453,-1.57361008964462,0.000270500257449134,-1.885274688505313e-15,0.75,0.0,PlanStatus.OK,46.88298052439887,120.51282899847138,best_effort,30,46.88298052439887,82.67974853515625,0.0,1.6,2.2,stay_keep_lane,False,48,1.3790886611651767,5.249885527317724,31,31,0.1,61,-41.49152755737305,111.94532012939453,-1.57361008964462,8.0,-42.26761866762059,97.08401277689188,-2.0265382589711867,8.0,17.892523372243176,1,"[{""id"": 48, ""x"": -41.54909896850586, ""y"": 91.46227264404297, ""vx"": -0.002811528043821454, ""vy"": -0.9993824362754822, ""r"": 2.5906050205230713}]",48,-41.54909896850586,91.46227264404297,-0.002811528043821454,-0.9993824362754822,0.999386391054961,20.483128392766247,20.48312839266881,6.31787832704872e-05,False,0,False,0
11,0.55,-41.49156188964844,111.9325942993164,-1.5736160817570726,0.5712024492311012,-8.604089527441613e-15,0.75,0.0,PlanStatus.OK,46.86544689193224,119.53770499894745,best_effort,29,46.86544689193224,81.2234878540039,0.0,1.6,2.2,stay_keep_lane,False,48,1.3473826903505965,5.249887768420198,31,31,0.1,61,-41.49156188964844,111.9325942993164,-1.5736160817570792,8.0,-42.26774205050698,97.0712915975058,-2.026544251083626,8.0,17.927397475663707,1,"[{""id"": 48, ""x"": -41.549232482910156, ""y"": 91.4146728515625, ""vx"": -0.002811451442539692, ""vy"": -0.9993826150894165, ""r"": 2.5906050205230713}]",48,-41.549232482910156,91.4146728515625,-0.002811451442539692,-0.9993826150894165,0.9993865696526918,20.518002496186778,20.518002495352125,0.00018507015559575402,False,0,False,0
12,0.6000000000000001,-41.491703033447266,111.88138580322266,-1.5736166143892905,1.2940834030104846,-5.020791606498128e-15,0.75,0.0,PlanStatus.OK,46.81480671110915,120.63917600244167,best_effort,30,46.81480671110915,82.9615592956543,0.0,1.6,2.2,stay_keep_lane,False,48,1.3506657412915488,3.776410862312857,31,31,0.1,61,-41.491703033447266,111.88138580322266,-1.5736166143892936,8.0,-42.26789110991428,97.02008351483272,-2.0265447837158557,8.0,17.9237811354968,1,"[{""id"": 48, ""x"": -41.54936599731445, ""y"": 91.36708068847656, ""vx"": -0.0028115087188780308, ""vy"": -0.9993829131126404, ""r"": 2.5906050205230713}]",48,-41.54936599731445,91.36708068847656,-0.0028115087188780308,-0.9993829131126404,0.9993868678358665,20.51438615601987,20.514386155107953,0.0001934289833620123,False,0,False,0
13,0.65,-41.49192428588867,111.7999496459961,-1.5736255359789422,1.8024791225352963,-1.2701936670436037e-15,0.75,0.0,PlanStatus.OK,46.73912637059466,119.23712299903855,best_effort,29,46.73912637059466,80.94024658203125,0.0,1.6,2.2,stay_keep_lane,False,48,1.381414171969503,1.2344461364809227,31,31,0.1,61,-41.49192428588867,111.7999496459961,-1.5736255359789428,8.0,-42.26824494876548,96.93865428302915,-2.0265537053055,8.0,17.88994464707878,1,"[{""id"": 48, ""x"": -41.549495697021484, ""y"": 91.3194808959961, ""vx"": -0.002811536192893982, ""vy"": -0.9993832111358643, ""r"": 2.5906050205230713}]",48,-41.549495697021484,91.3194808959961,-0.002811536192893982,-0.9993832111358643,0.9993871659352022,20.480549667601853,20.48054966421848,0.00037227226036266187,False,0,False,0
14,0.7000000000000001,-41.49221420288086,111.69593811035156,-1.573617546495672,2.2297957991071633,9.76353278959877e-15,0.75,0.0,PlanStatus.OK,46.64376155593082,121.1909999983618,best_effort,30,46.64376155593082,83.08291435241699,0.0,1.6,2.2,stay_keep_lane,False,48,1.4326934181043727,-0.9021325271028351,31,31,0.1,61,-41.49221420288086,111.69593811035156,-1.573617546495667,8.0,-42.26841613166214,96.8346365454579,-2.026545715822237,8.0,17.83353268714259,1,"[{""id"": 48, ""x"": -41.54962921142578, ""y"": 91.27188110351562, ""vx"": -0.0028116193134337664, ""vy"": -0.9993832111358643, ""r"": 2.5906050205230713}]",48,-41.54962921142578,91.27188110351562,-0.0028116193134337664,-0.9993832111358643,0.9993871661690453,20.42413770766566,20.424137706627846,0.00020589550686346547,False,0,False,0
15,0.75,-41.4925537109375,111.57442474365234,-1.5736345907266485,2.5568016294748444,-7.687610889940775e-15,0.75,0.0,PlanStatus.OK,47.03683761695075,127.32465800218051,best_effort,30,47.03683761695075,86.20667457580566,0.0,1.6,2.2,stay_keep_lane,False,48,1.4998839800431527,-2.537153863808843,31,31,0.1,61,-41.4925537109375,111.57442474365234,-1.5736345907266536,8.0,-42.26900893906262,96.71313641068221,-2.026562760053208,8.0,17.759618815175195,1,"[{""id"": 48, ""x"": -41.54975891113281, ""y"": 91.22428131103516, ""vx"": -0.0028115171007812023, ""vy"": -0.9993839263916016, ""r"": 2.5906050205230713}]",48,-41.54975891113281,91.22428131103516,-0.0028115171007812023,-0.9993839263916016,0.9993878811343982,20.350223835698266,20.35022382815658,0.0005540307818025364,False,0,False,0
16,0.8,-41.49293899536133,111.43724060058594,-1.5736345907266485,2.8649605064067796,-8.259474172851201e-15,0.75,0.0,PlanStatus.OK,46.91825778987727,120.26894700102275,best_effort,30,46.91825778987727,82.21054077148438,0.0,1.6,2.2,stay_keep_lane,False,48,1.5813301719946329,-4.077945905426289,31,31,0.1,61,-41.49293899536133,111.43724060058594,-1.5736345907266536,8.0,-42.26939422348645,96.5759522676158,-2.026562760053208,8.0,17.67002648143532,1,"[{""id"": 48, ""x"": -41.54989242553711, ""y"": 91.17668914794922, ""vx"": -0.0028115513268858194, ""vy"": -0.9993840456008911, ""r"": 2.5906050205230713}]",48,-41.54989242553711,91.17668914794922,-0.0028115513268858194,-0.9993840456008911,0.9993880004395028,20.26063150195839,20.260631494452003,0.0005515144432943347,False,0,False,0
17,0.8500000000000001,-41.493370056152344,111.28560638427734,-1.573636854413575,3.1440132019057137,5.052154271919639e-15,0.75,0.0,PlanStatus.OK,46.79183367708326,119.92846800058032,best_effort,30,46.79183367708326,80.31249046325684,0.0,1.6,2.2,stay_keep_lane,False,48,1.6759135783618342,-5.473213201165601,31,31,0.1,61,-41.493370056152344,111.28560638427734,-1.573636854413575,8.0,-42.26985892557958,96.42431980899705,-2.1760893092201403,8.0,17.565991621509117,1,"[{""id"": 48, ""x"": -41.55002212524414, ""y"": 91.12908935546875, ""vx"": -0.00281154690310359, ""vy"": -0.9993844628334045, ""r"": 2.5906050205230713}]",48,-41.55002212524414,91.12908935546875,-0.00281154690310359,-0.9993844628334045,0.9993884176579199,20.156596642032188,20.15659663300583,0.0006032257813537792,False,0,False,0
18,0.9,-41.49384307861328,111.119873046875,-1.5736369875716296,3.4291260239199444,-4.217217431608163e-16,0.75,0.0,PlanStatus.OK,47.15933450324411,126.62125199858565,best_effort,28,47.15933450324411,82.06701278686523,0.0,1.6,2.2,stay_keep_lane,False,48,1.7833178169683293,-6.898786037615573,31,31,0.1,61,-41.49384307861328,111.119873046875,-1.5736369875716296,8.0,-42.27033392694047,96.25858657499045,-2.176089442378195,8.0,17.447857588964574,1,"[{""id"": 48, ""x"": -41.55015563964844, ""y"": 91.08148956298828, ""vx"": -0.002811554353684187, ""vy"": -0.9993845820426941, ""r"": 2.5906050205230713}]",48,-41.55015563964844,91.08148956298828,-0.002811554353684187,-0.9993845820426941,0.9993885368876981,20.038462609487645,20.038462600207883,0.0006098396052238719,False,0,False,0
19,0.9500000000000001,-41.49435043334961,110.94046783447266,-1.5736369875716296,3.693602437560465,-4.002462021650288e-16,0.75,0.0,PlanStatus.OK,47.02401621708564,120.6943239994871,best_effort,30,47.02401621708564,82.10873603820801,0.0,1.6,2.2,stay_keep_lane,False,48,1.9031517808128007,-8.221171205253029,31,31,0.1,61,-41.49435043334961,110.94046783447266,-1.5736369875716296,8.0,-42.270841281676795,96.0791813625881,-2.176089442378195,8.0,17.316043998842765,1,"[{""id"": 48, ""x"": -41.55028533935547, ""y"": 91.03389739990234, ""vx"": -0.002811517333611846, ""vy"": -0.9993845820426941, ""r"": 2.5906050205230713}]",48,-41.55028533935547,91.03389739990234,-0.002811517333611846,-0.9993845820426941,0.9993885367835512,19.906649019365837,19.906649009925786,0.0006130574553271928,False,0,False,0
20,1.0,-41.494895935058594,110.74813079833984,-1.5736369875716296,3.946838561227406,-0.2142857164144516,0.75,0.0,PlanStatus.OK,261.1423234016248,146.09992699843133,best_effort,27,261.1423234016248,81.87675476074219,-3.5,1.6,2.2,switch_to_pass_lane,True,48,2.034737664530936,-9.487356363994481,55,55,0.1,61,-41.494895935058594,110.74813079833984,-1.5736369875716296,8.0,-45.02092435151232,84.64735790673114,-1.5736369875716298,8.0,17.171306168938543,1,"[{""id"": 48, ""x"": -41.550418853759766, ""y"": 90.98629760742188, ""vx"": -0.002811514073982835, ""vy"": -0.9993848204612732, ""r"": 2.5906050205230713}]",48,-41.550418853759766,90.98629760742188,-0.002811514073982835,-0.9993848204612732,0.9993887751920167,19.761911189461614,19.76191117992645,0.0006138942397559619,False,0,False,0
21,1.05,-41.49934387207031,110.54393005371094,-1.576963142615084,4.174806619643249,-0.4285714328289032,0.75,0.0,PlanStatus.OK,259.026734383446,148.1681280019984,best_effort,27,259.026734383446,82.45635032653809,-3.5,1.6,2.2,stay_pass_lane,False,48,71.8212812294299,-10.633007114463794,55,55,0.1,61,-41.49934387207031,110.54393005371094,-1.576963142615084,8.0,-45.11216784108832,84.45502963798161,-1.5769631426150843,8.0,17.014694095944403,1,"[{""id"": 48, ""x"": -41.55055236816406, ""y"": 90.9386978149414, ""vx"": -0.002811664016917348, ""vy"": -0.9993845820426941, ""r"": 2.5906050205230713}]",48,-41.55055236816406,90.9386978149414,-0.002811664016917348,-0.9993845820426941,0.999388537196217,19.605299116467474,19.60517524157306,0.06969356764431472,False,0,False,0
22,1.1,-41.51481246948242,110.33003997802734,-1.588509410679177,4.373131925782159,-0.6428571343421936,0.75,0.0,PlanStatus.OK,251.7987509496178,131.26626099983696,best_effort,26,251.7987509496178,81.25853538513184,-3.5,1.6,2.2,stay_pass_lane,False,48,71.58106627277527,-11.646931886558619,43,43,0.1,61,-41.51481246948242,110.33003997802734,-1.588509410679177,8.0,-45.32234541575828,90.28365105263123,-1.588509410679177,8.0,16.848370029102576,1,"[{""id"": 48, ""x"": -41.550682067871094, ""y"": 90.89109802246094, ""vx"": -0.0028115990571677685, ""vy"": -0.9993850588798523, ""r"": 2.5906050205230713}]",48,-41.550682067871094,90.89109802246094,-0.0028115990571677685,-0.9993850588798523,0.9993890138487336,19.438975049625647,19.436527846790764,0.3084416328833066,False,0,False,0
23,1.1500000000000001,-41.54487228393555,110.10902404785156,-1.6094009773244673,4.5474525211687515,-0.8571428656578064,0.75,0.0,PlanStatus.OK,238.80728104824948,155.85123400160228,best_effort,26,238.80728104824948,80.77549934387207,-3.5,1.6,2.2,stay_pass_lane,False,48,71.35976122863065,-12.562694232187859,55,55,0.1,61,-41.54487228393555,110.10902404785156,-1.6094009773244673,8.0,-45.16629230989738,84.19774592678402,-1.6094009773244675,8.0,16.67491408468965,1,"[{""id"": 48, ""x"": -41.55081558227539, ""y"": 90.843505859375, ""vx"": -0.002811674028635025, ""vy"": -0.999384880065918, ""r"": 2.5906050205230713}]",48,-41.55081558227539,90.843505859375,-0.002811674028635025,-0.999384880065918,0.9993888352464283,19.26551910521272,19.251393468952024,0.7376150058856502,False,0,False,0
24,1.2000000000000002,-41.59215545654297,109.88380432128906,-1.6399708708452687,4.6990609182353555,-1.0,0.75,0.0,PlanStatus.OK,221.41557374651399,127.46741299997666,best_effort,23,221.41557374651399,82.6730728149414,-3.5,1.6,2.2,stay_pass_lane,False,48,71.17807777064228,-13.39070915222776,37,37,0.1,61,-41.59215545654297,109.88380432128906,-1.6399708708452687,8.0,-45.032959158672924,93.0794625477385,-1.3603717135258369,8.0,16.497337719557777,1,"[{""id"": 48, ""x"": -41.55094528198242, ""y"": 90.79590606689453, ""vx"": -0.0028115506283938885, ""vy"": -0.9993852972984314, ""r"": 2.5906050205230713}]",48,-41.55094528198242,90.79590606689453,-0.0028115506283938885,-0.9993852972984314,0.9993892521301248,19.087942740080848,19.03939912191132,1.3604554844490833,False,0,False,0
25,1.25,-41.65898513793945,109.65776062011719,-1.6803413303356165,4.826607335763267,-1.0,0.75,0.0,PlanStatus.OK,197.86643181488122,147.407544998714,best_effort,27,197.86643181488122,81.94375038146973,-3.5,1.6,2.2,stay_pass_lane,False,48,71.06268636639906,-14.127731787498865,55,55,0.1,61,-41.65898513793945,109.65776062011719,-1.6803413303356165,8.0,-45.206773713649184,83.59108030680811,-1.4007421730161833,8.0,16.31915720513112,1,"[{""id"": 48, ""x"": -41.55107879638672, ""y"": 90.74830627441406, ""vx"": -0.002811533398926258, ""vy"": -0.9993850588798523, ""r"": 2.5906050205230713}]",48,-41.55107879638672,90.74830627441406,-0.002811533398926258,-0.9993850588798523,0.9993890136640182,18.90976222565419,18.784313040457832,2.174555363485591,False,0,False,0
26,1.3,-41.7473030090332,109.43490600585938,-1.730436455704443,4.9268805847791315,-1.0,0.75,0.0,PlanStatus.OK,171.99429027116008,145.7445199994254,best_effort,26,171.99429027116008,81.68554306030273,-3.5,1.6,2.2,stay_pass_lane,False,48,71.04590696894705,-14.760629152648786,55,55,0.1,61,-41.7473030090332,109.43490600585938,-1.730436455704443,8.0,-44.92410170322117,83.54540497133091,-1.45083729838501,8.0,16.144613126035175,1,"[{""id"": 48, ""x"": -41.55120849609375, ""y"": 90.70071411132812, ""vx"": -0.0028115329332649708, ""vy"": -0.9993858337402344, ""r"": 2.5906050205230713}]",48,-41.55120849609375,90.70071411132812,-0.0028115329332649708,-0.9993858337402344,0.9993897885200239,18.735218146558246,18.464806522397332,3.171642963758442,False,0,False,0
27,1.35,-41.85837936401367,109.22001647949219,-1.7900024476998637,4.99552300809215,-0.7857142686843872,0.75,0.0,PlanStatus.OK,146.2435718155658,132.70923600066453,best_effort,25,146.2435718155658,80.46770095825195,-3.5,1.6,2.2,stay_pass_lane,False,48,71.16440065903582,-15.269548979857067,43,43,0.1,61,-41.85837936401367,109.22001647949219,-1.7900024476998637,8.0,-45.213297428873695,89.17270482091259,-1.5104032903804319,8.0,15.978835675938427,1,"[{""id"": 48, ""x"": -41.55134201049805, ""y"": 90.65311431884766, ""vx"": -0.002811544109135866, ""vy"": -0.9993855357170105, ""r"": 2.5906050205230713}]",48,-41.55134201049805,90.65311431884766,-0.002811544109135866,-0.9993855357170105,0.99938949052942,18.5694406964615,18.05583667854518,4.337152247397253,False,0,False,0
28,1.4000000000000001,-41.99110794067383,109.01156616210938,-1.8553247292334363,5.1741933095293104,-0.7294735908508301,0.75,0.0,PlanStatus.OK,125.69644074096372,147.4658309998631,best_effort,26,125.69644074096372,81.92300796508789,-3.5,1.6,2.2,stay_pass_lane,False,48,71.42612104007547,-16.36111301496617,55,55,0.1,61,-41.99110794067383,109.01156616210938,-1.8553247292334363,8.0,-45.01700744987037,83.26470966541977,-1.5324714317463028,8.0,15.820696222968785,1,"[{""id"": 48, ""x"": -41.551475524902344, ""y"": 90.60551452636719, ""vx"": -0.0028115559834986925, ""vy"": -0.9993853569030762, ""r"": 2.5906050205230713}]",48,-41.551475524902344,90.60551452636719,-0.0028115559834986925,-0.9993853569030762,0.9993893117495991,18.411301243491856,17.542613534495445,5.588624505004968,False,0,False,0
29,1.4500000000000002,-42.14229965209961,108.80253601074219,-1.921040492818068,5.401745561419445,-0.5151878595352173,0.75,0.0,PlanStatus.OK,113.5388420379533,150.04291699733585,best_effort,26,113.5388420379533,83.36949348449707,-3.5,1.6,2.2,stay_pass_lane,False,48,71.80041067884939,-17.724774809569308,55,55,0.1,61,-42.14229965209961,108.80253601074219,-1.921040492818068,8.0,-45.25563383676828,82.62791940245894,-1.5981871953309348,8.0,15.663576019516913,1,"[{""id"": 48, ""x"": -41.551605224609375, ""y"": 90.55791473388672, ""vx"": -0.0028115883469581604, ""vy"": -0.9993860125541687, ""r"": 2.5906050205230713}]",48,-41.551605224609375,90.55791473388672,-0.0028115883469581604,-0.9993860125541687,0.9993899674891448,18.254181040039985,16.934288058882018,6.81505784138045,False,0,False,0
30,1.5,-42.30811309814453,108.58651733398438,-1.9813124888184688,5.6921982689618265,-0.3009021580219269,0.75,0.0,PlanStatus.OK,95.39091363648805,140.30006699977093,best_effort,25,95.39091363648805,80.85823059082031,-3.5,1.6,2.2,stay_pass_lane,False,48,72.2276330204751,-19.424847529886932,49,49,0.1,61,-42.30811309814453,108.58651733398438,-1.9813124888184688,8.0,-44.97098785768148,85.4066320860342,-1.6584591913313367,8.0,15.501407562042104,1,"[{""id"": 48, ""x"": -41.55173873901367, ""y"": 90.51032257080078, ""vx"": -0.0028115548193454742, ""vy"": -0.9993855357170105, ""r"": 2.5906050205230713}]",48,-41.55173873901367,90.51032257080078,-0.0028115548193454742,-0.9993855357170105,0.9993894905595507,18.092012582565175,16.27247739404731,7.9074268095200075,False,0,False,0
31,1.55,-42.4766731262207,108.35973358154297,-2.0295046524303793,5.754842255359626,-0.08661642670631409,0.75,0.0,PlanStatus.OK,84.97929254794364,147.26590300051612,best_effort,25,84.97929254794364,81.1460018157959,-3.5,1.6,2.2,stay_pass_lane,False,48,72.6076991970574,-19.98994631469172,55,55,0.1,61,-42.4766731262207,108.35973358154297,-2.0295046524303793,8.0,-44.987152819318034,82.33134982124244,-1.7066513549432472,8.0,15.33028389160097,1,"[{""id"": 48, ""x"": -41.5518684387207, ""y"": 90.46272277832031, ""vx"": -0.0028116300236433744, ""vy"": -0.9993860125541687, ""r"": 2.5906050205230713}]",48,-41.5518684387207,90.46272277832031,-0.0028116300236433744,-0.9993860125541687,0.9993899676063949,17.920888912124042,15.637416073153503,8.753826475077679,False,0,False,0
