step,t,x,y,yaw,speed_mps
0,0.0,-41.49152374267578,111.9453125,-1.57361008964462,0.0
1,0.05,-41.49152374267578,111.9453125,-1.57361008964462,0.002035867536315563
2,0.1,-41.49152755737305,111.94532012939453,-1.57361008964462,0.00032053376283410547
3,0.15000000000000002,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0012051780207881788
4,0.2,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0013877681232389294
5,0.25,-41.49152755737305,111.94532012939453,-1.57361008964462,0.001268043778571088
6,0.30000000000000004,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0010446359588146062
7,0.35000000000000003,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0008114243339668349
8,0.4,-41.49152755737305,111.94532012939453,-1.57361008964462,0.0006071663521612312
9,0.45,-41.49152755737305,111.94532012939453,-1.57361008964462,0.00019879348584716914
10,0.5,-41.49152755737305,111.94532012939453,-1.57361008964462,0.000270500257449134
11,0.55,-41.49156188964844,111.9325942993164,-1.5736160817570726,0.5712024492311012
12,0.6000000000000001,-41.491703033447266,111.88138580322266,-1.5736166143892905,1.2940834030104846
13,0.65,-41.49192428588867,111.7999496459961,-1.5736255359789422,1.8024791225352963
14,0.7000000000000001,-41.49221420288086,111.69593811035156,-1.573617546495672,2.2297957991071633
15,0.75,-41.4925537109375,111.57442474365234,-1.5736345907266485,2.5568016294748444
16,0.8,-41.49293899536133,111.43724060058594,-1.5736345907266485,2.8649605064067796
17,0.8500000000000001,-41.493370056152344,111.28560638427734,-1.573636854413575,3.1440132019057137
18,0.9,-41.49384307861328,111.119873046875,-1.5736369875716296,3.4291260239199444
19,0.9500000000000001,-41.49435043334961,110.94046783447266,-1.5736369875716296,3.693602437560465
20,1.0,-41.494895935058594,110.74813079833984,-1.5736369875716296,3.946838561227406
21,1.05,-41.49934387207031,110.54393005371094,-1.576963142615084,4.174806619643249
22,1.1,-41.51481246948242,110.33003997802734,-1.588509410679177,4.373131925782159
23,1.1500000000000001,-41.54487228393555,110.10902404785156,-1.6094009773244673,4.5474525211687515
24,1.2000000000000002,-41.59215545654297,109.88380432128906,-1.6399708708452687,4.6990609182353555
25,1.25,-41.65898513793945,109.65776062011719,-1.6803413303356165,4.826607335763267
26,1.3,-41.7473030090332,109.43490600585938,-1.730436455704443,4.9268805847791315
27,1.35,-41.85837936401367,109.22001647949219,-1.7900024476998637,4.99552300809215
28,1.4000000000000001,-41.99110794067383,109.01156616210938,-1.8553247292334363,5.1741933095293104
29,1.4500000000000002,-42.14229965209961,108.80253601074219,-1.921040492818068,5.401745561419445
30,1.5,-42.30811309814453,108.58651733398438,-1.9813124888184688,5.6921982689618265
31,1.55,-42.4766731262207,108.35973358154297,-2.0295046524303793,5.754842255359626
32,1.6,-42.641029357910156,108.12240600585938,-2.060877622177894,5.84664864937352
33,1.6500000000000001,-42.79540252685547,107.87258911132812,-2.074665472931507,5.90600759714394
34,1.7000000000000002,-42.937068939208984,107.6108169555664,-2.07003130631866,5.987756588500951
35,1.75,-43.06275177001953,107.33734893798828,-2.0511883763419134,6.06302996281605
36,1.8,-43.17005157470703,107.0523910522461,-2.0179222985335157,6.169646114313998
37,1.85,-43.2547607421875,106.75704193115234,-1.972829654956294,6.213941407602926
38,1.9000000000000001,-43.318973541259766,106.45172882080078,-1.9194182282400463,6.371999898073194
39,1.9500000000000002,-43.37174606323242,106.13386535644531,-1.8691365484368598,6.607142181938537
40,2.0,-43.425697326660156,105.80258178710938,-1.82989007608458,6.841021100216412
41,2.0500000000000003,-43.48048400878906,105.4601821899414,-1.8006210035982277,7.028356736964498
42,2.1,-43.53199005126953,105.10919952392578,-1.7736924502358915,7.161394947211236
43,2.15,-43.57744598388672,104.75116729736328,-1.7490098737788735,7.273003451238011
44,2.2,-43.61628723144531,104.38799285888672,-1.7238637741341274,7.3435987151613125
45,2.25,-43.64710235595703,104.02103424072266,-1.6998856037854355,7.396558212400134
