idx,x,y,yaw,v
0,-41.741268157958984,-2.632927894592285,-1.5569994212935716,8.0
1,-41.73023098372852,-3.432851753959542,-1.5569994212935716,8.0
2,-41.71919380949805,-4.232775613326798,-1.5569994212935716,8.0
3,-41.708156635267585,-5.0326994726940555,-1.5569994212935716,8.0
4,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
5,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
6,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
7,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
8,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
9,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
10,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
11,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
12,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
13,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
14,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
15,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
16,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
17,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
18,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
19,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
20,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
21,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
22,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
23,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
24,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
25,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
26,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
27,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
28,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
29,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
30,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
31,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
32,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
33,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
34,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
35,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
36,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
37,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
38,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
39,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
40,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
41,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
42,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
43,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
44,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
45,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
46,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
47,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
48,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
49,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
50,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
51,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
52,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
53,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
54,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
55,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
56,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
57,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
58,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
59,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
60,-41.699878754594735,-5.632642367219498,-1.5569994212935716,8.0
