step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,num_candidates,ego_s0,ego_l0,best_valid,best_min_clearance_m,best_max_curvature,best_max_yaw_rate,best_cost_total,best_v_target,best_collision,timing_plan_total_ms,debug_num_candidates,debug_ego_s0,debug_ego_l0,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,num_obstacles,obstacles
0,0.0,-64.6448974609375,24.47089958190918,0.0027785688118137667,0.0,0.0035241625737398863,0.5,0.0,PlanStatus.OK,4,0.18116674549643647,-0.033504539043677645,True,53.03697613626931,0.0021825165431961784,0.00411647412601033,0.0019438620922018184,4.0,False,1.6111999284476042,4,0.18116674549643647,-0.033504539043677645,0.1,60,-64.6448974609375,24.47089958190918,0.0028178128493753494,0.0,-52.84503334075329,24.525955777676227,0.0057738552205263425,3.933333333333339,1,"[{""id"": 78, ""x"": -110.19737243652344, ""y"": -9.838239669799805, ""vx"": -0.0007661310955882072, ""vy"": 0.23370511829853058, ""r"": 2.5906050205230713}]"
1,0.05,-64.6448974609375,24.47089958190918,0.0027785688118137667,0.0026824189521766906,0.0035930529702454805,0.5,0.0,PlanStatus.OK,4,0.18116674549643647,-0.033504539043677645,True,53.023503879486455,0.0021110143968555927,0.004249704842308449,0.0019142585398823284,4.0,False,1.425500027835369,4,0.18116674549643647,-0.033504539043677645,0.1,60,-64.6448974609375,24.47089958190918,0.002817812849241874,0.0026824189521766906,-52.837120336745706,24.526001466723446,0.005773855220530986,3.933378040315872,1,"[{""id"": 78, ""x"": -110.19747161865234, ""y"": -9.815710067749023, ""vx"": -0.001358639681711793, ""vy"": 0.5872038006782532, ""r"": 2.5906050205230713}]"
2,0.1,-64.6448974609375,24.47089958190918,0.0027785688118137667,0.00048476329293039894,0.0035366176161915064,0.5,0.0,PlanStatus.OK,4,0.18116674549643647,-0.033504539043677645,True,53.00018342115853,0.0021695745811379213,0.004140560857488597,0.001939119199800258,4.0,False,1.301199896261096,4,0.18116674549643647,-0.033504539043677645,0.1,60,-64.6448974609375,24.47089958190918,0.0028178128495741058,0.00048476329293039894,-52.8436033128762,24.525964034541907,0.005773855220531284,3.9333414127215462,1,"[{""id"": 78, ""x"": -110.19764709472656, ""y"": -9.776683807373047, ""vx"": -0.002038973616436124, ""vy"": 0.9012326002120972, ""r"": 2.5906050205230713}]"
3,0.15000000000000002,-64.6448974609375,24.470897674560547,0.0027785688118137667,0.00044883813915985087,0.0035335365682840347,0.5,0.0,PlanStatus.OK,4,0.18116674019590157,-0.03350644638494603,True,52.971101008139904,0.0021705334197084252,0.004138775965337868,0.001940037057889336,4.0,False,1.4587999321520329,4,0.18116674019590157,-0.03350644638494603,0.1,60,-64.6448974609375,24.47089958190918,0.0028178128495334196,0.00044883813915985087,-52.84370929031328,24.52596342263673,0.005773855220535474,3.93334081396899,1,"[{""id"": 78, ""x"": -110.1978759765625, ""y"": -9.727961540222168, ""vx"": -0.0034981840290129185, ""vy"": 0.9227558970451355, ""r"": 2.5906050205230713}]"
4,0.2,-64.6448974609375,24.470897674560547,0.0027785688118137667,0.0007545092817902606,0.0035413894802331924,0.5,0.0,PlanStatus.OK,4,0.18116674019590157,-0.03350644638494603,True,52.9390203794833,0.0021623766872831077,0.004153962086508173,0.0019372065199952163,4.0,False,1.4070000033825636,4,0.18116674019590157,-0.03350644638494603,0.1,60,-64.6448974609375,24.47089958190918,0.002817812849438586,0.0007545092817902606,-52.842807575473145,24.52596862906552,0.005773855220531309,3.9333459084880324,1,"[{""id"": 78, ""x"": -110.19804382324219, ""y"": -9.674277305603027, ""vx"": 0.0015212164726108313, ""vy"": 1.1634896993637085, ""r"": 2.5906050205230713}]"
5,0.25,-64.64490509033203,24.470897674560547,0.0027785688118137667,0.0007719708954465517,0.0035418691113591194,0.5,0.0,PlanStatus.OK,4,0.18115911083083083,-0.03350642518280539,True,52.906137047645586,0.0021619108393681617,0.00415482955097204,0.0019375991843935856,4.0,False,1.3991999439895153,4,0.18115911083083083,-0.03350642518280539,0.1,60,-64.6448974609375,24.47089958190918,0.002817812849095449,0.0007719708954465517,-52.84275606457149,24.525968926485316,0.005773855220537499,3.933346199514929,1,"[{""id"": 78, ""x"": -110.19795989990234, ""y"": -9.619535446166992, ""vx"": -0.00048015531501732767, ""vy"": 1.050559639930725, ""r"": 2.5906050205230713}]"
6,0.30000000000000004,-64.64490509033203,24.470897674560547,0.0027785688118137667,0.0006708909016848901,0.0035392725840210915,0.5,0.0,PlanStatus.OK,4,0.18115911083083083,-0.03350642518280539,True,52.87314706063357,0.002164607656377738,0.0041498079863647045,0.0019393138914308794,4.0,False,1.4835998881608248,4,0.18115911083083083,-0.03350642518280539,0.1,60,-64.6448974609375,24.47089958190918,0.002817812849299019,0.0006708909016848901,-52.84305424558273,24.525967204812194,0.005773855220526447,3.933344514848366,1,"[{""id"": 78, ""x"": -110.19802856445312, ""y"": -9.56435489654541, ""vx"": 0.00021367247973103076, ""vy"": 1.1418983936309814, ""r"": 2.5906050205230713}]"
7,0.35000000000000003,-64.64490509033203,24.470897674560547,0.0027785688118137667,0.0005389405087117444,0.003535882569849491,0.5,0.0,PlanStatus.OK,4,0.18115911083083083,-0.03350642518280539,True,52.84115811435172,0.00216812869173143,0.004143252534976861,0.001941355129260585,4.0,False,1.6429999377578497,4,0.18115911083083083,-0.03350642518280539,0.1,60,-64.6448974609375,24.47089958190918,0.002817812849303338,0.0005389405087117444,-52.84344349275367,24.52596495733041,0.005773855220532936,3.9333423156751426,1,"[{""id"": 78, ""x"": -110.19820404052734, ""y"": -9.510647773742676, ""vx"": -0.002176336944103241, ""vy"": 1.0318533182144165, ""r"": 2.5906050205230713}]"
8,0.4,-64.64490509033203,24.470897674560547,0.0027785688118137667,0.000411615413357106,0.0035326112993061543,0.5,0.0,PlanStatus.OK,4,0.18115911083083083,-0.03350642518280539,True,52.80872822560439,0.002171526942920222,0.004136926581026134,0.0019433536108183855,4.0,False,1.3830999378114939,4,0.18115911083083083,-0.03350642518280539,0.1,60,-64.6448974609375,24.47089958190918,0.0028178128493444535,0.000411615413357106,-52.843819095524076,24.52596278863029,0.005773855220527819,3.933340193590218,1,"[{""id"": 78, ""x"": -110.19845581054688, ""y"": -9.456045150756836, ""vx"": -0.0015996173024177551, ""vy"": 1.133198618888855, ""r"": 2.5906050205230713}]"
9,0.45,-64.64490509033203,24.470897674560547,0.0027785688118137667,0.00013900760112779773,0.003525607055053115,0.5,0.0,PlanStatus.OK,4,0.18115911083083083,-0.03350642518280539,True,52.77186752355416,0.0021788048395413153,0.004123381508495472,0.0019470501101019851,4.0,False,1.5459998976439238,4,0.18115911083083083,-0.03350642518280539,0.1,60,-64.6448974609375,24.47089958190918,0.0028178128491568835,0.00013900760112779773,-52.84462327516532,24.525958145361873,0.005773855220524723,3.9333356501266885,1,"[{""id"": 78, ""x"": -110.19911193847656, ""y"": -9.393415451049805, ""vx"": -0.01094758976250887, ""vy"": 1.4518369436264038, ""r"": 2.5906050205230713}]"
