step,t,ego_x,ego_y,ego_yaw,ego_speed,cte_m,heading_err_rad,ref_idx,ref_x,ref_y,ref_yaw,v_ref,speed_err_mps,steer,throttle,brake,steer_sat,throttle_sat,brake_sat,d_steer,d_throttle,d_brake
0,0.0,-64.6448974609375,24.47089958190918,0.0027785688118137667,0.0,0.000922149333777357,0.0006049157049274377,25,-62.47824029968084,24.477308306229784,0.0033834845167412045,4.0,4.0,0.0035241625737398863,0.5,0.0,0,0,0,,,
1,0.05,-64.6448974609375,24.47089958190918,0.0027785688118137667,0.0026824189521766906,0.0002301223373277969,0.0002597816895820479,24,-62.63980944551477,24.476761637433466,0.0030383505013958146,4.0,3.9973175810478234,0.0035930529702454805,0.5,0.0,0,0,0,6.889039650559425e-05,0.0,0.0
2,0.1,-64.6448974609375,24.47089958190918,0.0027785688118137667,0.00048476329293039894,0.00021297086368479712,0.0002504896703490224,24,-62.643984967366606,24.47674750956584,0.003029058482162789,4.0,3.9995152367070697,0.0035366176161915064,0.5,0.0,0,0,0,-5.643535405397415e-05,0.0,0.0
3,0.15000000000000002,-64.6448974609375,24.470897674560547,0.0027785688118137667,0.00044883813915985087,0.00021078353814368758,0.00025033764616999967,24,-62.644053224768065,24.476747278617093,0.0030289064579837664,4.0,3.99955116186084,0.0035335365682840347,0.5,0.0,0,0,0,-3.081047907471657e-06,0.0,0.0
4,0.2,-64.6448974609375,24.470897674560547,0.0027785688118137667,0.0007545092817902606,0.00021316621251540793,0.0002516310213743706,24,-62.64347245292141,24.47674924365717,0.0030301998331881373,4.0,3.99924549071821,0.0035413894802331924,0.5,0.0,0,0,0,7.852911949157715e-06,0.0,0.0
5,0.25,-64.64490509033203,24.470897674560547,0.0027785688118137667,0.0007719708954465517,0.00021332547049541465,0.0002517048971023314,24,-62.64343927604537,24.476749355911046,0.003030273708916098,4.0,3.9992280291045534,0.0035418691113591194,0.5,0.0,0,0,0,4.796311259269714e-07,0.0,0.0
6,0.30000000000000004,-64.64490509033203,24.470897674560547,0.0027785688118137667,0.0006708909016848901,0.00021253744152885737,0.0002512772393894929,24,-62.64363132693421,24.476748706107347,0.0030298460512032596,4.0,3.999329109098315,0.0035392725840210915,0.5,0.0,0,0,0,-2.596527338027954e-06,0.0,0.0
7,0.35000000000000003,-64.64490509033203,24.470897674560547,0.0027785688118137667,0.0005389405087117444,0.00021150889371703355,0.0002507189238606295,24,-62.64388203124583,24.476747857849944,0.0030292877356743963,4.0,3.999461059491288,0.003535882569849491,0.5,0.0,0,0,0,-3.390014171600342e-06,0.0,0.0
8,0.4,-64.64490509033203,24.470897674560547,0.0027785688118137667,0.000411615413357106,0.00021051656054509125,0.00025018012677801215,24,-62.64412394754227,24.476747039326767,0.003028748938591779,4.0,3.9995883845866427,0.0035326112993061543,0.5,0.0,0,0,0,-3.2712705433368683e-06,0.0,0.0
9,0.45,-64.64490509033203,24.470897674560547,0.0027785688118137667,0.00013900760112779773,0.00020839246839463813,0.0002490263689422772,24,-62.64464189942074,24.476745286837897,0.003027595180756044,4.0,3.9998609923988724,0.003525607055053115,0.5,0.0,0,0,0,-7.00424425303936e-06,0.0,0.0
10,0.5,-64.64490509033203,24.470897674560547,0.0027785688118137667,0.0001891518102190174,0.00020878312526033567,0.00024923861192951546,24,-62.644546625968815,24.47674560919538,0.003027807423743282,4.0,3.999810848189781,0.0035268955398350954,0.5,0.0,0,0,0,1.2884847819805145e-06,0.0,0.0
11,0.55,-64.64490509033203,24.470897674560547,0.0027785688118137667,0.000181884794619989,0.0002087265088455718,0.00024920785367915036,24,-62.644560433219425,24.476745562478584,0.003027776665492917,4.0,3.99981811520538,0.003526708809658885,0.5,0.0,0,0,0,-1.8673017621040344e-07,0.0,0.0
12,0.6000000000000001,-64.64490509033203,24.470897674560547,0.0027785688118137667,0.0001544189641738673,0.00020851253059551902,0.0002490916007278142,24,-62.64461261799856,24.476745385911514,0.003027660412541581,4.0,3.999845581035826,0.0035260028671473265,0.5,0.0,0,0,0,-7.059425115585327e-07,0.0,0.0
13,0.65,-64.64490509033203,24.470897674560547,0.0027785688118137667,0.0001231384273542431,0.0002082688420331569,0.0002489591985887305,24,-62.64467205067833,24.476745184821194,0.0030275280104024973,4.0,3.9998768615726457,0.0035251991357654333,0.5,0.0,0,0,0,-8.03731381893158e-07,0.0,0.0
14,0.7000000000000001,-64.64490509033203,24.470897674560547,0.0027785688118137667,9.30118662911465e-05,0.0002080341523591593,0.000248831677944537,24,-62.644729290816706,24.476744991149328,0.0030274004897583038,4.0,3.999906988133709,0.003524425206705928,0.5,0.0,0,0,0,-7.739290595054626e-07,0.0,0.0
15,0.75,-64.6448745727539,24.470897674560547,0.002775639594689005,0.0031121705542535125,0.00023159915950199741,0.00026457709595399583,24,-62.638970039557414,24.4767644775614,0.003040216690643001,4.0,3.9968878294457464,0.003608331549912691,0.5,0.0,0,0,0,8.390634320676327e-05,0.0,0.0
