step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,num_candidates,ego_s0,ego_l0,best_valid,best_min_clearance_m,best_max_curvature,best_max_yaw_rate,best_cost_total,best_l_target,best_v_target,best_collision,timing_plan_total_ms,debug_num_candidates,debug_ego_s0,debug_ego_l0,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,num_obstacles,obstacles
0,0.0,-64.64484405517578,24.470991134643555,0.0027785056137527423,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18122040547760565,-0.033413135077805856,False,53.039725113996504,0.32041665863978824,0.036047236486818485,0.6638185017928356,0.0,4.5,False,7.079300004988909,20,0.18122040547760565,-0.033413135077805856,0.1,60,-64.64484405517578,24.470991134643555,0.004347638933335153,0.0,-51.36998815531822,24.54128973433948,0.002779010405088803,4.425000000000005,1,"[{""id"": 106, ""x"": -110.19770050048828, ""y"": -9.84221076965332, ""vx"": -7.478408406313974e-06, ""vy"": 0.0017945670988410711, ""r"": 2.5906050205230713}]"
1,0.05,-64.64484405517578,24.470991134643555,0.0027785056137527423,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18122040547760565,-0.033413135077805856,False,53.030508726932275,0.32041665863978824,0.036047236486818485,0.6638201400696109,0.0,4.5,False,7.865499937906861,20,0.18122040547760565,-0.033413135077805856,0.1,60,-64.64484405517578,24.470991134643555,0.004347638933335153,0.0,-51.36998815531822,24.54128973433948,0.002779010405088803,4.425000000000005,1,"[{""id"": 106, ""x"": -110.19779205322266, ""y"": -9.82676887512207, ""vx"": -0.0010714090894907713, ""vy"": 0.4512312710285187, ""r"": 2.5906050205230713}]"
2,0.1,-64.64484405517578,24.470991134643555,0.0027785056137527423,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18122040547760565,-0.033413135077805856,False,53.010953983133255,0.32041665863978824,0.036047236486818485,0.66382361794758,0.0,4.5,False,8.400300052016973,20,0.18122040547760565,-0.033413135077805856,0.1,60,-64.64484405517578,24.470991134643555,0.004347638933335153,0.0,-51.36998815531822,24.54128973433948,0.002779010405088803,4.425000000000005,1,"[{""id"": 106, ""x"": -110.19793701171875, ""y"": -9.794055938720703, ""vx"": -0.001747381524182856, ""vy"": 0.7807813286781311, ""r"": 2.5906050205230713}]"
3,0.15000000000000002,-64.64484405517578,24.470991134643555,0.0027785056137527423,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18122040547760565,-0.033413135077805856,False,52.98283104936527,0.32041665863978824,0.036047236486818485,0.6638286242082482,0.0,4.5,False,6.936000194400549,20,0.18122040547760565,-0.033413135077805856,0.1,60,-64.64484405517578,24.470991134643555,0.004347638933335153,0.0,-51.36998815531822,24.54128973433948,0.002779010405088803,4.425000000000005,1,"[{""id"": 106, ""x"": -110.19817352294922, ""y"": -9.746936798095703, ""vx"": -0.003364826552569866, ""vy"": 0.9525348544120789, ""r"": 2.5906050205230713}]"
4,0.2,-64.64484405517578,24.470991134643555,0.0027785056137527423,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18122040547760565,-0.033413135077805856,False,52.95083136804706,0.32041665863978824,0.036047236486818485,0.6638343270499324,0.0,4.5,False,8.801399962976575,20,0.18122040547760565,-0.033413135077805856,0.1,60,-64.64484405517578,24.470991134643555,0.004347638933335153,0.0,-51.36998815531822,24.54128973433948,0.002779010405088803,4.425000000000005,1,"[{""id"": 106, ""x"": -110.19831085205078, ""y"": -9.69344711303711, ""vx"": -0.001999990548938513, ""vy"": 1.0668789148330688, ""r"": 2.5906050205230713}]"
5,0.25,-64.64484405517578,24.470991134643555,0.0027785056137527423,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18122040547760565,-0.033413135077805856,False,52.912473293334564,0.32041665863978824,0.036047236486818485,0.6638411721460382,0.0,4.5,False,8.314999984577298,20,0.18122040547760565,-0.033413135077805856,0.1,60,-64.64484405517578,24.470991134643555,0.004347638933335153,0.0,-51.36998815531822,24.54128973433948,0.002779010405088803,4.425000000000005,1,"[{""id"": 106, ""x"": -110.19857025146484, ""y"": -9.629131317138672, ""vx"": -0.0017303867498412728, ""vy"": 1.321309208869934, ""r"": 2.5906050205230713}]"
6,0.30000000000000004,-64.64484405517578,24.470991134643555,0.0027785056137527423,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18122040547760565,-0.033413135077805856,False,52.87513892978169,0.32041665863978824,0.036047236486818485,0.6638478440955549,0.0,4.5,False,7.44179985485971,20,0.18122040547760565,-0.033413135077805856,0.1,60,-64.64484405517578,24.470991134643555,0.004347638933335153,0.0,-51.36998815531822,24.54128973433948,0.002779010405088803,4.425000000000005,1,"[{""id"": 106, ""x"": -110.19882202148438, ""y"": -9.566457748413086, ""vx"": -0.0028967976104468107, ""vy"": 1.210249900817871, ""r"": 2.5906050205230713}]"
7,0.35000000000000003,-64.64484405517578,24.470991134643555,0.0027785056137527423,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18122040547760565,-0.033413135077805856,False,52.83752090963273,0.32041665863978824,0.036047236486818485,0.6638545762729615,0.0,4.5,False,7.018399890512228,20,0.18122040547760565,-0.033413135077805856,0.1,60,-64.64484405517578,24.470991134643555,0.004347638933335153,0.0,-51.36998815531822,24.54128973433948,0.002779010405088803,4.425000000000005,1,"[{""id"": 106, ""x"": -110.19906616210938, ""y"": -9.50324535369873, ""vx"": -0.0015143738128244877, ""vy"": 1.3031444549560547, ""r"": 2.5906050205230713}]"
8,0.4,-64.64484405517578,24.470991134643555,0.0027785056137527423,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18122040547760565,-0.033413135077805856,False,52.80076352438897,0.32041665863978824,0.036047236486818485,0.6638611636956999,0.0,4.5,False,7.310699904337525,20,0.18122040547760565,-0.033413135077805856,0.1,60,-64.64484405517578,24.470991134643555,0.004347638933335153,0.0,-51.36998815531822,24.54128973433948,0.002779010405088803,4.425000000000005,1,"[{""id"": 106, ""x"": -110.19932556152344, ""y"": -9.441377639770508, ""vx"": -0.003131918841972947, ""vy"": 1.2000149488449097, ""r"": 2.5906050205230713}]"
9,0.45,-64.64484405517578,24.470991134643555,0.0027785056137527423,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18122040547760565,-0.033413135077805856,False,52.76092967768453,0.32041665863978824,0.036047236486818485,0.6638683128250278,0.0,4.5,False,7.550599984824657,20,0.18122040547760565,-0.033413135077805856,0.1,60,-64.64484405517578,24.470991134643555,0.004347638933335153,0.0,-51.36998815531822,24.54128973433948,0.002779010405088803,4.425000000000005,1,"[{""id"": 106, ""x"": -110.19963836669922, ""y"": -9.37420654296875, ""vx"": -0.002500721486285329, ""vy"": 1.4387255907058716, ""r"": 2.5906050205230713}]"
