step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,best_cost,num_candidates,ego_s0,ego_l0,best_valid,best_min_clearance_m,best_max_curvature,best_max_yaw_rate,best_cost_total,best_cost_offset,best_cost_speed,best_cost_curvature,best_cost_collision,best_l_target,best_v_target,best_collision,debug_proj_seg_idx,debug_ego_s0,debug_ego_l0,debug_proj_heading_err,debug_best_cost,debug_num_candidates,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,num_obstacles,obstacles
0,0.0,-64.64484405517578,24.470746994018555,0.0027786967683817664,0.0,-4.455082034837687e-06,0.6000000238418579,0.0,PlanStatus.OK,0.5000026080636569,77,0.18121972700914177,-0.033657274760070355,True,52.96357117638567,1.3040318284889118e-06,5.2161273518796375e-06,0.5000026080636569,0.0,0.5,2.6080636569778237e-06,0.0,-0.033657274760070355,4.0,False,0,0.18121972700914177,-0.033657274760070355,-2.2722475111636858e-07,0.5000026080636569,77,0.1,50,-64.64484405808416,24.470746994010472,0.0027790104050947556,4.0,-45.04491971712853,24.525206199814203,0.0027780567345137646,4.0,1,"[{""id"": 50, ""x"": -110.19924926757812, ""y"": -9.211471557617188, ""vx"": -0.0031603286042809486, ""vy"": 1.9469773769378662, ""r"": 2.5906050205230713}]"
1,0.05,-64.64484405517578,24.470746994018555,0.0027786967683817664,0.0025497631789447557,-4.446415914571844e-06,0.6000000238418579,0.0,PlanStatus.OK,0.5000026080636569,77,0.18121972700914177,-0.033657274760070355,True,52.89886791638677,1.3040318284889118e-06,5.2161273518796375e-06,0.5000026080636569,0.0,0.5,2.6080636569778237e-06,0.0,-0.033657274760070355,4.0,False,0,0.18121972700914177,-0.033657274760070355,-2.2722475111636858e-07,0.5000026080636569,77,0.1,50,-64.64484405808416,24.470746994010472,0.0027790104050947556,4.0,-45.04491971712853,24.525206199814203,0.0027780567345137646,4.0,1,"[{""id"": 50, ""x"": -110.19974517822266, ""y"": -9.101852416992188, ""vx"": -0.00734321866184473, ""vy"": 2.1863887310028076, ""r"": 2.5906050205230713}]"
2,0.1,-64.64484405517578,24.47074317932129,0.0027786967683817664,0.00032085005747148045,-4.453988822206156e-06,0.6000000238418579,0.0,PlanStatus.OK,0.5000026080636841,77,0.18121971640807202,-0.03366108944260707,True,52.829266361944136,1.3040318420585704e-06,5.216127406163472e-06,0.5000026080636841,0.0,0.5,2.608063684117141e-06,0.0,-0.03366108944260707,4.0,False,0,0.18121971640807202,-0.03366108944260707,-2.272247561713528e-07,0.5000026080636841,77,0.1,50,-64.64484405808449,24.470743179313207,0.0027790104050909093,4.0,-45.04491971712893,24.525202385116945,0.002778056734517613,4.0,1,"[{""id"": 50, ""x"": -110.20024871826172, ""y"": -8.983717918395996, ""vx"": -0.005513254087418318, ""vy"": 2.4611434936523438, ""r"": 2.5906050205230713}]"
3,0.15000000000000002,-64.64484405517578,24.47074317932129,0.0027786967683817664,0.0006032582928488263,-4.453027486306382e-06,0.6000000238418579,0.0,PlanStatus.OK,0.5000026080636841,77,0.18121971640807202,-0.03366108944260707,True,52.75740445146036,1.3040318420585704e-06,5.216127406163472e-06,0.5000026080636841,0.0,0.5,2.608063684117141e-06,0.0,-0.03366108944260707,4.0,False,0,0.18121971640807202,-0.03366108944260707,-2.272247561713528e-07,0.5000026080636841,77,0.1,50,-64.64484405808449,24.470743179313207,0.0027790104050909093,4.0,-45.04491971712893,24.525202385116945,0.002778056734517613,4.0,1,"[{""id"": 50, ""x"": -110.20079040527344, ""y"": -8.86142635345459, ""vx"": -0.0072898706421256065, ""vy"": 2.4675166606903076, ""r"": 2.5906050205230713}]"
4,0.2,-64.64484405517578,24.47074317932129,0.0027786967683817664,0.0008856019107845869,-4.45206705990131e-06,0.6000000238418579,0.0,PlanStatus.OK,0.5000026080636841,77,0.18121971640807202,-0.03366108944260707,True,52.68005740265929,1.3040318420585704e-06,5.216127406163472e-06,0.5000026080636841,0.0,0.5,2.608063684117141e-06,0.0,-0.03366108944260707,4.0,False,0,0.18121971640807202,-0.03366108944260707,-2.272247561713528e-07,0.5000026080636841,77,0.1,50,-64.64484405808449,24.470743179313207,0.0027790104050909093,4.0,-45.04491971712893,24.525202385116945,0.002778056734517613,4.0,1,"[{""id"": 50, ""x"": -110.20128631591797, ""y"": -8.72959041595459, ""vx"": -0.007580240722745657, ""vy"": 2.7848329544067383, ""r"": 2.5906050205230713}]"
5,0.25,-64.64484405517578,24.470741271972656,0.0027786967683817664,0.0008731370155132654,-4.4521093514049426e-06,0.6000000238418579,0.0,PlanStatus.OK,0.5000026080638755,77,0.18121971110753712,-0.03366299678387189,True,52.58893408425721,1.304031937785246e-06,5.216127789068985e-06,0.5000026080638755,0.0,0.5,2.608063875570492e-06,0.0,-0.03366299678387189,4.0,False,0,0.18121971110753712,-0.03366299678387189,-2.272247586988449e-07,0.5000026080638755,77,0.1,50,-64.64484405808466,24.470741271964574,0.0027790104050933774,4.0,-45.044919717129126,24.52520047776832,0.002778056734515047,4.0,1,"[{""id"": 50, ""x"": -110.20144653320312, ""y"": -8.574417114257812, ""vx"": -0.006683941464871168, ""vy"": 3.2588701248168945, ""r"": 2.5906050205230713}]"
6,0.30000000000000004,-64.64484405517578,24.470741271972656,0.0027786967683817664,0.0007467177858783516,-4.452539542398881e-06,0.6000000238418579,0.0,PlanStatus.OK,0.5000026080638755,77,0.18121971110753712,-0.03366299678387189,True,52.49169440813637,1.304031937785246e-06,5.216127789068985e-06,0.5000026080638755,0.0,0.5,2.608063875570492e-06,0.0,-0.03366299678387189,4.0,False,0,0.18121971110753712,-0.03366299678387189,-2.272247586988449e-07,0.5000026080638755,77,0.1,50,-64.64484405808466,24.470741271964574,0.0027790104050933774,4.0,-45.044919717129126,24.52520047776832,0.002778056734515047,4.0,1,"[{""id"": 50, ""x"": -110.20314025878906, ""y"": -8.406187057495117, ""vx"": -0.01300601102411747, ""vy"": 3.4345009326934814, ""r"": 2.5906050205230713}]"
7,0.35000000000000003,-64.64485168457031,24.470741271972656,0.0027786967683817664,0.0005941202609155913,-4.453072961041471e-06,0.6000000238418579,0.0,PlanStatus.OK,0.5000026081547455,77,0.1812120817424664,-0.03366297558173477,True,52.38844661466927,1.3040773727479286e-06,5.216309528922186e-06,0.5000026081547455,0.0,0.5,2.6081547454958572e-06,0.0,-0.03366297558173477,4.0,False,0,0.1812120817424664,-0.03366297558173477,-2.2722839664902905e-07,0.5000026081547455,77,0.1,50,-64.64485168747906,24.470741271964574,0.0027790104050933774,4.0,-45.0449273465238,24.52520047777559,0.0027780567345062146,4.0,1,"[{""id"": 50, ""x"": -110.20452880859375, ""y"": -8.227513313293457, ""vx"": -0.012204372324049473, ""vy"": 3.7200376987457275, ""r"": 2.5906050205230713}]"
8,0.4,-64.64485168457031,24.470741271972656,0.0027786967683817664,0.00045084014398014187,-4.453560904948972e-06,0.6000000238418579,0.0,PlanStatus.OK,0.5000026081547455,77,0.1812120817424664,-0.03366297558173477,True,52.28119443467925,1.3040773727479286e-06,5.216309528922186e-06,0.5000026081547455,0.0,0.5,2.6081547454958572e-06,0.0,-0.03366297558173477,4.0,False,0,0.1812120817424664,-0.03366297558173477,-2.2722839664902905e-07,0.5000026081547455,77,0.1,50,-64.64485168747906,24.470741271964574,0.0027790104050933774,4.0,-45.0449273465238,24.52520047777559,0.0027780567345062146,4.0,1,"[{""id"": 50, ""x"": -110.20623779296875, ""y"": -8.04083251953125, ""vx"": -0.012077716179192066, ""vy"": 3.773639440536499, ""r"": 2.5906050205230713}]"
9,0.45,-64.64485168457031,24.470741271972656,0.0027786967683817664,0.00015154851507327816,-4.454579993762309e-06,0.6000000238418579,0.0,PlanStatus.OK,0.5000026081547455,77,0.1812120817424664,-0.03366297558173477,True,52.167134054827166,1.3040773727479286e-06,5.216309528922186e-06,0.5000026081547455,0.0,0.5,2.6081547454958572e-06,0.0,-0.03366297558173477,4.0,False,0,0.1812120817424664,-0.03366297558173477,-2.2722839664902905e-07,0.5000026081547455,77,0.1,50,-64.64485168747906,24.470741271964574,0.0027790104050933774,4.0,-45.0449273465238,24.52520047777559,0.0027780567345062146,4.0,1,"[{""id"": 50, ""x"": -110.20748901367188, ""y"": -7.842307090759277, ""vx"": -0.01336757279932499, ""vy"": 4.10642147064209, ""r"": 2.5906050205230713}]"
