step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,debug_planner,debug_ms,debug_path_len,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,num_obstacles,obstacles
0,0.0,-64.64483642578125,24.470775604248047,0.002778675182212775,0.00386511192805803,2.8718457259079185e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.64483642578125,24.470775604248047,0.002778675182212775,5.0,-40.64492907815095,24.537463722804162,0.002778675182212775,5.0,1,"[{""id"": 73, ""x"": -110.19818115234375, ""y"": -9.743581771850586, ""vx"": -0.003377497661858797, ""vy"": 0.9524593353271484, ""r"": 2.5906050205230713}]"
1,0.05,-64.64484405517578,24.470775604248047,0.002778677002733051,0.002725351638978324,5.026344754500327e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.64484405517578,24.470775604248047,0.002778677002733051,5.0,-40.64493670766677,24.537463766496465,0.002778677002733051,5.0,1,"[{""id"": 73, ""x"": -110.19853210449219, ""y"": -9.690999031066895, ""vx"": -0.0034515857696533203, ""vy"": 1.118355631828308, ""r"": 2.5906050205230713}]"
2,0.1,-64.64484405517578,24.470773696899414,0.002778677002733051,0.0009984738799320699,5.035015830781369e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.64484405517578,24.470773696899414,0.002778677002733051,5.0,-40.64493670766677,24.537461859147832,0.002778677002733051,5.0,1,"[{""id"": 73, ""x"": -110.19817352294922, ""y"": -9.63412857055664, ""vx"": -0.003225205698981881, ""vy"": 1.1661466360092163, ""r"": 2.5906050205230713}]"
3,0.15000000000000002,-64.64484405517578,24.47077178955078,0.0027786772628073764,0.0012078809634351166,-6.594525459420941e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.64484405517578,24.47077178955078,0.0027786772628073764,5.0,-40.64493670768404,24.537459958041033,0.0027786772628073764,5.0,1,"[{""id"": 73, ""x"": -110.19853210449219, ""y"": -9.578885078430176, ""vx"": -0.002921551000326872, ""vy"": 1.0675934553146362, ""r"": 2.5906050205230713}]"
4,0.2,-64.64485168457031,24.470767974853516,0.002778677002733051,0.0011216305468537912,5.0343966496969265e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.64485168457031,24.470767974853516,0.002778677002733051,5.0,-40.644944337061304,24.537456137101934,0.002778677002733051,5.0,1,"[{""id"": 73, ""x"": -110.1990966796875, ""y"": -9.513565063476562, ""vx"": 0.0038678874261677265, ""vy"": 1.278468132019043, ""r"": 2.5906050205230713}]"
5,0.25,-64.64485168457031,24.470766067504883,0.002778677002733051,0.0009315214369763665,5.035352526377903e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.0,31,0.1,51,-64.64485168457031,24.470766067504883,0.002778677002733051,5.0,-40.644944337061304,24.5374542297533,0.002778677002733051,5.0,1,"[{""id"": 73, ""x"": -110.19953155517578, ""y"": -9.445892333984375, ""vx"": -0.0005649697268381715, ""vy"": 1.3975077867507935, ""r"": 2.5906050205230713}]"
6,0.30000000000000004,-64.64485931396484,24.47076416015625,0.002778677002733051,0.0007278804979060416,5.036377436244081e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.99945068359375,31,0.1,51,-64.64485931396484,24.47076416015625,0.002778677002733051,5.0,-40.644951966455835,24.53745232240467,0.002778677002733051,5.0,1,"[{""id"": 73, ""x"": -110.19860076904297, ""y"": -9.368285179138184, ""vx"": -0.0010860090842470527, ""vy"": 1.6356201171875, ""r"": 2.5906050205230713}]"
7,0.35000000000000003,-64.64485931396484,24.470760345458984,0.002778677002733051,0.0005467854151924289,5.037288843695326e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,1.0063648223876953,31,0.1,51,-64.64485931396484,24.470760345458984,0.002778677002733051,5.0,-40.644951966455835,24.537448507707403,0.002778677002733051,5.0,1,"[{""id"": 73, ""x"": -110.1988525390625, ""y"": -9.281696319580078, ""vx"": 0.005289065185934305, ""vy"": 1.8182549476623535, ""r"": 2.5906050205230713}]"
8,0.4,-64.64485931396484,24.470760345458984,0.002778677002733051,0.0003998801233898467,5.038028726974753e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.9989738464355469,31,0.1,51,-64.64485931396484,24.470760345458984,0.002778677002733051,5.0,-40.644951966455835,24.537448507707403,0.002778677002733051,5.0,1,"[{""id"": 73, ""x"": -110.197998046875, ""y"": -9.185957908630371, ""vx"": 0.0019689355976879597, ""vy"": 2.10347843170166, ""r"": 2.5906050205230713}]"
9,0.45,-64.64485931396484,24.470760345458984,0.002778677002733051,0.0002861151622644027,5.0386017447635705e-15,0.6000000238418579,0.0,PlanStatus.OK,hybrid_astar,0.99945068359375,31,0.1,51,-64.64485931396484,24.470760345458984,0.002778677002733051,5.0,-40.644951966455835,24.537448507707403,0.002778677002733051,5.0,1,"[{""id"": 73, ""x"": -110.19837951660156, ""y"": -9.077162742614746, ""vx"": -0.0011916056973859668, ""vy"": 2.2228152751922607, ""r"": 2.5906050205230713}]"
