step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,timing_plan_total_ms,debug_ms,debug_path_len,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,num_obstacles,obstacles
0,0.0,-64.64488220214844,24.470943450927734,0.002778579214786775,0.0,-4.832171345188225e-15,0.6000000238418579,0.0,PlanStatus.OK,632.0091000525281,7.523298263549805,43,0.1,51,-64.64488220214844,24.470943450927734,0.002778579214786775,6.0,-39.44497948041684,24.540963557041906,0.002778579214786775,6.0,1,"[{""id"": 50, ""x"": -110.19808959960938, ""y"": -9.124371528625488, ""vx"": -0.002019105711951852, ""vy"": 1.6813386678695679, ""r"": 2.5906050205230713}]"
1,0.05,-64.64488983154297,24.4709415435791,0.002778579214786775,0.0018987417273974253,-4.823013648478985e-15,0.6000000238418579,0.0,PlanStatus.OK,16.91519992891699,15.568971633911133,43,0.1,51,-64.64488983154297,24.4709415435791,0.002778579214786775,6.0,-39.44498710981137,24.540961649693273,0.002778579214786775,6.0,1,"[{""id"": 50, ""x"": -110.19925689697266, ""y"": -9.02847957611084, ""vx"": -0.006088723428547382, ""vy"": 2.0068061351776123, ""r"": 2.5906050205230713}]"
2,0.1,-64.64488983154297,24.47093963623047,0.0027785786946381242,0.0004912869611498734,-3.6785488934446e-15,0.6000000238418579,0.0,PlanStatus.OK,11.811799951829016,10.533332824707031,43,0.1,51,-64.64488983154297,24.47093963623047,0.0027785786946381242,6.0,-39.444987109774964,24.54095972923694,0.0027785786946381242,6.0,1,"[{""id"": 50, ""x"": -110.20050811767578, ""y"": -8.911752700805664, ""vx"": -0.01074499823153019, ""vy"": 2.412006378173828, ""r"": 2.5906050205230713}]"
3,0.15000000000000002,-64.64488983154297,24.47093963623047,0.0027785789547124496,0.0013681726064578236,9.688572067832659e-15,0.6000000238418579,0.0,PlanStatus.OK,11.211000033654273,10.024070739746094,43,0.1,51,-64.64488983154297,24.47093963623047,0.0027785789547124496,6.0,-39.444987109793175,24.540959735790715,0.0027785789547124496,6.0,1,"[{""id"": 50, ""x"": -110.20076751708984, ""y"": -8.77804183959961, ""vx"": -0.007693006191402674, ""vy"": 2.8329718112945557, ""r"": 2.5906050205230713}]"
4,0.2,-64.64488983154297,24.470937728881836,0.0027785789547124496,0.0015218749823272262,9.687085525010228e-15,0.6000000238418579,0.0,PlanStatus.OK,10.882799979299307,10.509967803955078,43,0.1,51,-64.64488983154297,24.470937728881836,0.0027785789547124496,6.0,-39.444987109793175,24.54095782844208,0.0027785789547124496,6.0,1,"[{""id"": 50, ""x"": -110.20061492919922, ""y"": -8.634090423583984, ""vx"": -0.006167686078697443, ""vy"": 2.8881683349609375, ""r"": 2.5906050205230713}]"
5,0.25,-64.64488983154297,24.470937728881836,0.0027785789547124496,0.0013735113650987759,9.688520398822877e-15,0.6000000238418579,0.0,PlanStatus.OK,13.754599960520864,12.776851654052734,43,0.1,51,-64.64488983154297,24.470937728881836,0.0027785789547124496,6.0,-39.444987109793175,24.54095782844208,0.0027785789547124496,6.0,1,"[{""id"": 50, ""x"": -110.20089721679688, ""y"": -8.471137046813965, ""vx"": -0.004793844185769558, ""vy"": 3.432866096496582, ""r"": 2.5906050205230713}]"
6,0.30000000000000004,-64.64488983154297,24.470937728881836,0.0027785789547124496,0.0011243159073224304,9.69093190162371e-15,0.6000000238418579,0.0,PlanStatus.OK,23.661000072024763,22.66669273376465,43,0.1,51,-64.64488983154297,24.470937728881836,0.0027785789547124496,6.0,-39.444987109793175,24.54095782844208,0.0027785789547124496,6.0,1,"[{""id"": 50, ""x"": -110.20156860351562, ""y"": -8.28911018371582, ""vx"": -0.011164450086653233, ""vy"": 3.7885491847991943, ""r"": 2.5906050205230713}]"
7,0.35000000000000003,-64.64488983154297,24.47093391418457,0.0027785789547124496,0.0008684926434300227,9.693408625961481e-15,0.6000000238418579,0.0,PlanStatus.OK,9.948099963366985,9.516716003417969,43,0.1,51,-64.64488983154297,24.47093391418457,0.0027785789547124496,6.0,-39.444987109793175,24.540954013744816,0.0027785789547124496,6.0,1,"[{""id"": 50, ""x"": -110.20246887207031, ""y"": -8.09210205078125, ""vx"": -0.009394790045917034, ""vy"": 4.082520484924316, ""r"": 2.5906050205230713}]"
8,0.4,-64.64488983154297,24.47093391418457,0.0027785789547124496,0.0006487277591820496,9.695538066790878e-15,0.6000000238418579,0.0,PlanStatus.OK,11.518300045281649,10.524749755859375,43,0.1,51,-64.64488983154297,24.47093391418457,0.0027785789547124496,6.0,-39.444987109793175,24.540954013744816,0.0027785789547124496,6.0,1,"[{""id"": 50, ""x"": -110.20335388183594, ""y"": -7.885011196136475, ""vx"": -0.01250557228922844, ""vy"": 4.241103649139404, ""r"": 2.5906050205230713}]"
9,0.45,-64.6448974609375,24.47093391418457,0.0027785789547124496,0.00021212606756714067,9.699769843395361e-15,0.6000000238418579,0.0,PlanStatus.OK,503.76500003039837,8.517980575561523,43,0.1,51,-64.6448974609375,24.47093391418457,0.0027785789547124496,6.0,-39.444994739187706,24.540954013744816,0.0027785789547124496,6.0,1,"[{""id"": 50, ""x"": -110.20437622070312, ""y"": -7.665191650390625, ""vx"": -0.011254646815359592, ""vy"": 4.530418395996094, ""r"": 2.5906050205230713}]"
