step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,num_candidates,ego_s0,ego_l0,best_valid,best_min_clearance_m,best_max_curvature,best_max_yaw_rate,best_cost_total,best_l_target,best_v_target,best_collision,timing_plan_total_ms,debug_num_candidates,debug_ego_s0,debug_ego_l0,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,num_obstacles,obstacles
0,0.0,-64.64486694335938,24.47097396850586,0.002778525899550108,0.006590348299736224,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18119746967757955,-0.03343023754279558,False,53.00146259863482,0.2960245381626912,0.03542435487010656,0.6150341118142302,0.0,4.5,False,7.821299834176898,20,0.18119746967757955,-0.03343023754279558,0.1,60,-64.64486694335938,24.47097396850586,0.004223618115419593,0.006590348299736224,-51.3505696386179,24.541343698738363,0.0027790104050907033,4.425109839138329,1,"[{""id"": 50, ""x"": -110.197998046875, ""y"": -9.778230667114258, ""vx"": -0.0024634667206555605, ""vy"": 0.8811593651771545, ""r"": 2.5906050205230713}]"
1,0.05,-64.64486694335938,24.470972061157227,0.0027785261596244334,0.0045231572853685394,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18119746437704468,-0.033432144884063916,False,52.972541673454714,0.30348105581656976,0.03551227786978693,0.6299574206505648,0.0,4.5,False,7.445199880748987,20,0.18119746437704468,-0.033432144884063916,0.1,60,-64.64486694335938,24.470972061157227,0.004260664091528962,0.0045231572853685394,-51.35666783386288,24.5413267517467,0.0027790104050903846,4.425075385954754,1,"[{""id"": 50, ""x"": -110.1982421875, ""y"": -9.72976016998291, ""vx"": -0.002785902237519622, ""vy"": 0.990291953086853, ""r"": 2.5906050205230713}]"
2,0.1,-64.6448745727539,24.47096824645996,0.0027785264196987587,0.003080276744286028,0.0,0.0,1.0,PlanStatus.FAIL,20,0.18118982441090417,-0.03343593836445999,False,52.94028519709965,0.3088500864959207,0.03567353783808808,0.6407058118373555,0.0,4.5,False,6.42249989323318,20,0.18118982441090417,-0.03343593836445999,0.1,60,-64.6448745727539,24.47096824645996,0.004287776750923632,0.003080276744286028,-51.36093195495945,24.541314901679296,0.002779010405094306,4.425051337945744,1,"[{""id"": 50, ""x"": -110.19829559326172, ""y"": -9.67595100402832, ""vx"": -0.0005595560069195926, ""vy"": 1.1305967569351196, ""r"": 2.5906050205230713}]"
3,0.15000000000000002,-64.6448745727539,24.470966339111328,0.0027785264196987587,0.0020837627546189132,0.0,0.0,1.0,PlanStatus.FAIL,20,0.1811898191103693,-0.033437845705728365,False,52.90846513170507,0.31262103850215467,0.035805358599635455,0.6482562716114717,0.0,4.5,False,7.117600180208683,20,0.1811898191103693,-0.033437845705728365,0.1,60,-64.6448745727539,24.470966339111328,0.004307052291370329,0.0020837627546189132,-51.36387166517793,24.54130673217298,0.0027790104050922928,4.425034729379242,1,"[{""id"": 50, ""x"": -110.19844818115234, ""y"": -9.622671127319336, ""vx"": -0.002313747303560376, ""vy"": 1.0243562459945679, ""r"": 2.5906050205230713}]"
4,0.2,-64.6448745727539,24.470966339111328,0.0027785266797730837,0.0014015785004247018,0.0,0.0,1.0,PlanStatus.FAIL,20,0.1811898191103693,-0.033437845705728365,False,52.87619329881971,0.31522319417826067,0.03589372798584114,0.6534677906916392,0.0,4.5,False,6.945200031623244,20,0.1811898191103693,-0.033437845705728365,0.1,60,-64.6448745727539,24.470966339111328,0.00432047275454705,0.0014015785004247018,-51.36588410095686,24.541301139578614,0.0027790104050892488,4.425023359641673,1,"[{""id"": 50, ""x"": -110.19866943359375, ""y"": -9.568489074707031, ""vx"": -0.0015143228229135275, ""vy"": 1.1256498098373413, ""r"": 2.5906050205230713}]"
5,0.25,-64.6448745727539,24.470966339111328,0.0027785266797730837,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.1811898191103693,-0.033437845705728365,False,52.84448363025767,0.32065361153082345,0.03607389449163737,0.6643372606751553,0.0,4.5,False,8.040099870413542,20,0.1811898191103693,-0.033437845705728365,0.1,60,-64.6448745727539,24.470966339111328,0.004348799008236361,0.0,-51.37001874156735,24.541289649339756,0.0027790104050888476,4.425000000000005,1,"[{""id"": 50, ""x"": -110.19893646240234, ""y"": -9.515130043029785, ""vx"": -0.0032107073348015547, ""vy"": 1.0278493165969849, ""r"": 2.5906050205230713}]"
6,0.30000000000000004,-64.6448745727539,24.470966339111328,0.0027785266797730837,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.1811898191103693,-0.033437845705728365,False,52.81222620897527,0.32065361153082345,0.03607389449163737,0.6643430396269999,0.0,4.5,False,7.218200014904141,20,0.1811898191103693,-0.033437845705728365,0.1,60,-64.6448745727539,24.470966339111328,0.004348799008236361,0.0,-51.37001874156735,24.541289649339756,0.0027790104050888476,4.425000000000005,1,"[{""id"": 50, ""x"": -110.19912719726562, ""y"": -9.460902214050293, ""vx"": -0.0014568796614184976, ""vy"": 1.1243876218795776, ""r"": 2.5906050205230713}]"
7,0.35000000000000003,-64.6448745727539,24.470966339111328,0.0027785266797730837,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.1811898191103693,-0.033437845705728365,False,52.77870828601484,0.32065361153082345,0.03607389449163737,0.6643490518823724,0.0,4.5,False,6.841500056907535,20,0.1811898191103693,-0.033437845705728365,0.1,60,-64.6448745727539,24.470966339111328,0.004348799008236361,0.0,-51.37001874156735,24.541289649339756,0.0027790104050888476,4.425000000000005,1,"[{""id"": 50, ""x"": -110.19931030273438, ""y"": -9.404516220092773, ""vx"": -0.0041768550872802734, ""vy"": 1.182957649230957, ""r"": 2.5906050205230713}]"
8,0.4,-64.6448745727539,24.470966339111328,0.0027785266797730837,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.1811898191103693,-0.033437845705728365,False,52.738833097052385,0.32065361153082345,0.03607389449163737,0.6643562144217374,0.0,4.5,False,7.781400112435222,20,0.1811898191103693,-0.033437845705728365,0.1,60,-64.6448745727539,24.470966339111328,0.004348799008236361,0.0,-51.37001874156735,24.541289649339756,0.0027790104050888476,4.425000000000005,1,"[{""id"": 50, ""x"": -110.19960021972656, ""y"": -9.337259292602539, ""vx"": -0.0032051587477326393, ""vy"": 1.4505937099456787, ""r"": 2.5906050205230713}]"
9,0.45,-64.6448745727539,24.470966339111328,0.0027785266797730837,0.0,0.0,0.0,1.0,PlanStatus.FAIL,20,0.1811898191103693,-0.033437845705728365,False,52.69369054220503,0.32065361153082345,0.03607389449163737,0.6643643361887954,0.0,4.5,False,7.013099966570735,20,0.1811898191103693,-0.033437845705728365,0.1,60,-64.6448745727539,24.470966339111328,0.004348799008236361,0.0,-51.37001874156735,24.541289649339756,0.0027790104050888476,4.425000000000005,1,"[{""id"": 50, ""x"": -110.19992065429688, ""y"": -9.26102352142334, ""vx"": -0.004716943483799696, ""vy"": 1.5150431394577026, ""r"": 2.5906050205230713}]"
