step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,timing_plan_total_ms,debug_ms,debug_path_len,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,min_obstacle_distance_m,num_obstacles,obstacles,event_collision,event_collision_count,event_lane_invasion,event_lane_invasion_count,debug_reason
0,0.0,-64.64488220214844,24.470951080322266,0.002778570372259718,0.0,7.767936718394795e-15,0.6000000238418579,0.0,PlanStatus.OK,26.67961900442606,22.115230560302734,21,0.1,51,-64.64488220214844,24.470951080322266,0.002778570372259718,5.0,-54.64492080439013,24.49873674829182,0.002778570372259718,5.0,54.43951117213712,1,"[{""id"": 386, ""x"": -110.19749450683594, ""y"": -9.842219352722168, ""vx"": -9.038549819706532e-08, ""vy"": 2.085295136566856e-06, ""r"": 2.5906050205230713}]",False,0,False,0,
1,0.05,-64.64488220214844,24.470951080322266,0.002778570372259718,0.0019125037533327166,9.662901040300223e-15,0.6000000238418579,0.0,PlanStatus.OK,26.581352001812775,22.15099334716797,21,0.1,51,-64.64488220214844,24.470951080322266,0.002778570372259718,5.0,-54.64492080439013,24.49873674829182,0.002778570372259718,5.0,54.43951231972692,1,"[{""id"": 386, ""x"": -110.19749450683594, ""y"": -9.8422212600708, ""vx"": 2.822977407390681e-08, ""vy"": 1.6525932551303413e-06, ""r"": 2.5906050205230713}]",False,0,False,0,
2,0.1,-64.64488983154297,24.470949172973633,0.002778570372259718,0.00047273517114995245,9.676806780195297e-15,0.6000000238418579,0.0,PlanStatus.OK,25.845294003374875,21.74210548400879,21,0.1,51,-64.64488983154297,24.470949172973633,0.002778570372259718,5.0,-54.64492843378466,24.498734840943186,0.002778570372259718,5.0,54.43950507818424,1,"[{""id"": 386, ""x"": -110.19749450683594, ""y"": -9.8422212600708, ""vx"": -2.186770764467383e-09, ""vy"": 1.2757337799484958e-06, ""r"": 2.5906050205230713}]",False,0,False,0,
3,0.15000000000000002,-64.64488983154297,24.470947265625,0.002778570372259718,0.001348650136225149,9.668342379953385e-15,0.6000000238418579,0.0,PlanStatus.OK,26.673670996387955,21.969318389892578,21,0.1,51,-64.64488983154297,24.470947265625,0.002778570372259718,5.0,-54.64492843378466,24.498732933594553,0.002778570372259718,5.0,54.43950450438929,1,"[{""id"": 386, ""x"": -110.19749450683594, ""y"": -9.842222213745117, ""vx"": 4.0525563349547156e-08, ""vy"": 9.454656151319796e-07, ""r"": 2.5906050205230713}]",False,0,False,0,
4,0.2,-64.64488983154297,24.470947265625,0.002778570372259718,0.0015083038496500252,9.666800779989382e-15,0.6000000238418579,0.0,PlanStatus.OK,27.819768998597283,22.90797233581543,21,0.1,51,-64.64488983154297,24.470947265625,0.002778570372259718,5.0,-54.64492843378466,24.498732933594553,0.002778570372259718,5.0,54.43950450438929,1,"[{""id"": 386, ""x"": -110.19749450683594, ""y"": -9.842222213745117, ""vx"": 2.483575833878149e-08, ""vy"": 7.099436061253073e-07, ""r"": 2.5906050205230713}]",False,0,False,0,
5,0.25,-64.64488983154297,24.470947265625,0.002778570372259718,0.0013608271846284436,9.668224642373716e-15,0.6000000238418579,0.0,PlanStatus.OK,31.93450100661721,25.339365005493164,21,0.1,51,-64.64488983154297,24.470947265625,0.002778570372259718,5.0,-54.64492843378466,24.498732933594553,0.002778570372259718,5.0,54.43950450438929,1,"[{""id"": 386, ""x"": -110.19749450683594, ""y"": -9.842222213745117, ""vx"": -1.6308071337789443e-08, ""vy"": 5.099608415548573e-07, ""r"": 2.5906050205230713}]",False,0,False,0,
6,0.30000000000000004,-64.64488983154297,24.470943450927734,0.002778570372259718,0.0011148267243482628,9.670600569790765e-15,0.6000000238418579,0.0,PlanStatus.OK,27.745519000745844,23.328542709350586,21,0.1,51,-64.64488983154297,24.470943450927734,0.002778570372259718,5.0,-54.64492843378466,24.498729118897288,0.002778570372259718,5.0,54.43531133099904,1,"[{""id"": 386, ""x"": -110.19754028320312, ""y"": -9.835195541381836, ""vx"": -0.0008216006099246442, ""vy"": 0.3063434362411499, ""r"": 2.5906050205230713}]",False,0,False,0,
7,0.35000000000000003,-64.64488983154297,24.470943450927734,0.002778570372259718,0.0008639815759504024,9.673023931052859e-15,0.6000000238418579,0.0,PlanStatus.OK,28.43191500141984,23.256778717041016,21,0.1,51,-64.64488983154297,24.470943450927734,0.002778570372259718,5.0,-54.64492843378466,24.498729118897288,0.002778570372259718,5.0,54.41984171848784,1,"[{""id"": 386, ""x"": -110.19764709472656, ""y"": -9.809332847595215, ""vx"": -0.001479576458223164, ""vy"": 0.6476560831069946, ""r"": 2.5906050205230713}]",False,0,False,0,
8,0.4,-64.64488983154297,24.470943450927734,0.002778570372259718,0.000644636455112969,9.675144054519837e-15,0.6000000238418579,0.0,PlanStatus.OK,30.311736998555716,23.44822883605957,21,0.1,51,-64.64488983154297,24.470943450927734,0.002778570372259718,5.0,-54.64492843378466,24.498729118897288,0.002778570372259718,5.0,54.3947154817997,1,"[{""id"": 386, ""x"": -110.19783020019531, ""y"": -9.76728630065918, ""vx"": -0.002138750161975622, ""vy"": 0.9610042572021484, ""r"": 2.5906050205230713}]",False,0,False,0,
9,0.45,-64.64488983154297,24.470943450927734,0.002778570372259718,0.00020998975382933188,9.679348726070007e-15,0.6000000238418579,0.0,PlanStatus.OK,25.785042998904828,21.687746047973633,21,0.1,51,-64.64488983154297,24.470943450927734,0.002778570372259718,5.0,-54.64492843378466,24.498729118897288,0.002778570372259718,5.0,54.36544956009499,1,"[{""id"": 386, ""x"": -110.19805145263672, ""y"": -9.718259811401367, ""vx"": -0.0017409027786925435, ""vy"": 1.0114134550094604, ""r"": 2.5906050205230713}]",False,0,False,0,
10,0.5,-64.64488983154297,24.470943450927734,0.002778570372259718,0.00028688451800974973,9.678605031142318e-15,0.6000000238418579,0.0,PlanStatus.OK,27.018971006327774,21.399736404418945,21,0.1,51,-64.64488983154297,24.470943450927734,0.002778570372259718,5.0,-54.64492843378466,24.498729118897288,0.002778570372259718,5.0,54.332585960153594,1,"[{""id"": 386, ""x"": -110.1986312866211, ""y"": -9.662710189819336, ""vx"": -0.004898876883089542, ""vy"": 1.1864053010940552, ""r"": 2.5906050205230713}]",False,0,False,0,
11,0.55,-64.64488983154297,24.470943450927734,0.002778570372259718,0.00027627961957592934,9.678707522128936e-15,0.6000000238418579,0.0,PlanStatus.OK,26.495871003135107,21.29817008972168,21,0.1,51,-64.64488983154297,24.470943450927734,0.002778570372259718,5.0,-54.64492843378466,24.498729118897288,0.002778570372259718,5.0,54.29950990268409,1,"[{""id"": 386, ""x"": -110.19912719726562, ""y"": -9.60685920715332, ""vx"": -0.004940072074532509, ""vy"": 1.0726264715194702, ""r"": 2.5906050205230713}]",False,0,False,0,
12,0.6000000000000001,-64.64488983154297,24.470943450927734,0.002778570372259718,0.00023469934283111695,9.679109862778881e-15,0.6000000238418579,0.0,PlanStatus.OK,25.62075500463834,21.154165267944336,21,0.1,51,-64.64488983154297,24.470943450927734,0.002778570372259718,5.0,-54.64492843378466,24.498729118897288,0.002778570372259718,5.0,54.26607053400869,1,"[{""id"": 386, ""x"": -110.1994400024414, ""y"": -9.550586700439453, ""vx"": -0.0025644609704613686, ""vy"": 1.1636465787887573, ""r"": 2.5906050205230713}]",False,0,False,0,
13,0.65,-64.63792419433594,24.470966339111328,0.0027736835756891525,0.41884669574378114,1.4086354847999251e-15,0.6000000238418579,0.0,PlanStatus.OK,25.0718679963029,21.056175231933594,21,0.1,51,-64.63792419433594,24.470966339111328,0.0027736835756891525,5.0,-54.63796266091413,24.4987031393035,0.0027736835756891525,5.0,54.23901321029764,1,"[{""id"": 386, ""x"": -110.19963836669922, ""y"": -9.495718955993652, ""vx"": -0.0028560056816786528, ""vy"": 1.057803750038147, ""r"": 2.5906050205230713}]",False,0,False,0,
14,0.7000000000000001,-64.59217834472656,24.471094131469727,0.002773026888018015,1.1538821850376477,2.2229027094951466e-16,0.6000000238418579,0.0,PlanStatus.OK,25.70064400060801,21.341323852539062,21,0.1,51,-64.59217834472656,24.471094131469727,0.002773026888018015,5.0,-54.59221679309254,24.498824364810446,0.002773026888018015,5.0,54.242504079617426,1,"[{""id"": 386, ""x"": -110.19973754882812, ""y"": -9.439860343933105, ""vx"": -0.0009176883031614125, ""vy"": 1.158581256866455, ""r"": 2.5906050205230713}]",False,0,False,0,
15,0.75,-64.51856994628906,24.471298217773438,0.0027726560220302753,1.6634815639765368,4.618740959457651e-16,0.6000000238418579,0.0,PlanStatus.OK,30.40678199613467,25.21514892578125,25,0.1,51,-64.51856994628906,24.471298217773438,0.0027726560220302753,5.0,-52.518616071988,24.504570047407555,0.0027726560220302753,5.0,54.267725784116735,1,"[{""id"": 386, ""x"": -110.20005798339844, ""y"": -9.382378578186035, ""vx"": -0.009828218258917332, ""vy"": 1.2357463836669922, ""r"": 2.5906050205230713}]",False,0,False,0,
16,0.8,-64.42423248291016,24.47156524658203,0.002765927379088622,2.0104912050068484,-5.321880902544457e-15,0.6000000238418579,0.0,PlanStatus.OK,29.06349200202385,25.267839431762695,25,0.1,51,-64.42423248291016,24.47156524658203,0.002765927379088622,5.0,-52.42427838500657,24.5047563328105,0.002765927379088622,5.0,54.30010246238752,1,"[{""id"": 386, ""x"": -110.2005844116211, ""y"": -9.308283805847168, ""vx"": -5.521173807210289e-05, ""vy"": 1.5122584104537964, ""r"": 2.5906050205230713}]",False,0,False,0,
17,0.8500000000000001,-64.31543731689453,24.471866607666016,0.0027638696710276154,2.280150821665946,2.1302571574002274e-15,0.6000000238418579,0.0,PlanStatus.OK,33.91220499906922,27.106285095214844,25,0.1,51,-64.31543731689453,24.471866607666016,0.0027638696710276154,5.0,-52.31548315071865,24.50503300149208,0.0027638696710276154,5.0,54.336935925354275,1,"[{""id"": 386, ""x"": -110.20108032226562, ""y"": -9.221644401550293, ""vx"": -0.0020027756690979004, ""vy"": 1.9095405340194702, ""r"": 2.5906050205230713}]",False,0,False,0,
18,0.9,-64.19441986083984,24.472198486328125,0.002772149657319105,2.5105884549746005,3.2295274107426754e-15,0.6000000238418579,0.0,PlanStatus.OK,33.281549003731925,27.924537658691406,25,0.1,51,-64.19441986083984,24.472198486328125,0.002772149657319105,5.0,-52.1944659696926,24.50546423960904,0.002772149657319105,5.0,54.373139859356016,1,"[{""id"": 386, ""x"": -110.20040130615234, ""y"": -9.118245124816895, ""vx"": -0.002956545911729336, ""vy"": 2.1301498413085938, ""r"": 2.5906050205230713}]",False,0,False,0,
19,0.9500000000000001,-64.06220245361328,24.472564697265625,0.002770479720076976,2.732638352417686,-4.359368141942715e-15,0.6000000238418579,0.0,PlanStatus.OK,34.47321400017245,27.73594856262207,25,0.1,51,-64.06220245361328,24.472564697265625,0.002770479720076976,5.0,-52.062248506931155,24.505810411376643,0.002770479720076976,5.0,54.41393707638353,1,"[{""id"": 386, ""x"": -110.20061492919922, ""y"": -9.00525951385498, ""vx"": -0.004950381815433502, ""vy"": 2.3746540546417236, ""r"": 2.5906050205230713}]",False,0,False,0,
20,1.0,-63.91961669921875,24.472957611083984,0.0027699967620550743,2.9311907701870124,4.655830096998194e-15,0.6000000238418579,0.0,PlanStatus.OK,33.42685200186679,25.786876678466797,25,0.1,51,-63.91961669921875,24.472957611083984,0.0027699967620550743,5.0,-51.91966273648171,24.506197529720907,0.0027699967620550743,5.0,54.45456105702768,1,"[{""id"": 386, ""x"": -110.20084381103516, ""y"": -8.876689910888672, ""vx"": -0.005197002086788416, ""vy"": 2.7114415168762207, ""r"": 2.5906050205230713}]",False,0,False,0,
21,1.05,-63.767005920410156,24.4733829498291,0.002769810808912554,3.1326440353550433,-4.028122355391765e-15,0.6000000238418579,0.0,PlanStatus.OK,25.3983629954746,21.09360694885254,21,0.1,51,-63.767005920410156,24.4733829498291,0.002769810808912554,5.0,-53.76704427964523,24.501081022502305,0.002769810808912554,5.0,54.4877726593649,1,"[{""id"": 386, ""x"": -110.20077514648438, ""y"": -8.720686912536621, ""vx"": -0.007792407646775246, ""vy"": 3.2206175327301025, ""r"": 2.5906050205230713}]",False,0,False,0,
