idx,x,y,yaw,v
0,56.96183776855469,134.12171936035156,3.120784843360786,5.0
1,56.46194600589099,134.1321225147279,3.120784843360786,5.0
2,55.962054243227286,134.14252566910426,3.120784843360786,5.0
3,55.462162480563585,134.1529288234806,3.120784843360786,5.0
4,54.962270717899884,134.16333197785696,3.120784843360786,5.0
5,54.962270717899884,134.16333197785696,3.120784843360786,5.0
6,54.962270717899884,134.16333197785696,3.120784843360786,5.0
7,54.962270717899884,134.16333197785696,3.120784843360786,5.0
8,54.962270717899884,134.16333197785696,3.120784843360786,5.0
9,54.962270717899884,134.16333197785696,3.120784843360786,5.0
10,54.962270717899884,134.16333197785696,3.120784843360786,5.0
11,54.962270717899884,134.16333197785696,3.120784843360786,5.0
12,54.962270717899884,134.16333197785696,3.120784843360786,5.0
13,54.962270717899884,134.16333197785696,3.120784843360786,5.0
14,54.962270717899884,134.16333197785696,3.120784843360786,5.0
15,54.962270717899884,134.16333197785696,3.120784843360786,5.0
16,54.962270717899884,134.16333197785696,3.120784843360786,5.0
17,54.962270717899884,134.16333197785696,3.120784843360786,5.0
18,54.962270717899884,134.16333197785696,3.120784843360786,5.0
19,54.962270717899884,134.16333197785696,3.120784843360786,5.0
20,54.962270717899884,134.16333197785696,3.120784843360786,5.0
21,54.962270717899884,134.16333197785696,3.120784843360786,5.0
22,54.962270717899884,134.16333197785696,3.120784843360786,5.0
23,54.962270717899884,134.16333197785696,3.120784843360786,5.0
24,54.962270717899884,134.16333197785696,3.120784843360786,5.0
25,54.962270717899884,134.16333197785696,3.120784843360786,5.0
26,54.962270717899884,134.16333197785696,3.120784843360786,5.0
27,54.962270717899884,134.16333197785696,3.120784843360786,5.0
28,54.962270717899884,134.16333197785696,3.120784843360786,5.0
29,54.962270717899884,134.16333197785696,3.120784843360786,5.0
30,54.962270717899884,134.16333197785696,3.120784843360786,5.0
31,54.962270717899884,134.16333197785696,3.120784843360786,5.0
32,54.962270717899884,134.16333197785696,3.120784843360786,5.0
33,54.962270717899884,134.16333197785696,3.120784843360786,5.0
34,54.962270717899884,134.16333197785696,3.120784843360786,5.0
35,54.962270717899884,134.16333197785696,3.120784843360786,5.0
36,54.962270717899884,134.16333197785696,3.120784843360786,5.0
37,54.962270717899884,134.16333197785696,3.120784843360786,5.0
38,54.962270717899884,134.16333197785696,3.120784843360786,5.0
39,54.962270717899884,134.16333197785696,3.120784843360786,5.0
40,54.962270717899884,134.16333197785696,3.120784843360786,5.0
41,54.962270717899884,134.16333197785696,3.120784843360786,5.0
42,54.962270717899884,134.16333197785696,3.120784843360786,5.0
43,54.962270717899884,134.16333197785696,3.120784843360786,5.0
44,54.962270717899884,134.16333197785696,3.120784843360786,5.0
45,54.962270717899884,134.16333197785696,3.120784843360786,5.0
46,54.962270717899884,134.16333197785696,3.120784843360786,5.0
47,54.962270717899884,134.16333197785696,3.120784843360786,5.0
48,54.962270717899884,134.16333197785696,3.120784843360786,5.0
49,54.962270717899884,134.16333197785696,3.120784843360786,5.0
50,54.962270717899884,134.16333197785696,3.120784843360786,5.0
