step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,best_cost,num_candidates,ego_s0,ego_l0,best_valid,best_min_clearance_m,best_max_curvature,best_max_yaw_rate,best_cost_total,best_cost_offset,best_cost_speed,best_cost_curvature,best_cost_collision,best_l_target,best_v_target,best_collision,debug_proj_seg_idx,debug_ego_s0,debug_ego_l0,debug_proj_heading_err,debug_best_cost,debug_num_candidates,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,num_obstacles,obstacles
0,0.0,-64.64484405517578,24.470985412597656,0.002778493390259458,0.0,2.995552392803802e-07,0.6000000238418579,0.0,PlanStatus.OK,4.502770244610235e-07,66,0.18122038957600103,-0.03341885710161078,True,,9.00554048922047e-07,9.005306410847513e-06,4.502770244610235e-07,0.0,0.0,4.502770244610235e-07,0.0,-0.03341885710161078,10.0,False,0,0.18122038957600103,-0.03341885710161078,-4.3060255748962953e-07,4.502770244610235e-07,66,0.1,50,-64.64484405806357,24.47098541258963,0.002779010405096766,10.0,-15.645033213032763,24.607132330296643,0.002778056734500953,10.0,0,[]
1,0.05,-64.64484405517578,24.470985412597656,0.002778493390259458,0.0018960449295231199,2.9950555813229585e-07,0.6000000238418579,0.0,PlanStatus.OK,4.502770244610235e-07,66,0.18122038957600103,-0.03341885710161078,True,,9.00554048922047e-07,9.005306410847513e-06,4.502770244610235e-07,0.0,0.0,4.502770244610235e-07,0.0,-0.03341885710161078,10.0,False,0,0.18122038957600103,-0.03341885710161078,-4.3060255748962953e-07,4.502770244610235e-07,66,0.1,50,-64.64484405806357,24.47098541258963,0.002779010405096766,10.0,-15.645033213032763,24.607132330296643,0.002778056734500953,10.0,0,[]
2,0.1,-64.64484405517578,24.470985412597656,0.002778493390259458,0.0004955198867648582,2.995422505591705e-07,0.6000000238418579,0.0,PlanStatus.OK,4.502770244610235e-07,66,0.18122038957600103,-0.03341885710161078,True,,9.00554048922047e-07,9.005306410847513e-06,4.502770244610235e-07,0.0,0.0,4.502770244610235e-07,0.0,-0.03341885710161078,10.0,False,0,0.18122038957600103,-0.03341885710161078,-4.3060255748962953e-07,4.502770244610235e-07,66,0.1,50,-64.64484405806357,24.47098541258963,0.002779010405096766,10.0,-15.645033213032763,24.607132330296643,0.002778056734500953,10.0,0,[]
3,0.15000000000000002,-64.64484405517578,24.470985412597656,0.002778493390259458,0.0013700294857445672,2.9951931423966016e-07,0.6000000238418579,0.0,PlanStatus.OK,4.502770244610235e-07,66,0.18122038957600103,-0.03341885710161078,True,,9.00554048922047e-07,9.005306410847513e-06,4.502770244610235e-07,0.0,0.0,4.502770244610235e-07,0.0,-0.03341885710161078,10.0,False,0,0.18122038957600103,-0.03341885710161078,-4.3060255748962953e-07,4.502770244610235e-07,66,0.1,50,-64.64484405806357,24.47098541258963,0.002779010405096766,10.0,-15.645033213032763,24.607132330296643,0.002778056734500953,10.0,0,[]
4,0.2,-64.64484405517578,24.470985412597656,0.002778493390259458,0.0015250777832317157,2.9951527835692104e-07,0.6000000238418579,0.0,PlanStatus.OK,4.502770244610235e-07,66,0.18122038957600103,-0.03341885710161078,True,,9.00554048922047e-07,9.005306410847513e-06,4.502770244610235e-07,0.0,0.0,4.502770244610235e-07,0.0,-0.03341885710161078,10.0,False,0,0.18122038957600103,-0.03341885710161078,-4.3060255748962953e-07,4.502770244610235e-07,66,0.1,50,-64.64484405806357,24.47098541258963,0.002779010405096766,10.0,-15.645033213032763,24.607132330296643,0.002778056734500953,10.0,0,[]
5,0.25,-64.64484405517578,24.470985412597656,0.002778493390259458,0.0013755703390884366,2.99519172131113e-07,0.6000000238418579,0.0,PlanStatus.OK,4.502770244610235e-07,66,0.18122038957600103,-0.03341885710161078,True,,9.00554048922047e-07,9.005306410847513e-06,4.502770244610235e-07,0.0,0.0,4.502770244610235e-07,0.0,-0.03341885710161078,10.0,False,0,0.18122038957600103,-0.03341885710161078,-4.3060255748962953e-07,4.502770244610235e-07,66,0.1,50,-64.64484405806357,24.47098541258963,0.002779010405096766,10.0,-15.645033213032763,24.607132330296643,0.002778056734500953,10.0,0,[]
6,0.30000000000000004,-64.64484405517578,24.470985412597656,0.002778493390259458,0.0011257457261587619,2.9952573754599143e-07,0.6000000238418579,0.0,PlanStatus.OK,4.502770244610235e-07,66,0.18122038957600103,-0.03341885710161078,True,,9.00554048922047e-07,9.005306410847513e-06,4.502770244610235e-07,0.0,0.0,4.502770244610235e-07,0.0,-0.03341885710161078,10.0,False,0,0.18122038957600103,-0.03341885710161078,-4.3060255748962953e-07,4.502770244610235e-07,66,0.1,50,-64.64484405806357,24.47098541258963,0.002779010405096766,10.0,-15.645033213032763,24.607132330296643,0.002778056734500953,10.0,0,[]
7,0.35000000000000003,-64.64484405517578,24.470985412597656,0.002778493390259458,0.000871391282888712,2.9953238822599815e-07,0.6000000238418579,0.0,PlanStatus.OK,4.502770244610235e-07,66,0.18122038957600103,-0.03341885710161078,True,,9.00554048922047e-07,9.005306410847513e-06,4.502770244610235e-07,0.0,0.0,4.502770244610235e-07,0.0,-0.03341885710161078,10.0,False,0,0.18122038957600103,-0.03341885710161078,-4.3060255748962953e-07,4.502770244610235e-07,66,0.1,50,-64.64484405806357,24.47098541258963,0.002779010405096766,10.0,-15.645033213032763,24.607132330296643,0.002778056734500953,10.0,0,[]
8,0.4,-64.64484405517578,24.470985412597656,0.002778493390259458,0.0006498336565439923,2.995382146764314e-07,0.6000000238418579,0.0,PlanStatus.OK,4.502770244610235e-07,66,0.18122038957600103,-0.03341885710161078,True,,9.00554048922047e-07,9.005306410847513e-06,4.502770244610235e-07,0.0,0.0,4.502770244610235e-07,0.0,-0.03341885710161078,10.0,False,0,0.18122038957600103,-0.03341885710161078,-4.3060255748962953e-07,4.502770244610235e-07,66,0.1,50,-64.64484405806357,24.47098541258963,0.002779010405096766,10.0,-15.645033213032763,24.607132330296643,0.002778056734500953,10.0,0,[]
9,0.45,-64.64484405517578,24.470985412597656,0.002778493390259458,0.00021212577513929283,2.9954966862533183e-07,0.6000000238418579,0.0,PlanStatus.OK,4.502770244610235e-07,66,0.18122038957600103,-0.03341885710161078,True,,9.00554048922047e-07,9.005306410847513e-06,4.502770244610235e-07,0.0,0.0,4.502770244610235e-07,0.0,-0.03341885710161078,10.0,False,0,0.18122038957600103,-0.03341885710161078,-4.3060255748962953e-07,4.502770244610235e-07,66,0.1,50,-64.64484405806357,24.47098541258963,0.002779010405096766,10.0,-15.645033213032763,24.607132330296643,0.002778056734500953,10.0,0,[]
