step,t,ego_x,ego_y,ego_yaw,ego_speed,cte_m,heading_err_rad,ref_idx,ref_x,ref_y,ref_yaw,v_ref,speed_err_mps,steer,throttle,brake,steer_sat,throttle_sat,brake_sat,d_steer,d_throttle,d_brake
0,0.0,-64.6448745727539,24.47097396850586,0.002778537082746092,0.0,8.190323419476897e-14,4.7332238504137203e-07,25,-62.47821629473581,24.476995149905086,0.0027790104051311332,4.0,4.0,-9.127959856414236e-06,0.5,0.0,0,0,0,,,
1,0.05,-64.6448745727539,24.470972061157227,0.002778537082746092,0.002267062431360891,2.3285193218036682e-14,4.7332235691760136e-07,24,-62.6405749054895,24.47654204512629,0.0027790104051030095,4.0,3.9977329375686392,-9.118776688410435e-06,0.5,0.0,0,0,0,9.183168003801256e-09,0.0,0.0
2,0.1,-64.6448745727539,24.470972061157227,0.002778536822671767,3.322201250799266e-05,5.381459167175251e-14,4.735824470853203e-07,24,-62.64481918562556,24.476530250197268,0.0027790104051188523,4.0,3.999966777987492,-9.127273187914398e-06,0.5,0.0,0,0,0,-8.496499503962696e-09,0.0,0.0
3,0.15000000000000002,-64.6448745727539,24.470972061157227,0.002778536822671767,0.0009358035435750191,2.8700999910036273e-14,4.7358243395433097e-07,24,-62.6431042874479,24.476535015929414,0.0027790104051057213,4.0,3.999064196456425,-9.123614290729165e-06,0.5,0.0,0,0,0,3.6588971852324903e-09,0.0,0.0
4,0.2,-64.6448745727539,24.470972061157227,0.002778536822671767,0.0011626439722549919,4.9139511903995015e-14,4.7358244421435297e-07,24,-62.642673292325156,24.47653621367243,0.0027790104051159813,4.0,3.998837356027745,-9.122694791585673e-06,0.5,0.0,0,0,0,9.194991434924304e-10,0.0,0.0
5,0.25,-64.6448745727539,24.47096824645996,0.002778536822671767,0.001089783045003228,4.729897029598362e-14,4.735824448028579e-07,24,-62.64281172754488,24.47653201426126,0.00277901040511657,4.0,3.9989102169549966,-9.122990377363749e-06,0.5,0.0,0,0,0,-2.955857780762017e-10,0.0,0.0
6,0.30000000000000004,-64.6448745727539,24.47096824645996,0.002778536822671767,0.000909786446020378,6.339807151478638e-14,4.735824528437349e-07,24,-62.643153719740546,24.476531063858943,0.0027790104051246107,4.0,3.9990902135539796,-9.12371979211457e-06,0.5,0.0,0,0,0,-7.294147508218884e-10,0.0,0.0
7,0.35000000000000003,-64.6448745727539,24.47096824645996,0.002778536822671767,0.0007145119847018997,2.636085794094356e-14,4.73582432856251e-07,24,-62.64352473976071,24.47653003278779,0.002779010405104623,4.0,3.999285488015298,-9.124511052505113e-06,0.5,0.0,0,0,0,-7.912603905424476e-10,0.0,0.0
8,0.4,-64.6448745727539,24.47096824645996,0.002778536822671767,0.0005372239491349864,-3.215743643592006e-14,4.735824036357014e-07,24,-62.643861585706084,24.476529096686992,0.0027790104050754026,4.0,3.999462776050865,-9.125229553319514e-06,0.5,0.0,0,0,0,-7.185008144006133e-10,0.0,0.0
9,0.45,-64.6448745727539,24.47096824645996,0.002778536822671767,0.00017781266546616642,-7.0100175664222775e-15,4.73582417232464e-07,24,-62.6445444644646,24.476527198954933,0.0027790104050889994,4.0,3.9998221873345337,-9.126686563831754e-06,0.5,0.0,0,0,0,-1.457010512240231e-09,0.0,0.0
10,0.5,-64.6448745727539,24.47096824645996,0.002778536822671767,0.00024210938671076767,-1.0607834055598175e-14,4.735824151811535e-07,24,-62.64442230117375,24.476527538448863,0.002779010405086948,4.0,3.999757890613289,-9.126425538852345e-06,0.5,0.0,0,0,0,2.610249794088304e-10,0.0,0.0
11,0.55,-64.6448745727539,24.47096824645996,0.002778536822671767,0.00023318297398159757,1.2948843386428877e-14,4.735824276590195e-07,24,-62.64443926129137,24.4765274913164,0.002779010405099426,4.0,3.9997668170260186,-9.126461918640416e-06,0.5,0.0,0,0,0,-3.637978807091713e-11,0.0,0.0
12,0.6000000000000001,-64.6448745727539,24.47096824645996,0.002778536822671767,0.0001973820399619928,-2.06735670249536e-14,4.735824093732993e-07,24,-62.644507282799,24.476527302283433,0.0027790104050811402,4.0,3.999802617960038,-9.1266074377927e-06,0.5,0.0,0,0,0,-1.4551915228366852e-10,0.0,0.0
13,0.65,-64.6448745727539,24.47096824645996,0.002778536822671767,0.00015614515466973538,2.429133283410323e-14,4.735824325570112e-07,24,-62.64458563257351,24.476527084548035,0.002779010405104324,4.0,3.9998438548453303,-9.126774784817826e-06,0.5,0.0,0,0,0,-1.673470251262188e-10,0.0,0.0
14,0.7000000000000001,-64.6448745727539,24.47096824645996,0.002778536822671767,0.00011743549615552379,2.6357388493991607e-14,4.735824344387525e-07,24,-62.644659180636,24.47652688015668,0.0027790104051062057,4.0,3.9998825645038445,-9.126931217906531e-06,0.5,0.0,0,0,0,-1.5643308870494366e-10,0.0,0.0
15,0.75,-64.64484405517578,24.47096824645996,0.002775563132837395,0.0031106989711230143,3.710746987461988e-14,3.447272273560207e-06,24,-62.63894148478093,24.476542684924972,0.0027790104051109554,4.0,3.996889301028877,-2.80438371191849e-06,0.5,0.0,0,0,0,6.322547505988041e-06,0.0,0.0
16,0.8,-64.61520385742188,24.471054077148438,0.0027729249388825355,0.860495300107549,4.611415416189146e-14,6.085466234426358e-06,17,-62.35179691906931,24.477344124773563,0.002779010405116962,4.0,3.139504699892451,5.0402627493895125e-06,0.5,0.0,0,0,0,7.844646461308002e-06,0.0,0.0
17,0.8500000000000001,-64.55347442626953,24.4711856842041,0.002882705952591296,1.4547967873171028,1.313116282375404e-13,-0.00010369554743434395,14,-62.07135799458767,24.478083529351554,0.002779010405156952,4.0,2.545203212682897,-0.00022708511096425354,0.5,0.0,0,0,0,-0.00023212537371364306,0.0,0.0
18,0.9,-64.4695053100586,24.471405029296875,0.0028479592425211925,1.8177590542569129,1.8641078264325373e-13,-6.894883733759346e-05,12,-62.004512692951934,24.478255287062954,0.002779010405183599,4.0,2.182240945743087,-0.00015284393157344311,0.5,0.0,0,0,0,7.424117939081043e-05,0.0,0.0
19,0.9500000000000001,-64.37089538574219,24.471654891967773,0.0028780566038796407,2.061521084727425,1.884620931535963e-13,-9.904619869260077e-05,11,-61.88999915157867,24.478549346164915,0.00277901040518704,4.0,1.938478915272575,-0.00021114615083206445,0.5,0.0,0,0,0,-5.8302219258621335e-05,0.0,0.0
20,1.0,-64.26164245605469,24.47200584411621,0.0026915627668373625,2.264188403349812,-4.4024157053561275e-06,8.563093885709553e-05,11,-61.5801063382112,24.479457410923146,0.002777193705694458,4.0,1.735811596650188,0.00018642986833583564,0.5,0.0,0,0,0,0.0003975760191679001,0.0,0.0
21,1.05,-64.1431884765625,24.472286224365234,0.0028368082957537866,2.438874720810629,-4.32738519226105e-06,-5.966953908790153e-05,10,-61.56122062091626,24.479461053201668,0.002777138756665885,4.0,1.5611252791893708,-0.00012182886712253094,0.4683375954627991,0.0,0,0,0,-0.00030825873545836657,-0.03166240453720093,0.0
22,1.1,-64.01642608642578,24.47268295288086,0.0026968438360849356,2.5985844780797414,-4.177762728232309e-06,8.025922785511591e-05,10,-61.289389075917484,24.480260412966214,0.0027771030639400516,4.0,1.4014155219202586,0.00017515290528535843,0.4204246699810028,0.0,0,0,0,0.00029698177240788937,-0.047912925481796265,0.0
23,1.1500000000000001,-63.8822021484375,24.4730167388916,0.0028339810277645044,2.7405649415447435,-3.921751105608745e-06,-5.687796382430497e-05,9,-61.32124598966845,24.480132718136417,0.0027771030639401994,4.0,1.2594350584552565,-0.0001158877057605423,0.37783050537109375,0.0,0,0,0,-0.00029104061104590073,-0.04259416460990906,0.0
24,1.2000000000000002,-63.741458892822266,24.47344970703125,0.0027035579148643775,2.8632034543487777,-3.6533043576165297e-06,7.354514911271214e-05,9,-61.07932633491566,24.480846395838753,0.0027771030639770896,4.0,1.1367965456512223,0.00016085727838799357,0.3410389721393585,0.0,0,0,0,0.0002767449841485359,-0.03679153323173523,0.0
25,1.25,-63.59516143798828,24.473817825317383,0.0028330720679979196,2.966734917755687,-3.3742642686542673e-06,-5.596900399629321e-05,9,-60.8476157365744,24.481451436796117,0.0027771030640016264,4.0,1.0332650822443128,-0.00011399749928386882,0.30997952818870544,0.0,0,0,0,-0.0002748547776718624,-0.031059443950653076,0.0
26,1.3,-63.4442253112793,24.474273681640625,0.0027088337826254466,3.0524908959942127,-1.0030099537212955e-07,6.946426440986638e-05,9,-60.62593119952053,24.48210386311533,0.002778298047035313,4.0,0.9475091040057873,0.00014963067951612175,0.28425273299217224,0.0,0,0,0,0.00026362817879999056,-0.025726795196533203,0.0
27,1.35,-63.28948211669922,24.474666595458984,0.0028327225281048465,3.1224004251057424,1.9073412935981943e-06,-5.37121230045263e-05,9,-60.413512866133786,24.48265705715716,0.00277901040510032,4.0,0.8775995748942576,-0.00011328016262268648,0.26327988505363464,0.0,0,0,0,-0.0002629108421388082,-0.020972847938537598,0.0
28,1.4000000000000001,-63.13165283203125,24.475143432617188,0.0027129848289300126,3.1785878695357286,1.9073412659918049e-06,6.602557616078352e-05,9,-60.20932911880707,24.483262714181034,0.002779010405090796,4.0,0.8214121304642714,0.0001408027164870873,0.2464236319065094,0.0,0,0,0,0.0002540828791097738,-0.016856253147125244,0.0
29,1.4500000000000002,-62.97138214111328,24.475553512573242,0.0028326837770303913,3.2231891553076952,1.9073412705246373e-06,-5.367337193830672e-05,9,-60.01226250921326,24.483775050641192,0.0027790104050920846,4.0,0.7768108446923048,-0.00011321288184262812,0.23304325342178345,0.0,0,0,0,-0.00025401559832971543,-0.013380378484725952,0.0
30,1.5,-62.80915832519531,24.476037979125977,0.0027160370612105958,3.2581856501959034,1.907341271725066e-06,6.297334388144808e-05,9,-59.82116669650063,24.484339752979984,0.002779010405092044,4.0,0.7418143498040966,0.0001343141047982499,0.22254429757595062,0.0,0,0,0,0.000247526986640878,-0.010498955845832825,0.0
