step,t,ego_x,ego_y,ego_yaw,ego_speed,cte_m,heading_err_rad,ref_idx,ref_x,ref_y,ref_yaw,v_ref,speed_err_mps,steer,throttle,brake,steer_sat,throttle_sat,brake_sat,d_steer,d_throttle,d_brake
0,0.0,-64.64484405517578,24.47098159790039,0.0027785058738270677,0.008022718912569825,0.0005417799781745284,0.00042213020223211186,23,-62.56009128643996,24.477112372853203,0.0032006360760591795,4.0,3.99197728108743,0.003010797780007124,0.5,0.0,0,0,0,,,
1,0.05,-64.64484405517578,24.470977783203125,0.0027785058738270677,0.0054988884184132706,0.0005231339862739309,0.0004127797329170238,23,-62.5647351081077,24.477092890831514,0.0031912856067440915,4.0,3.9945011115815867,0.002953216200694442,0.5,0.0,0,0,0,-5.758157931268215e-05,0.0,0.0
2,0.1,-64.64484405517578,24.470977783203125,0.0027785058738270677,0.003739266024222143,0.0005101216393559411,0.00040621697188600965,23,-62.56797279479589,24.47708194068906,0.0031847228457130773,4.0,3.996260733975778,0.002912795403972268,0.5,0.0,0,0,0,-4.042079672217369e-05,0.0,0.0
3,0.15000000000000002,-64.64484405517578,24.470977783203125,0.0027785058738270677,0.0025261684786666927,0.0005011656062805445,0.00040168774889122374,23,-62.57020488151387,24.47707439157456,0.0031801936227182914,4.0,3.9974738315213334,0.002884912071749568,0.5,0.0,0,0,0,-2.788333222270012e-05,0.0,0.0
4,0.2,-64.64484405517578,24.470975875854492,0.0027785058738270677,0.0016977744369614343,0.0004950849602885013,0.00039861532324663015,23,-62.571729117890584,24.477067347968504,0.003177121197073698,4.0,3.9983022255630387,0.0028660271782428026,0.5,0.0,0,0,0,-1.8884893506765366e-05,0.0,0.0
5,0.25,-64.64485168457031,24.470975875854492,0.0027785058738270677,0.001133272734289076,0.0004909247908866385,0.000396504746015814,23,-62.57277542447683,24.477063834826676,0.0031750106198428817,4.0,3.998866727265711,0.002853040350601077,0.5,0.0,0,0,0,-1.298682764172554e-05,0.0,0.0
6,0.30000000000000004,-64.64485168457031,24.470975875854492,0.0027785058738270677,0.00038286227823698714,0.0004853990016704937,0.00039369809619223825,23,-62.57415617181898,24.477059164970132,0.003172203970019306,4.0,3.999617137721763,0.0028357745613902807,0.5,0.0,0,0,0,-1.7265789210796356e-05,0.0,0.0
7,0.35000000000000003,-64.64485168457031,24.470975875854492,0.0027785058738270677,0.00045869842913738747,0.0004859572250738185,0.000393981803382393,23,-62.57401663409939,24.477059636903782,0.0031724876772094607,4.0,3.9995413015708627,0.0028375196270644665,0.5,0.0,0,0,0,1.7450656741857529e-06,0.0,0.0
8,0.4,-64.64485168457031,24.470975875854492,0.0027785058738270677,0.00042519582401291526,0.000485710609436564,0.00039385647020098334,23,-62.57407827854025,24.477059428414737,0.003172362344028051,4.0,3.999574804175987,0.0028367487248033285,0.5,0.0,0,0,0,-7.709022611379623e-07,0.0,0.0
9,0.45,-64.64485168457031,24.470975875854492,0.0027785058738270677,0.00035302171030327867,0.0004851793607811702,0.0003935864567768941,23,-62.57421107814995,24.4770589792702,0.003172092330603962,4.0,3.9996469782896966,0.002835087710991502,0.5,0.0,0,0,0,-1.661013811826706e-06,0.0,0.0
10,0.5,-64.64485168457031,24.470975875854492,0.0027785058738270677,0.0002749253022525578,0.0004846045684680153,0.0003932942715331616,23,-62.574354774718906,24.47705849327081,0.0031718001453602293,4.0,3.9997250746977473,0.0028332907240837812,0.5,0.0,0,0,0,-1.7969869077205658e-06,0.0,0.0
11,0.55,-64.64485168457031,24.470975875854492,0.0027785058738270677,0.00020721440958567904,0.00048410625454511306,0.00039304092883614243,23,-62.574479362048855,24.477058071901208,0.00317154680266321,4.0,3.9997927855904143,0.002831732388585806,0.5,0.0,0,0,0,-1.5583354979753494e-06,0.0,0.0
12,0.6000000000000001,-64.64485168457031,24.470975875854492,0.0027785058738270677,0.00015165334232691296,0.0004836973846758883,0.0003928330359871169,23,-62.57458159382791,24.477057726140817,0.0031713389098141846,4.0,3.9998483466576733,0.002830453682690859,0.5,0.0,0,0,0,-1.278705894947052e-06,0.0,0.0
13,0.65,-64.64485168457031,24.470975875854492,0.0027785058738270677,0.00010740283467131613,0.0004833717665504132,0.0003926674579404223,23,-62.57466301429632,24.477057450766825,0.00317117333176749,4.0,3.9998925971653287,0.002829435281455517,0.5,0.0,0,0,0,-1.0184012353420258e-06,0.0,0.0
14,0.7000000000000001,-64.64485168457031,24.470975875854492,0.0027785058738270677,2.5329702651292745e-05,0.00048276787266349555,0.0003923603400496317,23,-62.57481402799554,24.477056940020006,0.0031708662138766994,4.0,3.9999746702973487,0.002827546326443553,0.5,0.0,0,0,0,-1.8889550119638443e-06,0.0,0.0
15,0.75,-64.64482116699219,24.470975875854492,0.0027755675541009236,0.0031114298520705957,0.000505514741016044,0.00040683546523293456,23,-62.5691051186218,24.4770761458737,0.003182403019333858,4.0,3.9968885701479295,0.002904772525653243,0.5,0.0,0,0,0,7.72261992096901e-05,0.0,0.0
16,0.8,-64.61515808105469,24.47110366821289,0.002808457333489077,0.8613237580725746,0.0009186910731932701,0.0005727782884246404,16,-62.41228316136244,24.477633439422693,0.0033812356219137174,4.0,3.1386762419274254,0.003764794208109379,0.5,0.0,0,0,0,0.0008600216824561357,0.0,0.0
17,0.8500000000000001,-64.55384826660156,24.471364974975586,0.0029453154654177026,1.4167548981164695,0.0009159527582215284,0.00043416183950673124,13,-62.24445170474054,24.478253599967456,0.003379477304924434,4.0,2.5832451018835307,0.003158210776746273,0.5,0.0,0,0,0,-0.0006065834313631058,0.0,0.0
18,0.9,-64.4700927734375,24.47161865234375,0.0033986975749833513,1.7980869503730108,0.0009150570448699172,-1.9757659804684434e-05,12,-61.96115118738082,24.479181185208713,0.003378939915178667,4.0,2.201913049626989,0.0020440935622900724,0.5,0.0,0,0,0,-0.0011141172144562006,0.0,0.0
19,0.9500000000000001,-64.37232971191406,24.47210693359375,0.0033847453676591832,2.048602212502959,0.0009087182486435426,-9.901876316531152e-06,11,-61.84922504043859,24.47971332587649,0.003374843491342652,4.0,1.951397787497041,0.0019718159455806017,0.5,0.0,0,0,0,-7.227761670947075e-05,0.0,0.0
20,1.0,-64.26363372802734,24.472597122192383,0.0034820428137581974,2.254657626727635,0.0009031220621269305,-0.00011080256680859714,10,-61.80316420220378,24.47998886031443,0.0033712402469496003,4.0,1.745342373272365,0.001689578639343381,0.5,0.0,0,0,0,-0.00028223730623722076,0.0,0.0
21,1.05,-64.1454849243164,24.473121643066406,0.0035620663832515503,2.4341750791303642,0.0008972677380274952,-0.0001945929576976763,10,-61.52195462623728,24.481059072195656,0.003367473425553874,4.0,1.5658249208696358,0.001456284080632031,0.46974748373031616,0.0,0,0,0,-0.00023329455871134996,-0.030252516269683838,0.0
22,1.1,-64.01887512207031,24.47367286682129,0.0036547696163958523,2.5963638591142773,0.0008912932830593204,-0.00029113672907972194,10,-61.248024169071066,24.482101729037048,0.0033636328873161304,4.0,1.4036361408857227,0.0012041038135066628,0.42109084129333496,0.0,0,0,0,-0.0002521802671253681,-0.0486566424369812,0.0
23,1.1500000000000001,-63.88470458984375,24.47426414489746,0.003705974870062105,2.7400249930642886,0.0008847654742596654,-0.00034654070124814657,9,-61.28669586445353,24.48210724654718,0.0033594341688139586,4.0,1.2599750069357114,0.001045301090925932,0.37799251079559326,0.0,0,0,0,-0.00015880272258073092,-0.0430983304977417,0.0
24,1.2000000000000002,-63.743953704833984,24.47486686706543,0.003779780842662829,2.863727118557962,0.0008791841957600972,-0.0004241211562126413,9,-61.04389128703365,24.483048202534512,0.0033556596864501875,4.0,1.136272881442038,0.0008448368171229959,0.3408818542957306,0.0,0,0,0,-0.00020046427380293608,-0.03711065649986267,0.0
25,1.25,-63.59761047363281,24.475494384765625,0.0038175334917836287,2.967873688501737,0.0008739392128891878,-0.00046558100116766716,9,-60.81162760312019,24.483958957839327,0.0033519524906159615,4.0,1.032126311498263,0.0011681094765663147,0.3096379041671753,0.0,0,0,0,0.00032327265944331884,-0.031243950128555298,0.0
26,1.3,-63.44660949707031,24.476152420043945,0.0038920692329408716,3.053932703571712,0.000868236840900467,-0.0005441322895860592,9,-60.58962831949023,24.484849206905164,0.0033479369433548124,4.0,0.9460672964282879,0.0014327068347483873,0.28382018208503723,0.0,0,0,0,0.00026459735818207264,-0.02581772208213806,0.0
27,1.35,-63.291786193847656,24.47686195373535,0.003958652421382056,3.123935845723467,0.0008614304648605423,-0.0006154616217450516,9,-60.37705272510878,24.485745064877193,0.0033431907996370044,4.0,0.8760641542765328,0.0016074738232418895,0.2628192603588104,0.0,0,0,0,0.00017476698849350214,-0.021000921726226807,0.0
28,1.4000000000000001,-63.13388442993164,24.477609634399414,0.004063020768234691,3.1800911126578217,0.0008538266364228192,-0.0007251044271734185,9,-60.17282309914993,24.486639614716804,0.0033379163410612723,4.0,0.8199088873421783,9.185578528558835e-05,0.2459726631641388,0.0,0,0,0,-0.0015156180379563011,-0.01684659719467163,0.0
29,1.4500000000000002,-62.97353744506836,24.478322982788086,0.004088228472204997,3.224591802452931,0.0008473696015736925,-0.0007548394992570088,8,-60.317351632333654,24.4863297417712,0.003333388972947988,4.0,0.775408197547069,0.00016053063154686242,0.23262245953083038,0.0,0,0,0,6.867484626127407e-05,-0.01335020363330841,0.0
30,1.5,-62.81126022338867,24.479007720947266,0.004111735290088474,3.259455172633055,0.0008417745913427838,-0.0007822849708504142,8,-60.129275644304855,24.487095509098776,0.00332945031923806,4.0,0.740544827366945,0.00024160063185263425,0.22216345369815826,0.0,0,0,0,8.107000030577183e-05,-0.01045900583267212,0.0
31,1.55,-62.64692306518555,24.4802188873291,0.004056501485124825,3.2882596926441714,0.0008209937334521661,-0.000740670716987421,8,-59.94362320845486,24.488361606774028,0.0033158307681374045,4.0,0.7117403073558286,0.0004044783709105104,0.21352209150791168,0.0,0,0,0,0.00016287773905787617,-0.008641362190246582,0.0
32,1.6,-62.48163986206055,24.479944229125977,0.0037909871852615028,3.3106579749606753,0.0008412102945524504,-0.00046190670051543146,8,-59.761765417974715,24.48815772855318,0.0033290804847460713,4.0,0.6893420250393247,0.0011404708493500948,0.2068026065826416,0.0,0,0,0,0.0007359924784395844,-0.006719484925270081,0.0
33,1.6500000000000001,-62.31562042236328,24.480024337768555,0.003547920420555106,3.3265283453350007,0.000851711642938539,-0.00021195746515644247,8,-59.58400199584231,24.488285233069263,0.0033359629553986634,4.0,0.6734716546649993,0.0017652991227805614,0.20204149186611176,0.0,0,0,0,0.0006248282734304667,-0.004761114716529846,0.0
34,1.7000000000000002,-62.148983001708984,24.48098373413086,0.003625415027310184,3.3255002418359867,0.0008380415176116283,-0.00029841132533701487,8,-59.41812533313479,24.48923129507076,0.003327003701973169,4.0,0.6744997581640133,0.0015414145309478045,0.2023499310016632,0.0,0,0,0,-0.000223884591832757,0.00030843913555145264,0.0
35,1.75,-61.98297119140625,24.480878829956055,0.003923765271176344,3.33130034831844,0.00085363820684628,-0.0005865396669377143,8,-59.247821507331416,24.489153032438647,0.0033372256042386293,4.0,0.66869965168156,0.0009950052481144667,0.20060989260673523,0.0,0,0,0,-0.0005464092828333378,-0.0017400383949279785,0.0
