step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,num_candidates,ego_s0,ego_l0,best_valid,best_min_clearance_m,best_max_curvature,best_max_yaw_rate,best_cost_total,best_v_target,best_collision,timing_plan_total_ms,debug_num_candidates,debug_ego_s0,debug_ego_l0,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,num_obstacles,obstacles
0,0.0,-64.64484405517578,24.47098159790039,0.0027785058738270677,0.008022718912569825,0.003010797780007124,0.5,0.0,PlanStatus.OK,60,0.1812203789749313,-0.03342267178414406,True,53.020517452622094,0.0017931787282911879,0.004410087831459991,0.001922593848040543,4.5,False,20.52149991504848,60,0.1812203789749313,-0.03342267178414406,0.1,60,-64.64484405517578,24.47098159790039,0.0028177180366227576,0.008022718912569825,-51.34633525278462,24.534214982371108,0.005299065062583648,4.425133711981874,1,"[{""id"": 50, ""x"": -110.19794464111328, ""y"": -9.809962272644043, ""vx"": -0.0019738373812288046, ""vy"": 0.6365081071853638, ""r"": 2.5906050205230713}]"
1,0.05,-64.64484405517578,24.470977783203125,0.0027785058738270677,0.0054988884184132706,0.002953216200694442,0.5,0.0,PlanStatus.OK,60,0.18122036837386152,-0.03342648646668078,True,52.99583702085352,0.0017477454532443346,0.0045190843486683265,0.0019290794876387729,4.5,False,20.335400011390448,60,0.18122036837386152,-0.03342648646668078,0.1,60,-64.64484405517578,24.470977783203125,0.0028177224546989043,0.0054988884184132706,-51.35378046858264,24.53417553607523,0.0053050764766303035,4.425091648140308,1,"[{""id"": 50, ""x"": -110.1981201171875, ""y"": -9.768671989440918, ""vx"": -0.002462782897055149, ""vy"": 0.9476974010467529, ""r"": 2.5906050205230713}]"
2,0.1,-64.64484405517578,24.470977783203125,0.0027785058738270677,0.003739266024222143,0.002912795403972268,0.5,0.0,PlanStatus.OK,60,0.18122036837386152,-0.03342648646668078,True,52.96640711685774,0.0017158761648658142,0.004594774094582813,0.0019337319719908682,4.5,False,19.930600188672543,60,0.18122036837386152,-0.03342648646668078,0.1,60,-64.64484405517578,24.470977783203125,0.0028177224547771785,0.003739266024222143,-51.35897128476956,24.534148602244205,0.005309067180928862,4.425062321100406,1,"[{""id"": 50, ""x"": -110.19832611083984, ""y"": -9.719393730163574, ""vx"": -0.002540893852710724, ""vy"": 1.0617064237594604, ""r"": 2.5906050205230713}]"
3,0.15000000000000002,-64.64484405517578,24.470977783203125,0.0027785058738270677,0.0025261684786666927,0.002884912071749568,0.5,0.0,PlanStatus.OK,60,0.18122036837386152,-0.03342648646668078,True,52.93352574322064,0.0016969129427091233,0.004646978174110798,0.0019377662810543036,4.5,False,19.85660009086132,60,0.18122036837386152,-0.03342648646668078,0.1,60,-64.64484405517578,24.470977783203125,0.0028177224546754947,0.0025261684786666927,-51.36254987435592,24.534130033848836,0.005311818434724857,4.425042102807982,1,"[{""id"": 50, ""x"": -110.19831848144531, ""y"": -9.664599418640137, ""vx"": -0.00441814074292779, ""vy"": 1.250588297843933, ""r"": 2.5906050205230713}]"
4,0.2,-64.64484405517578,24.470975875854492,0.0027785058738270677,0.0016977744369614343,0.0028660271782428026,0.5,0.0,PlanStatus.OK,60,0.18122036307332665,-0.03342839380794916,True,52.89538606050202,0.0017005861883759013,0.004656485556661276,0.0019404473865176947,4.5,False,21.36599994264543,60,0.18122036307332665,-0.03342839380794916,0.1,60,-64.64484405517578,24.470975875854492,0.0028177246635571703,0.0016977744369614343,-51.364993611901575,24.534116943869833,0.005313841845208559,4.42502829624061,1,"[{""id"": 50, ""x"": -110.19908905029297, ""y"": -9.599931716918945, ""vx"": 0.00298552168533206, ""vy"": 1.3269256353378296, ""r"": 2.5906050205230713}]"
5,0.25,-64.64485168457031,24.470975875854492,0.0027785058738270677,0.001133272734289076,0.002853040350601077,0.5,0.0,PlanStatus.OK,60,0.1812127337082559,-0.03342837260580851,True,52.8571146341872,0.001692084716245505,0.00463283300762527,0.00193605499170015,4.5,False,21.153399953618646,60,0.1812127337082559,-0.03342837260580851,0.1,60,-64.64485168457031,24.470975875854492,0.002817724639008589,0.001133272734289076,-51.36666649881186,24.534108286399597,0.005315120592181828,4.425018887878906,1,"[{""id"": 50, ""x"": -110.19873809814453, ""y"": -9.536474227905273, ""vx"": 0.003410074394196272, ""vy"": 1.2298046350479126, ""r"": 2.5906050205230713}]"
6,0.30000000000000004,-64.64485168457031,24.470975875854492,0.0027785058738270677,0.00038286227823698714,0.0028357745613902807,0.5,0.0,PlanStatus.OK,60,0.1812127337082559,-0.03342837260580851,True,52.8192061899723,0.0016807806553474863,0.004601389121416579,0.0019299850996329034,4.5,False,19.886899972334504,60,0.1812127337082559,-0.03342837260580851,0.1,60,-64.64485168457031,24.470975875854492,0.002817724639293553,0.00038286227823698714,-51.368880179856305,24.5340967998681,0.005316822617760572,4.425006381037966,1,"[{""id"": 50, ""x"": -110.1988754272461, ""y"": -9.472883224487305, ""vx"": 0.0024479920975863934, ""vy"": 1.302512288093567, ""r"": 2.5906050205230713}]"
7,0.35000000000000003,-64.64485168457031,24.470975875854492,0.0027785058738270677,0.00045869842913738747,0.0028375196270644665,0.5,0.0,PlanStatus.OK,60,0.1812127337082559,-0.03342837260580851,True,52.78165168829425,0.0016819232571654427,0.004604567122794053,0.0019313406777457234,4.5,False,19.53190006315708,60,0.1812127337082559,-0.03342837260580851,0.1,60,-64.64485168457031,24.470975875854492,0.002817724639263245,0.00045869842913738747,-51.36865646622281,24.534097960691923,0.00531665061136031,4.425007644973813,1,"[{""id"": 50, ""x"": -110.19834899902344, ""y"": -9.410700798034668, ""vx"": 0.00539830606430769, ""vy"": 1.208759069442749, ""r"": 2.5906050205230713}]"
8,0.4,-64.64485168457031,24.470975875854492,0.0027785058738270677,0.00042519582401291526,0.0028367487248033285,0.5,0.0,PlanStatus.OK,60,0.1812127337082559,-0.03342837260580851,True,52.7397089634545,0.001681418488930868,0.00460316316562904,0.0019317926925636628,4.5,False,18.803799990564585,60,0.1812127337082559,-0.03342837260580851,0.1,60,-64.64485168457031,24.470975875854492,0.0028177246391725298,0.00042519582401291526,-51.36875529757744,24.534097447867605,0.005316726599673177,4.425007086597067,1,"[{""id"": 50, ""x"": -110.19778442382812, ""y"": -9.341135025024414, ""vx"": -0.010377160273492336, ""vy"": 1.4997291564941406, ""r"": 2.5906050205230713}]"
9,0.45,-64.64485168457031,24.470975875854492,0.0027785058738270677,0.00035302171030327867,0.002835087710991502,0.5,0.0,PlanStatus.OK,60,0.1812127337082559,-0.03342837260580851,True,52.69218818463045,0.001680331042452074,0.004600138599632963,0.0019319985261395949,4.5,False,20.812499802559614,60,0.1812127337082559,-0.03342837260580851,0.1,60,-64.64485168457031,24.470975875854492,0.002817724639197274,0.00035302171030327867,-51.368968208346644,24.53409634309858,0.005316890300123894,4.425005883695169,1,"[{""id"": 50, ""x"": -110.19784545898438, ""y"": -9.261260986328125, ""vx"": -0.0011631143279373646, ""vy"": 1.6288397312164307, ""r"": 2.5906050205230713}]"
