step,t,ego_x,ego_y,ego_yaw,ego_speed,ctrl_steer,ctrl_throttle,ctrl_brake,plan_status,debug_ms,debug_path_len,traj_dt,traj_len,traj0_x,traj0_y,traj0_yaw,traj0_v,trajN_x,trajN_y,trajN_yaw,trajN_v,num_obstacles,obstacles
0,0.0,-64.6448745727539,24.470972061157227,0.0027785324014082385,0.0,-1.2116209152244952e-14,0.6000000238418579,0.0,PlanStatus.OK,12.507438659667969,43,0.1,51,-64.6448745727539,24.470972061157227,0.0027785324014082385,6.0,-39.44497184774438,24.54099098757885,0.0027785324014082385,6.0,1,"[{""id"": 78, ""x"": -110.19833374023438, ""y"": -9.69735336303711, ""vx"": -0.002014388795942068, ""vy"": 1.2529033422470093, ""r"": 2.5906050205230713}]"
1,0.05,-64.6448745727539,24.470972061157227,0.0027785324014082385,0.0021488470522680685,-1.2090229804719715e-14,0.6000000238418579,0.0,PlanStatus.OK,15.513420104980469,43,0.1,51,-64.6448745727539,24.470972061157227,0.0027785324014082385,6.0,-39.44497184774438,24.54099098757885,0.0027785324014082385,6.0,1,"[{""id"": 78, ""x"": -110.19821166992188, ""y"": -9.637758255004883, ""vx"": 0.0020165552850812674, ""vy"": 1.238585114479065, ""r"": 2.5906050205230713}]"
2,0.1,-64.6448745727539,24.47096824645996,0.0027785324014082385,0.00017866290732720754,-1.2114044983064717e-14,0.6000000238418579,0.0,PlanStatus.OK,18.016576766967773,43,0.1,51,-64.6448745727539,24.47096824645996,0.0027785324014082385,6.0,-39.44497184774438,24.540987172881586,0.0027785324014082385,6.0,1,"[{""id"": 78, ""x"": -110.19815063476562, ""y"": -9.579259872436523, ""vx"": -0.00028110374114476144, ""vy"": 1.1281237602233887, ""r"": 2.5906050205230713}]"
3,0.15000000000000002,-64.6448745727539,24.47096824645996,0.0027785324014082385,0.001074010226481398,-1.2103210584636388e-14,0.6000000238418579,0.0,PlanStatus.OK,18.01443099975586,43,0.1,51,-64.6448745727539,24.47096824645996,0.0027785324014082385,6.0,-39.44497184774438,24.540987172881586,0.0027785324014082385,6.0,1,"[{""id"": 78, ""x"": -110.19832611083984, ""y"": -9.520009994506836, ""vx"": -0.0005640987656079233, ""vy"": 1.2256022691726685, ""r"": 2.5906050205230713}]"
4,0.2,-64.6448745727539,24.47096824645996,0.0027785324014082385,0.0012770945974837134,-1.2100755883155245e-14,0.6000000238418579,0.0,PlanStatus.OK,18.687963485717773,43,0.1,51,-64.6448745727539,24.47096824645996,0.0027785324014082385,6.0,-39.44497184774438,24.540987172881586,0.0027785324014082385,6.0,1,"[{""id"": 78, ""x"": -110.1986312866211, ""y"": -9.461856842041016, ""vx"": -0.003278651973232627, ""vy"": 1.123818278312683, ""r"": 2.5906050205230713}]"
5,0.25,-64.6448745727539,24.470966339111328,0.0027785324014082385,0.0011807636770437054,-1.2101919706424772e-14,0.6000000238418579,0.0,PlanStatus.OK,18.011093139648438,43,0.1,51,-64.6448745727539,24.470966339111328,0.0027785324014082385,6.0,-39.44497184774438,24.540985265532953,0.0027785324014082385,6.0,1,"[{""id"": 78, ""x"": -110.19900512695312, ""y"": -9.402669906616211, ""vx"": -0.002685893326997757, ""vy"": 1.225136637687683, ""r"": 2.5906050205230713}]"
6,0.30000000000000004,-64.6448745727539,24.470966339111328,0.0027785324014082385,0.00097973846541402,-1.2104350690983392e-14,0.6000000238418579,0.0,PlanStatus.OK,20.018339157104492,43,0.1,51,-64.6448745727539,24.470966339111328,0.0027785324014082385,6.0,-39.44497184774438,24.540985265532953,0.0027785324014082385,6.0,1,"[{""id"": 78, ""x"": -110.19950866699219, ""y"": -9.343708038330078, ""vx"": -0.0032297803554683924, ""vy"": 1.118208408355713, ""r"": 2.5906050205230713}]"
7,0.35000000000000003,-64.64488220214844,24.470966339111328,0.0027785324014082385,0.000763092239287134,-1.210697056388925e-14,0.6000000238418579,0.0,PlanStatus.OK,19.01531219482422,43,0.1,51,-64.64488220214844,24.470966339111328,0.0027785324014082385,6.0,-39.44497947713891,24.540985265532953,0.0027785324014082385,6.0,1,"[{""id"": 78, ""x"": -110.19949340820312, ""y"": -9.276216506958008, ""vx"": -0.008806264959275723, ""vy"": 1.503044605255127, ""r"": 2.5906050205230713}]"
8,0.4,-64.64488220214844,24.470966339111328,0.0027785324014082385,0.0005728627935397915,-1.2109272799439887e-14,0.6000000238418579,0.0,PlanStatus.OK,16.01576805114746,43,0.1,51,-64.64488220214844,24.470966339111328,0.0027785324014082385,6.0,-39.44497947713891,24.540985265532953,0.0027785324014082385,6.0,1,"[{""id"": 78, ""x"": -110.19908142089844, ""y"": -9.181800842285156, ""vx"": 0.003167268820106983, ""vy"": 2.0567283630371094, ""r"": 2.5906050205230713}]"
9,0.45,-64.64488220214844,24.470966339111328,0.0027785324014082385,0.0001883507665545793,-1.2113928092517996e-14,0.6000000238418579,0.0,PlanStatus.OK,15.50436019897461,43,0.1,51,-64.64488220214844,24.470966339111328,0.0027785324014082385,6.0,-39.44497947713891,24.540985265532953,0.0027785324014082385,6.0,1,"[{""id"": 78, ""x"": -110.19831848144531, ""y"": -9.073129653930664, ""vx"": 0.003750442760065198, ""vy"": 2.2877795696258545, ""r"": 2.5906050205230713}]"
10,0.5,-64.64488220214844,24.470966339111328,0.0027785324014082385,0.00025592813397684963,-1.2113109011658001e-14,0.6000000238418579,0.0,PlanStatus.OK,19.015073776245117,43,0.1,51,-64.64488220214844,24.470966339111328,0.0027785324014082385,6.0,-39.44497947713891,24.540985265532953,0.0027785324014082385,6.0,1,"[{""id"": 78, ""x"": -110.19832611083984, ""y"": -8.950554847717285, ""vx"": -4.987555803381838e-05, ""vy"": 2.5839908123016357, ""r"": 2.5906050205230713}]"
11,0.55,-64.64488220214844,24.470966339111328,0.0027785324014082385,0.0002477932947926934,-1.211320811451283e-14,0.6000000238418579,0.0,PlanStatus.OK,16.01719856262207,43,0.1,51,-64.64488220214844,24.470966339111328,0.0027785324014082385,6.0,-39.44497947713891,24.540985265532953,0.0027785324014082385,6.0,1,"[{""id"": 78, ""x"": -110.19890594482422, ""y"": -8.812464714050293, ""vx"": -0.007422698196023703, ""vy"": 2.9050612449645996, ""r"": 2.5906050205230713}]"
12,0.6000000000000001,-64.64488220214844,24.470966339111328,0.0027785324014082385,0.00021068581484353323,-1.2113657041974875e-14,0.6000000238418579,0.0,PlanStatus.OK,19.514799118041992,43,0.1,51,-64.64488220214844,24.470966339111328,0.0027785324014082385,6.0,-39.44497947713891,24.540985265532953,0.0027785324014082385,6.0,1,"[{""id"": 78, ""x"": -110.20004272460938, ""y"": -8.660833358764648, ""vx"": -0.00595689145848155, ""vy"": 3.165233612060547, ""r"": 2.5906050205230713}]"
13,0.65,-64.6379165649414,24.47098731994629,0.0027736591287025837,0.418849875786062,3.235170979511994e-15,0.6000000238418579,0.0,PlanStatus.OK,19.01721954345703,43,0.1,51,-64.6379165649414,24.47098731994629,0.0027736591287025837,6.0,-39.438013499009884,24.54088344036886,0.0027736591287025837,6.0,1,"[{""id"": 78, ""x"": -110.20137786865234, ""y"": -8.501678466796875, ""vx"": -0.009606759995222092, ""vy"": 3.180271625518799, ""r"": 2.5906050205230713}]"
14,0.7000000000000001,-64.59215545654297,24.471115112304688,0.002773138199829202,1.1541994012275905,1.510718598583813e-16,0.6000000238418579,0.0,PlanStatus.OK,19.01984214782715,43,0.1,51,-64.59215545654297,24.471115112304688,0.002773138199829202,6.0,-39.39225235420383,24.540998105370157,0.002773138199829202,6.0,1,"[{""id"": 78, ""x"": -110.20222473144531, ""y"": -8.329733848571777, ""vx"": -0.010022117756307125, ""vy"": 3.5650343894958496, ""r"": 2.5906050205230713}]"
15,0.75,-64.51854705810547,24.47132110595703,0.0027727181797939987,1.66360637499748,-5.283796818928246e-16,0.6000000238418579,0.0,PlanStatus.OK,16.01243019104004,43,0.1,51,-64.51854705810547,24.47132110595703,0.0027727181797939987,6.0,-39.31864392641624,24.541193514558316,0.0027727181797939987,6.0,1,"[{""id"": 78, ""x"": -110.20255279541016, ""y"": -8.14936351776123, ""vx"": -0.007936550304293633, ""vy"": 3.677314281463623, ""r"": 2.5906050205230713}]"
16,0.8,-64.4241943359375,24.471586227416992,0.002766292003292557,2.0106254356919915,5.244108454909935e-15,0.6000000238418579,0.0,PlanStatus.OK,18.291711807250977,43,0.1,51,-64.4241943359375,24.471586227416992,0.002766292003292557,6.0,-39.22429075575613,24.541296696991417,0.002766292003292557,6.0,1,"[{""id"": 78, ""x"": -110.20266723632812, ""y"": -7.956088066101074, ""vx"": -0.008817178197205067, ""vy"": 4.015441417694092, ""r"": 2.5906050205230713}]"
17,0.8500000000000001,-64.31539916992188,24.47188949584961,0.0027643307828062007,2.280182769722307,4.599150040299725e-15,0.6000000238418579,0.0,PlanStatus.OK,15.594482421875,43,0.1,51,-64.31539916992188,24.47188949584961,0.0027643307828062007,6.0,-39.115495453071546,24.541550542856747,0.0027643307828062007,6.0,1,"[{""id"": 78, ""x"": -110.20299530029297, ""y"": -7.7493743896484375, ""vx"": -0.007269847206771374, ""vy"": 4.233838081359863, ""r"": 2.5906050205230713}]"
18,0.9,-64.19438171386719,24.47222137451172,0.0027722295001369425,2.510593226082738,8.580999091662106e-16,0.6000000238418579,0.0,PlanStatus.OK,20.014286041259766,43,0.1,51,-64.19438171386719,24.47222137451172,0.0027722295001369425,6.0,-38.994478548035715,24.542081468432954,0.0027722295001369425,6.0,1,"[{""id"": 78, ""x"": -110.2035140991211, ""y"": -7.527440547943115, ""vx"": -0.007454403676092625, ""vy"": 4.60181188583374, ""r"": 2.5906050205230713}]"
19,0.9500000000000001,-64.06216430664062,24.47258758544922,0.002770620420286911,2.732648366643095,-2.576356799950598e-15,0.6000000238418579,0.0,PlanStatus.OK,12.514829635620117,43,0.1,51,-64.06216430664062,24.47258758544922,0.002770620420286911,6.0,-38.862261028431334,24.54240713071401,0.002770620420286911,6.0,1,"[{""id"": 78, ""x"": -110.20365142822266, ""y"": -7.291848182678223, ""vx"": -0.010404570959508419, ""vy"": 4.799797058105469, ""r"": 2.5906050205230713}]"
20,1.0,-63.91957473754883,24.472980499267578,0.002770148645460993,2.9312031687439433,-3.5679272375661354e-15,0.6000000238418579,0.0,PlanStatus.OK,16.01243019104004,43,0.1,51,-63.91957473754883,24.472980499267578,0.002770148645460993,6.0,-38.71967142640324,24.5427881558524,0.002770148645460993,6.0,1,"[{""id"": 78, ""x"": -110.20427703857422, ""y"": -7.03959321975708, ""vx"": -0.010663390159606934, ""vy"": 5.226251602172852, ""r"": 2.5906050205230713}]"
21,1.05,-63.76696014404297,24.473405838012695,0.0027699626923184725,3.1326578645673244,1.7613184046964608e-15,0.6000000238418579,0.0,PlanStatus.OK,18.88108253479004,43,0.1,51,-63.76696014404297,24.473405838012695,0.0027699626923184725,6.0,-38.56705681991696,24.543208808596212,0.0027699626923184725,6.0,1,"[{""id"": 78, ""x"": -110.20571899414062, ""y"": -6.774734973907471, ""vx"": -0.03541523963212967, ""vy"": 5.403549671173096, ""r"": 2.5906050205230713}]"
22,1.1,-63.604774475097656,24.473854064941406,0.00276978012014218,3.3184140670397553,0.0,0.6000000238418579,0.0,PlanStatus.OK,41.02754592895508,1,0.1,1,-63.604774475097656,24.473854064941406,0.00276978012014218,6.0,-63.604774475097656,24.473854064941406,0.00276978012014218,6.0,1,"[{""id"": 78, ""x"": -110.20772552490234, ""y"": -6.502757549285889, ""vx"": -0.037337880581617355, ""vy"": 5.465681552886963, ""r"": 2.5906050205230713}]"
