step,t,ego_x,ego_y,ego_yaw,ego_speed,cte_m,heading_err_rad,ref_idx,ref_x,ref_y,ref_yaw,v_ref,speed_err_mps,steer,throttle,brake,steer_sat,throttle_sat,brake_sat,d_steer,d_throttle,d_brake
0,0.0,-64.64484405517578,24.47081756591797,0.0027786145848950027,0.006343368361683953,0.0,0.0,0,-64.64484405517578,24.47081756591797,0.0027786145848950027,5.0,4.993656631638316,0.0,0.6000000238418579,0.0,0,0,0,,,
1,0.05,-64.64485168457031,24.470821380615234,0.002778616925563929,0.004380030471927044,0.0,0.0,0,-64.64485168457031,24.470821380615234,0.002778616925563929,5.0,4.9956199695280725,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
2,0.1,-64.64485931396484,24.4708194732666,0.00277861796586123,0.0029974461220360227,0.0,0.0,0,-64.64485931396484,24.4708194732666,0.00277861796586123,5.0,4.997002553877964,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
3,0.15000000000000002,-64.64485931396484,24.470815658569336,0.0027786190061585307,0.0020369944512800384,0.0,0.0,0,-64.64485931396484,24.470815658569336,0.0027786190061585307,5.0,4.99796300554872,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
4,0.2,-64.64486694335938,24.47081184387207,0.002778619266232856,0.0013747739085333177,0.0,0.0,0,-64.64486694335938,24.47081184387207,0.002778619266232856,5.0,4.998625226091467,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
5,0.25,-64.64486694335938,24.470809936523438,0.0027786177057869048,0.00022226309253781527,0.0,0.0,0,-64.64486694335938,24.470809936523438,0.0027786177057869048,5.0,4.999777736907462,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
6,0.30000000000000004,-64.64486694335938,24.470808029174805,0.0027786177057869048,0.0004180341245565049,0.0,0.0,0,-64.64486694335938,24.470808029174805,0.0027786177057869048,5.0,4.999581965875444,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
7,0.35000000000000003,-64.6448745727539,24.470808029174805,0.00277861796586123,0.0004365531115778474,0.0,0.0,0,-64.6448745727539,24.470808029174805,0.00277861796586123,5.0,4.9995634468884225,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
8,0.4,-64.6448745727539,24.47080421447754,0.00277861796586123,0.00038414649660534477,0.0,0.0,0,-64.6448745727539,24.47080421447754,0.00277861796586123,5.0,4.9996158535033945,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
9,0.45,-64.6448745727539,24.47080421447754,0.00277861796586123,0.0003102924338817386,0.0,0.0,0,-64.6448745727539,24.47080421447754,0.00277861796586123,5.0,4.999689707566119,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
10,0.5,-64.6448745727539,24.47080421447754,0.00277861796586123,0.00023819333644087694,0.0,0.0,0,-64.6448745727539,24.47080421447754,0.00277861796586123,5.0,4.999761806663559,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
11,0.55,-64.6448745727539,24.470802307128906,0.00277861796586123,0.00017688065046618366,0.0,0.0,0,-64.6448745727539,24.470802307128906,0.00277861796586123,5.0,4.999823119349534,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
12,0.6000000000000001,-64.6448745727539,24.470802307128906,0.00277861796586123,0.00012777537083971186,0.0,0.0,0,-64.6448745727539,24.470802307128906,0.00277861796586123,5.0,4.9998722246291605,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
13,0.65,-64.63790893554688,24.4708251953125,0.0027737410521150225,0.4188485508128447,0.0,0.0,0,-64.63790893554688,24.4708251953125,0.0027737410521150225,5.0,4.581151449187155,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
14,0.7000000000000001,-64.5921630859375,24.470951080322266,0.0027730739614708765,1.1535786800526047,0.0,0.0,0,-64.5921630859375,24.470951080322266,0.0027730739614708765,5.0,3.846421319947395,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
15,0.75,-64.51856994628906,24.47115707397461,0.0027726757876789907,1.6633152664358044,0.0,0.0,0,-64.51856994628906,24.47115707397461,0.0027726757876789907,5.0,3.3366847335641956,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
16,0.8,-64.42424011230469,24.471420288085938,0.0027700420149876595,2.010407542621174,0.0,0.0,0,-64.42424011230469,24.471420288085938,0.0027700420149876595,5.0,2.989592457378826,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
17,0.8500000000000001,-64.31546020507812,24.471723556518555,0.0027691712861468796,2.2798213370642375,0.0,0.0,0,-64.31546020507812,24.471723556518555,0.0027691712861468796,5.0,2.7201786629357625,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
18,0.9,-64.19445037841797,24.47205352783203,0.002772153298359658,2.5101576736789277,0.0,0.0,0,-64.19445037841797,24.47205352783203,0.002772153298359658,5.0,2.4898423263210723,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
19,0.9500000000000001,-64.06224822998047,24.47241973876953,0.002771341606390699,2.732371334412795,0.0,0.0,0,-64.06224822998047,24.47241973876953,0.002771341606390699,5.0,2.267628665587205,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
20,1.0,-63.91967010498047,24.47281265258789,0.002771051623518098,2.931008151457136,0.0,0.0,0,-63.91967010498047,24.47281265258789,0.002771051623518098,5.0,2.068991848542864,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
21,1.05,-63.76708221435547,24.473236083984375,0.0027708667106728785,3.132513869000242,0.0,0.0,0,-63.76708221435547,24.473236083984375,0.0027708667106728785,5.0,1.8674861309997581,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
22,1.1,-63.604896545410156,24.47368621826172,0.0027706890799087647,3.3183017813624818,0.0,0.0,0,-63.604896545410156,24.47368621826172,0.0027706890799087647,5.0,1.6816982186375182,0.0,0.6000000238418579,0.0,0,0,0,0.0,0.0,0.0
23,1.1500000000000001,-63.4332389831543,24.47416114807129,0.002770508848401399,3.509841086029218,0.0,0.0,0,-63.4332389831543,24.47416114807129,0.002770508848401399,5.0,1.4901589139707818,0.0,0.5960635542869568,0.0,0,0,0,0.0,-0.003936469554901123,0.0
24,1.2000000000000002,-63.252342224121094,24.47466468811035,0.0027703304374143097,3.690825322405916,0.0,0.0,0,-63.252342224121094,24.47466468811035,0.0027703304374143097,5.0,1.309174677594084,0.0,0.5236698985099792,0.0,0,0,0,0.0,-0.07239365577697754,0.0
25,1.25,-63.06246566772461,24.475189208984375,0.0027701580081367,3.866043382278258,0.0,0.0,0,-63.06246566772461,24.475189208984375,0.0027701580081367,5.0,1.1339566177217422,0.0,0.45358264446258545,0.0,0,0,0,0.0,-0.0700872540473938,0.0
26,1.3,-62.864768981933594,24.475736618041992,0.0027700071650280825,4.009883529986642,0.0,0.0,0,-62.864768981933594,24.475736618041992,0.0027700071650280825,5.0,0.9901164700133576,0.0,0.39604657888412476,0.0,0,0,0,0.0,-0.05753606557846069,0.0
27,1.35,-62.66017532348633,24.47687530517578,0.002764259522441095,4.130645381746844,0.0,0.0,0,-62.66017532348633,24.47687530517578,0.002764259522441095,5.0,0.8693546182531557,0.0,0.34774184226989746,0.0,0,0,0,0.0,-0.048304736614227295,0.0
28,1.4000000000000001,-62.45052719116211,24.47663688659668,0.0025371771858360022,4.224522870625265,0.0,0.0,0,-62.45052719116211,24.47663688659668,0.0025371771858360022,5.0,0.7754771293747353,0.0,0.3101908564567566,0.0,0,0,0,0.0,-0.03755098581314087,0.0
29,1.4500000000000002,-62.23702621459961,24.47667694091797,0.002284083255521402,4.29453987117182,0.0,0.0,0,-62.23702621459961,24.47667694091797,0.002284083255521402,5.0,0.7054601288281797,0.0,0.28218406438827515,0.0,0,0,0,0.0,-0.028006792068481445,0.0
30,1.5,-62.02121353149414,24.476518630981445,0.002355937110237151,4.340979143308495,0.0,0.0,0,-62.02121353149414,24.476518630981445,0.002355937110237151,5.0,0.6590208566915052,0.0,0.26360833644866943,0.0,0,0,0,0.0,-0.018575727939605713,0.0
31,1.55,-61.803314208984375,24.477304458618164,0.0023824178780293254,4.3796624491659175,0.0,0.0,0,-61.803314208984375,24.477304458618164,0.0023824178780293254,5.0,0.6203375508340825,0.0,0.2481350153684616,0.0,0,0,0,0.0,-0.015473321080207825,0.0
32,1.6,-61.58372497558594,24.47812271118164,0.002384960624706836,4.403244387630551,0.0,0.0,0,-61.58372497558594,24.47812271118164,0.002384960624706836,5.0,0.5967556123694493,0.0,0.23870223760604858,0.0,0,0,0,0.0,-0.009432777762413025,0.0
